dataset,mean_delta_BA_pp,median_delta_BA_pp,positive_cells,fold0_mean_delta_BA_pp,fold1_mean_delta_BA_pp,min_delta_BA_pp,max_delta_BA_pp,trimmed_mean_drop_max_pp
OpenBMI,1.238095238095242,0.8571428571428563,3,1.238095238095242,,0.8571428571428452,2.000000000000024,0.8571428571428508
WBCIC,-10.733333333333329,-8.300000000000008,1,-10.733333333333329,,-24.4,0.5000000000000115,-16.35
