task,condition,seed,biological_subjects,alignment,future_BA,future_macro_F1,WS_BA
OpenBMI_MI,CE,0,14,0.7775729518915926,0.7064285714285715,0.6984464378637137,0.6691428571428572
OpenBMI_MI,CE,1,14,0.7621195073638644,0.7012857142857143,0.6928144901798869,0.6607142857142857
OpenBMI_MI,CE,2,14,0.8277619225638253,0.7107142857142856,0.7028795997274043,0.6777142857142857
OpenBMI_MI,CE_PLUS_PRD,0,14,0.8781657806464604,0.6901428571428572,0.6812268693866637,0.6592857142857144
OpenBMI_MI,CE_PLUS_PRD,1,14,0.9078388860183103,0.7134285714285714,0.703710248594089,0.6705714285714286
OpenBMI_MI,CE_PLUS_PRD,2,14,0.8975181017603193,0.7060000000000001,0.6970758895309992,0.671
WBCIC_MI,CE,0,10,0.7788854476809501,0.7461,0.740570752455178,0.6775
WBCIC_MI,CE,1,10,0.8019938756525515,0.767,0.7627754119094363,0.6891
WBCIC_MI,CE,2,10,0.8243861705809831,0.7788999999999999,0.7742018128608431,0.6985
WBCIC_MI,CE_PLUS_PRD,0,10,0.8077638730406761,0.7218,0.7042454761084093,0.6547
WBCIC_MI,CE_PLUS_PRD,1,10,0.774603859335184,0.7357,0.7299821054446355,0.6663
WBCIC_MI,CE_PLUS_PRD,2,10,0.8165842086076737,0.7837,0.7817117838722475,0.6984999999999999
