task,LiteBN_parameters,C_parameters,M_parameters,total_CM_GA_parameters,trainable_CM_parameters,approximate_MACs,batch1_latency_ms,peak_inference_allocated_bytes,inference_gradient,target_adaptation,router
OpenBMI_MI,47978,34,52035,100047,52069,109552944,1.7625223565846682,13698560,False,False,False
OpenBMI_ERP,47978,34,52035,100047,52069,27385168,1.67709955945611,10074112,False,False,False
OpenBMI_SSVEP,48108,34,52035,100177,52069,109553072,1.8436705600470304,13699072,False,False,False
WBCIC_MI,47786,34,52035,99855,52069,102800848,1.7169662192463875,13158400,False,False,False
