stage,task,fold,base_sha256_before,base_sha256_after,bitwise_unchanged,residual_sha256_before,residual_sha256_after,stored_residual_bitwise_unchanged
epoch0_identity,OpenBMI_MI,0,2e29b2bb1e97924066f09a6eee5a7e81991f104d63bfebea150624c3777347ee,2e29b2bb1e97924066f09a6eee5a7e81991f104d63bfebea150624c3777347ee,True,,,
epoch0_identity,OpenBMI_MI,1,15eb7248147d252ba1a92e0d29b6568a772187fece75d70f725d4fae694136cb,15eb7248147d252ba1a92e0d29b6568a772187fece75d70f725d4fae694136cb,True,,,
epoch0_identity,OpenBMI_MI,2,a8c15be0161403752f096145f17682816ced956c4aed76f6107ff4e914be9091,a8c15be0161403752f096145f17682816ced956c4aed76f6107ff4e914be9091,True,,,
epoch0_identity,OpenBMI_MI,3,eab36becaed2e29b96283e0dc3ccd504736910750be62df4756b21f3f83c410f,eab36becaed2e29b96283e0dc3ccd504736910750be62df4756b21f3f83c410f,True,,,
epoch0_identity,OpenBMI_MI,4,0470ddb6f39cce3eae1f84bbe29e50f51dc7cd86710a08fd0181c8c0e4450f68,0470ddb6f39cce3eae1f84bbe29e50f51dc7cd86710a08fd0181c8c0e4450f68,True,,,
epoch0_identity,OpenBMI_ERP,0,3c42cea7f7c9674046fc4c1b9c47eee82d4ff5ab5a95df39ba448533e028c3f0,3c42cea7f7c9674046fc4c1b9c47eee82d4ff5ab5a95df39ba448533e028c3f0,True,,,
epoch0_identity,OpenBMI_ERP,1,84e9409c0ab14371dd095243cf53d5154fc81f9328c42241cbd9fe7b59b1048b,84e9409c0ab14371dd095243cf53d5154fc81f9328c42241cbd9fe7b59b1048b,True,,,
epoch0_identity,OpenBMI_ERP,2,15f1f7e672deb2e5df4f54ad67db18407744ae732bb87439bc2c14117c714999,15f1f7e672deb2e5df4f54ad67db18407744ae732bb87439bc2c14117c714999,True,,,
epoch0_identity,OpenBMI_ERP,3,3af905586352772f20436a5cc0a4368f0bcb84a0f669a09621c150d4ad5a0934,3af905586352772f20436a5cc0a4368f0bcb84a0f669a09621c150d4ad5a0934,True,,,
epoch0_identity,OpenBMI_ERP,4,5554fc96453a75014a96ef7435786685e60acb86854c71a23171c4769772d704,5554fc96453a75014a96ef7435786685e60acb86854c71a23171c4769772d704,True,,,
epoch0_identity,OpenBMI_SSVEP,0,52ecae9ff6c4751058b28c94039b07a2cad40797e0d999909241a970f4ccec91,52ecae9ff6c4751058b28c94039b07a2cad40797e0d999909241a970f4ccec91,True,,,
epoch0_identity,OpenBMI_SSVEP,1,52ac7762670061d58700f2a589acccb6e3fe791f672ff8cc59a200befb83901f,52ac7762670061d58700f2a589acccb6e3fe791f672ff8cc59a200befb83901f,True,,,
epoch0_identity,OpenBMI_SSVEP,2,76ac0e820f524dbf13f1a447f38beb1f523ddb887d979a1f3d42d1da999cee3b,76ac0e820f524dbf13f1a447f38beb1f523ddb887d979a1f3d42d1da999cee3b,True,,,
epoch0_identity,OpenBMI_SSVEP,3,5caf50dbc0c18be9bfc6bfdb08a1a87bae2f7c20123388a34d91daa8e9e83407,5caf50dbc0c18be9bfc6bfdb08a1a87bae2f7c20123388a34d91daa8e9e83407,True,,,
epoch0_identity,OpenBMI_SSVEP,4,9ca80777589ef3f63c21e86265bbafc92bce13ffe82c94ce96a4a0eb126c8238,9ca80777589ef3f63c21e86265bbafc92bce13ffe82c94ce96a4a0eb126c8238,True,,,
epoch0_identity,WBCIC_MI,0,fb758a86aa7c869fd7b34ee66e09f4969d28b41c6fdf375a2a8f46620eb68dd9,fb758a86aa7c869fd7b34ee66e09f4969d28b41c6fdf375a2a8f46620eb68dd9,True,,,
epoch0_identity,WBCIC_MI,1,c446e75ee810e3839541aead607dbc5a5f61945cfcafd8db6bb683dd1d3653be,c446e75ee810e3839541aead607dbc5a5f61945cfcafd8db6bb683dd1d3653be,True,,,
epoch0_identity,WBCIC_MI,2,1ba0e875f3bf7e15dcac9f58d99cf39535ca8e3f5c1f7523eb073120884b2b11,1ba0e875f3bf7e15dcac9f58d99cf39535ca8e3f5c1f7523eb073120884b2b11,True,,,
epoch0_identity,WBCIC_MI,3,b9a72a958bf9d5d2da62a768ee6790fcde8d498ca932693b169651b40c5cabde,b9a72a958bf9d5d2da62a768ee6790fcde8d498ca932693b169651b40c5cabde,True,,,
epoch0_identity,WBCIC_MI,4,639e7c6fa8d610ff3ca76b49f6d04bfddb7c68c88f589b9a9bb6b976b250715a,639e7c6fa8d610ff3ca76b49f6d04bfddb7c68c88f589b9a9bb6b976b250715a,True,,,
gradient_transfer,OpenBMI_MI,0,2e29b2bb1e97924066f09a6eee5a7e81991f104d63bfebea150624c3777347ee,2e29b2bb1e97924066f09a6eee5a7e81991f104d63bfebea150624c3777347ee,True,32c7e58692616ec62a2034bc1320f3ab9231d89b3d5b443bc35567c764bd5e01,32c7e58692616ec62a2034bc1320f3ab9231d89b3d5b443bc35567c764bd5e01,True
gradient_transfer,OpenBMI_MI,1,15eb7248147d252ba1a92e0d29b6568a772187fece75d70f725d4fae694136cb,15eb7248147d252ba1a92e0d29b6568a772187fece75d70f725d4fae694136cb,True,32c7e58692616ec62a2034bc1320f3ab9231d89b3d5b443bc35567c764bd5e01,32c7e58692616ec62a2034bc1320f3ab9231d89b3d5b443bc35567c764bd5e01,True
