dataset,auroc,auroc_ci95_lower,auroc_ci95_upper,spearman,spearman_ci95_lower,spearman_ci95_upper,control_auroc,auroc_advantage,auroc_advantage_ci95_lower,auroc_advantage_ci95_upper,control_spearman,spearman_advantage,spearman_advantage_ci95_lower,spearman_advantage_ci95_upper,harm_rate,subjects,observations,pass
OpenBMI,0.6432259213103081,0.5737624513460995,0.7129729513366775,0.25992826245551204,0.11800797571517833,0.4008642906211505,0.5450121654501217,0.09821375586018644,0.0018894823762771052,0.1878959029507573,0.15217924895769108,0.10774901349782096,-0.07275283247808237,0.2905853979954283,0.47307692307692306,40,260,False
WBCIC,0.603450035725222,0.5313654484985818,0.6745734207021333,0.2213600082863895,0.058469809972057675,0.37686952304054083,0.5285291415739513,0.07492089415127079,-0.01794042979861201,0.16863694961583925,0.023401906781960736,0.19795810150442875,3.983263706677788e-05,0.3957652045403586,0.51010101010101,31,198,False
