task,session,variant,subjects,BA,macro_F1,NLL
OpenBMI_MI,S1,BASELINE,14,0.7142857142857142,0.7123347124632876,0.5777274753366198
OpenBMI_MI,S1,PROTECTED_PC_REFINE,14,0.7157142857142856,0.7135962427820178,0.577453979424068
OpenBMI_MI,S2,BASELINE,14,0.7114285714285715,0.7070341530180103,0.6204518015895572
OpenBMI_MI,S2,PROTECTED_PC_REFINE,14,0.7135714285714286,0.7092707491448339,0.6212868347231831
OpenBMI_ERP,S1,BASELINE,14,0.8633100606690662,0.8210671435045951,0.2723009171230452
OpenBMI_ERP,S1,PROTECTED_PC_REFINE,14,0.8622712702700576,0.8262751199933828,0.26203154985393795
OpenBMI_ERP,S2,BASELINE,14,0.8644805194805195,0.824000661817416,0.26806578252996716
OpenBMI_ERP,S2,PROTECTED_PC_REFINE,14,0.8624025974025974,0.8286322239274856,0.2572948288704668
OpenBMI_SSVEP,S1,BASELINE,14,0.9492857142857142,0.9487573255728122,0.16587236076260783
OpenBMI_SSVEP,S1,PROTECTED_PC_REFINE,14,0.9492857142857142,0.9488037355802378,0.16660889401100576
OpenBMI_SSVEP,S2,BASELINE,14,0.9199999999999999,0.9189599493200945,0.3042569781287706
OpenBMI_SSVEP,S2,PROTECTED_PC_REFINE,14,0.9214285714285714,0.9205449579609707,0.3039836484926387
WBCIC_MI,S0,BASELINE,10,0.7780000000000001,0.7597819784978013,0.5863003760576249
WBCIC_MI,S0,PROTECTED_PC_REFINE,10,0.8035,0.8004501061579523,0.5131798297166824
WBCIC_MI,S1,BASELINE,10,0.7815000000000001,0.7718832714149031,0.5884116291999817
WBCIC_MI,S1,PROTECTED_PC_REFINE,10,0.8185,0.8173959761253184,0.5142586320638657
WBCIC_MI,S2,BASELINE,10,0.7905,0.7760732219806268,0.5847154498100281
WBCIC_MI,S2,PROTECTED_PC_REFINE,10,0.8114999999999999,0.8104853881793028,0.5106420278549194
