task,fold,variant,logits_max_abs_diff,predictions_exact_match,BN_state_exact_match
OpenBMI_MI,0,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_MI,1,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_MI,2,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_MI,3,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_MI,4,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_ERP,0,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_ERP,1,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_ERP,2,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_ERP,3,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_ERP,4,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_SSVEP,0,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_SSVEP,1,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_SSVEP,2,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_SSVEP,3,PROTECTED_PC_REFINE,0.0,True,True
OpenBMI_SSVEP,4,PROTECTED_PC_REFINE,0.0,True,True
WBCIC_MI,0,PROTECTED_PC_REFINE,0.0,True,True
WBCIC_MI,1,PROTECTED_PC_REFINE,0.0,True,True
WBCIC_MI,2,PROTECTED_PC_REFINE,0.0,True,True
WBCIC_MI,3,PROTECTED_PC_REFINE,0.0,True,True
WBCIC_MI,4,PROTECTED_PC_REFINE,0.0,True,True
