task,fold,stage,status,projector_rank,projector_hash,reconstruction_error
OpenBMI_MI,0,discovery,COMPLETE,4,316cf700c23631e3db772213ad0c023ab760b06c30c00500c30a4413e0285ef6,0.0
OpenBMI_MI,0,refit,COMPLETE,5,b440c1c3e74161596867cb9572a0c0ffaaadc1c2549761acb64b70a17ed569f3,0.0
OpenBMI_MI,1,discovery,COMPLETE,3,892b096850701798848620ef58158d02e18d0ac25981b35575b8e3786becf1c3,0.0
OpenBMI_MI,1,refit,COMPLETE,6,d79ec61faa9bf0e29d5fe4de92fb33ad42291a85b6b2963b8b77b984303ab12f,0.0
OpenBMI_MI,2,discovery,COMPLETE,4,68e161ce42399a380e799f394dc818297c9882228e398d60ae7966805553c680,0.0
OpenBMI_MI,2,refit,COMPLETE,4,d1021a48ffeb432a1b0c1250643ca75bc48b89f207924d794b78fc73e88bc84a,0.0
OpenBMI_MI,3,discovery,COMPLETE,8,f92fbdde621e97ce2143602d184b7b664ad593740a15f76e573f6a60b3435c84,0.0
OpenBMI_MI,3,refit,COMPLETE,4,795887e778c3206f4e7e5f2de80f6997d5a7438ece3e1e4624cce6bd6722b96f,0.0
OpenBMI_MI,4,discovery,COMPLETE,5,cfad61f749ad697b863a412dbd8948d9f9feb6bf4eaa9afcc040af50ae3c626e,0.0
OpenBMI_MI,4,refit,COMPLETE,4,8f75c096aeb86db0e83f99f68865303e4ee5355c0483ad476bd6ab2a3118e683,0.0
OpenBMI_ERP,0,discovery,COMPLETE,6,2fee762246a7a94ec33b64348680fb9596f2e80d3cb9eced130546f0561d4c68,0.0
OpenBMI_ERP,0,refit,COMPLETE,9,cf969b2c05dd860050117db9e514dd50dbb4a763f4d0fd68eb99f682a3da0ae2,0.0
OpenBMI_ERP,1,discovery,COMPLETE,9,fef36239a9fc98e7033c32c812005d5d50618377cbdb955f7c4e16b552d222c2,0.0
OpenBMI_ERP,1,refit,COMPLETE,9,2f4994fe848036eb5c217beb25370c8353125e06d3b2d655c927cc2709f01143,0.0
OpenBMI_ERP,2,discovery,COMPLETE,8,977e091a11502ca3a1770870dc92b3b114e0fe94902854fa1030f70e5e8d7218,0.0
OpenBMI_ERP,2,refit,COMPLETE,8,d8e29396c296dfef3599ba393cca99765f2acaea51dfa899ace5fc2491897a86,0.0
OpenBMI_ERP,3,discovery,COMPLETE,4,2529c50cf60b2f94331fe7077ccf522489f953e99d28ba045dabed946570f199,0.0
OpenBMI_ERP,3,refit,COMPLETE,4,f6e58ff5488e66f19a771ae1338b07f41b70806ad085f1926f529e1e1dd384bd,0.0
OpenBMI_ERP,4,discovery,COMPLETE,5,24bc0c54c2a5c315d3433e603faf11da17f2d09af3f67deb4089eaf930d193da,0.0
OpenBMI_ERP,4,refit,COMPLETE,4,2c92adb83c451ccb1676b9a71d5557a854e4aaadf263e7e67ad2646eb36eef98,0.0
OpenBMI_SSVEP,0,discovery,COMPLETE,4,2382b417a8bacc40dd9c73836d22ad3bbb521224285fd2742d02649f29b7abc3,0.0
OpenBMI_SSVEP,0,refit,COMPLETE,4,5a4c16c81e4faf56909f096b56b1a0fd8fbb7b9afbafd20eca30da15a529c90a,0.0
OpenBMI_SSVEP,1,discovery,COMPLETE,8,62c6b069d32a2bbcb97068fef4f109f46db12ed9f91333eba603eb33e977799a,0.0
OpenBMI_SSVEP,1,refit,COMPLETE,8,5ca81c76fc3abc1df724ec31f14b551065998eea32aa5adae026c238c03f220a,0.0
OpenBMI_SSVEP,2,discovery,COMPLETE,4,84f38af0781375380eeb0a54427406e695f72c5a0961e6d8ca0d0e70808b1246,0.0
