stage,task,fold,variant,epoch,phase,loss,BA,macro_F1,NLL
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,1,1,0.31913760233493077,0.7166666666666667,0.7121575447444233,0.643016075094541
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,2,1,0.3183693786462148,0.7166666666666667,0.7121575447444233,0.642866646250089
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,3,1,0.31366794946647825,0.7166666666666667,0.7121575447444233,0.642706016699473
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,4,1,0.31785696532045093,0.715,0.710554662407596,0.6425743897755941
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,5,1,0.3197203463032132,0.715,0.710554662407596,0.6424041787783304
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,6,1,0.3198488496598743,0.715,0.710554662407596,0.6422245601812998
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,7,1,0.31988580170131864,0.715,0.710554662407596,0.6421062250932058
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,8,1,0.3204457518600282,0.715,0.710554662407596,0.6420723696549734
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,9,1,0.31385934140001026,0.7133333333333334,0.7090642839393694,0.6419623345136642
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,10,1,0.31647157952899024,0.7133333333333334,0.7090642839393694,0.6419292042652766
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,11,1,0.3183971799555279,0.7116666666666668,0.7074587536474941,0.6419039020935694
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,12,1,0.3166027104570752,0.7116666666666668,0.7074587536474941,0.6418208877245585
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,13,1,0.3145000757206054,0.7116666666666668,0.7074587536474941,0.641759475072225
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,14,1,0.31407435876982553,0.7116666666666668,0.7074587536474941,0.6418087780475616
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,15,1,0.31437684240795316,0.7116666666666668,0.7074587536474941,0.6417744507392248
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,16,1,0.31735184362956453,0.7116666666666668,0.7074587536474941,0.6418143262465795
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,17,1,0.3133498728275299,0.7116666666666668,0.7074587536474941,0.641775925954183
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,18,1,0.31382392275901067,0.7116666666666668,0.7074587536474941,0.6417921880880991
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,19,1,0.316416601339976,0.7100000000000001,0.7058532233556191,0.6417695929606756
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,20,1,0.3186135661034357,0.7100000000000001,0.7058532233556191,0.6418243696292242
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,1,2,0.35864162586984183,0.7133333333333334,0.7089491321157207,0.6407877802848816
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,2,2,0.3547504444917043,0.7083333333333334,0.7042359330284239,0.6397120157877604
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,3,2,0.3607054579825628,0.7066666666666667,0.7026167371731361,0.6386574059724808
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,4,2,0.3677775391510555,0.7050000000000001,0.7010112068812608,0.6379639605681101
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,5,2,0.36329910301026846,0.7050000000000001,0.7010112068812608,0.6375194638967514
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,6,2,0.3491230465116955,0.7033333333333335,0.69935337803315,0.6371952792008718
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,7,2,0.36257824301719666,0.7050000000000001,0.701066394548798,0.6365986317396164
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,8,2,0.3624634104115622,0.7050000000000001,0.701066394548798,0.6372049848238627
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,9,2,0.35107433795928955,0.7050000000000001,0.701066394548798,0.637675960858663
discovery,OpenBMI_MI,0,PROTECTED_PC_REFINE,10,2,0.3568482782159533,0.7033333333333333,0.6995025809723502,0.6380655864874522
refit,OpenBMI_MI,0,PROTECTED_PC_REFINE,1,1,0.3145257718861103,,,
refit,OpenBMI_MI,0,PROTECTED_PC_REFINE,2,1,0.31364387832581997,,,
refit,OpenBMI_MI,0,PROTECTED_PC_REFINE,3,1,0.3124229470267892,,,
refit,OpenBMI_MI,0,PROTECTED_PC_REFINE,1,2,0.3514702310785651,,,
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,1,1,0.31170528133710224,0.75,0.7462773431330647,0.5963737070560455
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,2,1,0.31314858368464876,0.75,0.7462773431330647,0.5963256706794103
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,3,1,0.3102946054367792,0.75,0.7462773431330647,0.5963051468133926
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,4,1,0.312492949622018,0.7483333333333334,0.7447110321087891,0.5963193327188492
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,5,1,0.3109930164757229,0.7483333333333334,0.7447110321087891,0.5962870915730795
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,6,1,0.31914622159231276,0.7450000000000001,0.7411410893554701,0.596301481127739
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,7,1,0.30817064075242906,0.7450000000000001,0.7411410893554701,0.5962452789147695
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,8,1,0.3114371342318399,0.7450000000000001,0.7411410893554701,0.5961772302786509
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,9,1,0.3085846524863016,0.7450000000000001,0.7411410893554701,0.5961200892925262
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,10,1,0.31043983215377446,0.7450000000000001,0.7411410893554701,0.5961205363273621
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,11,1,0.31011298298835754,0.7450000000000001,0.7411410893554701,0.5960955719153086
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,12,1,0.3098534615266891,0.7450000000000001,0.7411410893554701,0.5959398597478867
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,13,1,0.309315189009621,0.7450000000000001,0.7411410893554701,0.5960026532411575
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,14,1,0.3125438264438084,0.7450000000000001,0.7411410893554701,0.5959717035293579
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,15,1,0.308785012790135,0.7450000000000001,0.7411410893554701,0.5959606965382894
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,16,1,0.3095846630278088,0.7450000000000001,0.7411410893554701,0.5959578702847163
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,17,1,0.30745342728637515,0.7450000000000001,0.7411410893554701,0.595872571070989
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,18,1,0.3119994728338151,0.7433333333333332,0.7394542079143097,0.5958999842405319
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,19,1,0.30804376020317986,0.7433333333333332,0.7394542079143097,0.595892866452535
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,20,1,0.3066286955560957,0.7433333333333332,0.7394542079143097,0.5958606600761414
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,1,2,0.3542033093316214,0.7466666666666667,0.7428209392222175,0.596279576420784
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,2,2,0.3544002828143892,0.745,0.7412247784922199,0.5962219337622324
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,3,2,0.3548675151098342,0.7433333333333332,0.7396508780399452,0.595941369732221
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,4,2,0.3627597334839049,0.7433333333333332,0.7396508780399452,0.5954884439706802
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,5,2,0.355820608990533,0.7416666666666666,0.737736659696424,0.5949389537175497
discovery,OpenBMI_MI,1,PROTECTED_PC_REFINE,6,2,0.35805139938990277,0.7416666666666666,0.737736659696424,0.5951097557942072
