task,fold,stage,status,protected_rank,rank,canonical_basis_hash,protected_coordinate_hash,discovery_data_hash,protected_coordinates
OpenBMI_ERP,1,discovery,COMPLETE,9,20,b02ce9ce4f8cb400c26485c57df96f7074db9e8917f15dcb7b4e979dc1a96de0,ec96829af847bd293ea514fea879817836f90836b6e2592df3208ba4c5d17e02,69319babb52994b136119cf1b113cdf43989a14fe05585b558eaf007d40eec9e,"[2, 7, 8, 9, 10, 11, 12, 13, 14]"
OpenBMI_ERP,1,refit,COMPLETE,9,20,a759382f02e2cac808ec6d41b0c8851cdf7260c701b9477d7584f11236f55abf,ec96829af847bd293ea514fea879817836f90836b6e2592df3208ba4c5d17e02,435f3cdc4b310614690e5bd5d62da946a44cf6e25e08df7093e5a94c132c7692,"[2, 7, 8, 9, 10, 11, 12, 13, 14]"
OpenBMI_ERP,2,discovery,COMPLETE,8,20,98064033622af1762798fa30a97a2a12baa88df6df7ce8df6194e54986d762d3,b486527ccdd344202d288e42c54d8ba7e36285bb08fdc097e0a1e504317c07c6,c78fc4ee9c56e2eecef8b5770abc2a28a101824d7c4ece499eafe9e1cae776a2,"[5, 6, 7, 8, 9, 10, 11, 12]"
OpenBMI_ERP,2,refit,COMPLETE,8,20,3de60fff33736062fb1fce751c9762c4b10ae58f3bbfeccbfbce706c2e64050a,782eefe9cbd6c40d30a8af743c2dbe502e0d847dc58d7f495c9917215436eb40,d460759a352ce587f1f4750f8126a29d6bfbd924b5c62ad559ddd68cb2b12a6a,"[4, 5, 6, 7, 8, 9, 10, 11]"
OpenBMI_ERP,3,discovery,COMPLETE,4,20,cf68d57134e9f0d798ed8965a9e06867125e32011b336d286cc39028c25ba3e0,adb1ca1e406dc598a6e45324f12a6434976673ea5275a5adff9b01639bda633a,f466d3dbeb9e394d19526706c728b9844b3b1ee4c8de06901cbe69ce38886579,"[7, 8, 9, 10]"
OpenBMI_ERP,3,refit,COMPLETE,4,20,a047f187b1e13341a7fdb765a77d2bbfb7e34eb839bd76c2860f256313019afb,644a036f04dfb15227bcf183365ea4230dc160356b456fdae0c304d7b8b41cc8,02b04a6ff1eacd0b97a6b6fef9bffa5536cd823dc6ca3dc3f67ed119e9162c9a,"[2, 5, 6, 7]"
OpenBMI_ERP,4,discovery,COMPLETE,5,20,bb67ec41f19c78bf9cbc4e9b0a8089503ccd6b3a1e5909a8c3e871d6547aae1d,bd33618750dd6e845db17b7436f4cf8dd078e66450197271e8da511b5cd15ed0,2b2a4115acac16a804121c37f5f43659bc243112a1c2d5eab1cd05fa57c14ba4,"[2, 12, 13, 14, 15]"
OpenBMI_ERP,4,refit,COMPLETE,4,20,8ce15b7f0b00c8be047f5ecc91460735e5a6625aa3079374de8367fb936de082,8ceb476b9c348b805850434ac226bffd2ed5929ea1feed750ab815d7cf840761,b94b6f2ee0f5335ad7f9c2e0ddc8df08b4a0fbf88733a0cf158f300d9e20ed83,"[12, 13, 14, 15]"
OpenBMI_SSVEP,0,discovery,COMPLETE,4,20,9ca104656ec1ce78d72fa3dfd19f9ab066e94c7ebd2cfae252e0d16a4a273255,8ceb476b9c348b805850434ac226bffd2ed5929ea1feed750ab815d7cf840761,2a2c20c8eb323d48228bef7b99ca6bf620845d83e41f737313898ebd7981ba3d,"[12, 13, 14, 15]"
OpenBMI_SSVEP,0,refit,COMPLETE,4,20,5110f45459feadee253bb857b1557906ab39200f0a3a136bf476e40910ee467a,aa65f71956acb3e6df7dc028a58f52967afa6355cb8a816df8487e6ec18fa880,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,"[14, 15, 16, 17]"
OpenBMI_SSVEP,1,discovery,COMPLETE,8,20,d3fa864fe6ef1a303f06643e7b30099bf1b299bb143fcb1f535c57d0cb5d258e,cdc133ab90a81f47fdc3ebef0abde2015be8ba5116b71856b86fbfbb06ea4db7,916fcadaee26797cdd39644a87d49814aeddd121714d1875650466848b1fe106,"[8, 9, 10, 11, 12, 13, 14, 15]"
OpenBMI_SSVEP,1,refit,COMPLETE,8,20,0aaf7d1a77c0d0f11c74550e04318e239ff255885ffded1fabb31a380967854e,b3560f37447b1f7e97c4a24960ddf144373491db5fcf177e5f4f23769bd66cc8,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,"[10, 11, 12, 13, 14, 15, 16, 17]"
OpenBMI_SSVEP,2,discovery,COMPLETE,4,20,553f503f78d1a80d9cbd33d4fbe62cb9554a6c6c67ed08f663bb83574eddc4e1,ebfc5aaefce16f7155049a160884c2c1428d5fb75930fa07770a6877149a015d,4103a2baea633aa383898911f1b00ea21787c87c17deb4da077ae6af0220df24,"[11, 12, 13, 14]"
OpenBMI_SSVEP,2,refit,COMPLETE,4,20,5353e07f03976b62d7b7ee686497a23c18a239db57ba57eee2091fc129ba87f8,aa65f71956acb3e6df7dc028a58f52967afa6355cb8a816df8487e6ec18fa880,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,"[14, 15, 16, 17]"
OpenBMI_SSVEP,3,discovery,COMPLETE,8,20,0dcb5547a9352075d945ab6854f1b4012220470bc8d96a93cc7ea8e15eac3d83,b5ecb49263bfc761c7260c3be6ee6367711f9156200e8517e7203b3efa7a8ba5,b2646699ad3b54436922e6ee9d7051a37761798ae782803fd33d3268e0124f75,"[9, 10, 11, 12, 13, 14, 15, 16]"
OpenBMI_SSVEP,3,refit,COMPLETE,8,20,5777db650731c13e59e250b3a26e8dcb828b50b0e5aef61a3059aa6fdc74e700,daa8dc23175b914659c4b02419fe94b9629909ca478d9f905b16636c259fd154,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,"[11, 12, 13, 14, 15, 16, 17, 18]"
OpenBMI_SSVEP,4,discovery,COMPLETE,8,20,6d3c69d1c3358213116b6b62a4a27a0652cea926efa682719d720ee167884869,b3560f37447b1f7e97c4a24960ddf144373491db5fcf177e5f4f23769bd66cc8,f361b17e943d4d5a587472913a3721211846553782d726a5f8debfd200ba2c26,"[10, 11, 12, 13, 14, 15, 16, 17]"
OpenBMI_SSVEP,4,refit,COMPLETE,4,20,41c335455ce2421cbe7bd79f9ee4324f1f7e0f00be832d134c7f0df7fc5862f2,8ceb476b9c348b805850434ac226bffd2ed5929ea1feed750ab815d7cf840761,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,"[12, 13, 14, 15]"
WBCIC_MI,0,discovery,COMPLETE,2,20,c8df2258d107cc6d33b00c587b74916d19fd13785b1f2fe37b92b89b3b5c82e2,3a316d6d3226f84c1e46e4447fa8d5fd800bff4a1bc6498152523cd4a602b69b,4d7f71fc72cbeba7391aa0a03968af06a07a0751d8b14d0133a238edd65891d9,"[1, 2]"
WBCIC_MI,0,refit,COMPLETE,2,20,37927801f7e3d97709d78eafaf438363415e2ace5654760cb702958c50f1eb5e,923682bea6d517dc178d480c88e129e485ed902f4fa024866666658cd4ea6836,3b06773c6caedf9751aad4a2828be995c8315a5770a598b65bf2239de136a14b,"[0, 1]"
WBCIC_MI,1,discovery,COMPLETE,2,20,36c964936697b33a4946fb461c5b45c9a6ad4411461afd447ecca39e4f30f1e2,3a316d6d3226f84c1e46e4447fa8d5fd800bff4a1bc6498152523cd4a602b69b,0c3d8afc97825d82399a993246a64a447ab59440445436c16fd392fed4facd7a,"[1, 2]"
WBCIC_MI,1,refit,COMPLETE,2,20,c31958802cdab64bd77bcbc0af584cce819fd6c38be41410539a23cbb7b091a2,923682bea6d517dc178d480c88e129e485ed902f4fa024866666658cd4ea6836,1ded1b0ce2ecf1c60b27cad1f6015c508831a00026471cb993fd5e39d1cd3d5f,"[0, 1]"
WBCIC_MI,2,discovery,COMPLETE,3,20,797f597b3c8b2612158fef1171711a2ba2d95d50833d2417b2ca0a80d73bcb16,d3404059a01f4426ac8962d8a2d07f4b82824293477b5c929e4303678cbf0359,e3c3c4072c72bb6239b26169e68d0c5e7fd7b0dac837aa7b73d03bd9fb0375f0,"[2, 3, 4]"
WBCIC_MI,2,refit,COMPLETE,2,20,1f41f6129651752fbff61008a098ff1c35f7e31fe228ec25daed07e9215a24ad,3a316d6d3226f84c1e46e4447fa8d5fd800bff4a1bc6498152523cd4a602b69b,54fbc9bf35b82bc1c75b85dcd49253244265354df3f250818f2ef8e812855322,"[1, 2]"
WBCIC_MI,3,discovery,COMPLETE,2,20,f5bd2d6629ce3969ff6fdeeed5d827cc7b9d6b31b32fb34e04eff31d9f1e39f0,3a316d6d3226f84c1e46e4447fa8d5fd800bff4a1bc6498152523cd4a602b69b,660ab6ca1e8c320c7d1faae07d7e48f4be5e441e00d9f76298106687b7f3b69a,"[1, 2]"
WBCIC_MI,3,refit,COMPLETE,1,20,a76be69c78c91a5eab9c63767ec22606d02e7a873d315c2e388567b34abbffa0,080a9ed428559ef602668b4c00f114f1a11c3f6b02a435f0bdc154578e4d7f22,c43bfd75c34c4b209afc00ed8a4a90fc0d4e61663172009bdbd80772f9940504,[1]
WBCIC_MI,4,discovery,COMPLETE,1,20,8988a4b3aafce9f121802eae4e72b5a7a5593627f319f7cb4431478dc7aa7a0a,038966de9f6b9a901b20b4c6ca8b2a46009feebe031babc842d43690c0bc222b,b82e2c01139ce6be3bae47a15bd1f365869e661c0a29763a6cc3e00dea4f8985,[2]
WBCIC_MI,4,refit,COMPLETE,1,20,f55c348d9431e23cb174c133b6cc5bad09f56be4fd5ba9564b28ccc50f108546,080a9ed428559ef602668b4c00f114f1a11c3f6b02a435f0bdc154578e4d7f22,c76b39d04928816aec2bdb0a2a80a4aa5182fafef1f0b176c47bc2fd732c7e6c,[1]
