task,contrast,metric,difference,CI95_low,CI95_high,bootstrap_draws,unit
OpenBMI_MI,PROTECTED_PC_REFINE - BASELINE,BA,0.0021428571428571447,-0.0021428571428571447,0.0064285714285714345,20000,biological subject
OpenBMI_MI,PROTECTED_PC_REFINE - BASELINE,macro_F1,0.002236596126823555,-0.00238448707745764,0.007329689172963722,20000,biological subject
OpenBMI_MI,PROTECTED_PC_REFINE - BASELINE,worst_session_BA,7.93016446160826e-18,-0.0057142857142857195,0.005714285714285727,20000,biological subject
OpenBMI_ERP,PROTECTED_PC_REFINE - BASELINE,BA,-0.0020779220779220753,-0.004458874458874463,-0.0002597402597402612,20000,biological subject
OpenBMI_ERP,PROTECTED_PC_REFINE - BASELINE,macro_F1,0.0046315621100695824,0.0018789901349214805,0.007084402258589154,20000,biological subject
OpenBMI_ERP,PROTECTED_PC_REFINE - BASELINE,worst_session_BA,-0.0012768856371039305,-0.003397927118363707,0.0008225108225108516,20000,biological subject
OpenBMI_SSVEP,PROTECTED_PC_REFINE - BASELINE,BA,0.0014285714285714299,0.0,0.003571428571428575,20000,biological subject
OpenBMI_SSVEP,PROTECTED_PC_REFINE - BASELINE,macro_F1,0.0015850086408762001,0.0,0.003978740400972347,20000,biological subject
OpenBMI_SSVEP,PROTECTED_PC_REFINE - BASELINE,worst_session_BA,0.0007142857142857149,0.0,0.0021428571428571447,20000,biological subject
WBCIC_MI,PROTECTED_PC_REFINE - BASELINE,BA,0.020999999999999998,0.007499999999999984,0.036,20000,biological subject
WBCIC_MI,PROTECTED_PC_REFINE - BASELINE,macro_F1,0.03441216619867598,0.016110435929902106,0.053948298997217724,20000,biological subject
WBCIC_MI,PROTECTED_PC_REFINE - BASELINE,worst_session_BA,0.022499999999999975,0.006999999999999984,0.037,20000,biological subject
