task,fold,stage,status,PCA_dim,PCA_hash
OpenBMI_MI,0,discovery,COMPLETE,16,f90c0608651e1b3c65bb79bf95e6cebbf07a593933d57853d603ed48a65f8014
OpenBMI_MI,0,refit,COMPLETE,16,5a2b53941e5dbe6e86ba3a1ece974a73ab3b5bec50575ca641d477a2aa2ee79c
OpenBMI_MI,1,discovery,COMPLETE,16,8167708062170e950ca3ede267108a0bb073538e61751f53e8aa283736326b6a
OpenBMI_MI,1,refit,COMPLETE,16,857a971ffc2780d8603a9a6adea807346c0d58b6e537f3d72df35c8dbfd6cd25
OpenBMI_MI,2,discovery,COMPLETE,16,f378b37cd34a4962a8dbb7361325bcfb4122f914f763aea94f8dce86b584dbe3
OpenBMI_MI,2,refit,COMPLETE,16,9575893ff8afd147e9ea7d5eef146ce4d0730568dc1d8d78ac3f3c86064c592f
OpenBMI_MI,3,discovery,COMPLETE,16,d131e75afe5ca496c0ebb4e0688c6b34430c23c3658d2deb63f5a75172a991e1
OpenBMI_MI,3,refit,COMPLETE,16,93e5e1ec3f7b04db5fcb12768278b6675056e233626a869b203c5d06edc3feac
OpenBMI_MI,4,discovery,COMPLETE,16,3fa78074f7036665e4a1a175099cc4d8d49a24b4e72ac60b5d78cfa0790bf8bc
OpenBMI_MI,4,refit,COMPLETE,16,73be12c627a33d8e264243533dffbd4f1dd22ec0c8806a098400784457c20899
OpenBMI_ERP,0,discovery,COMPLETE,16,312512c029a2b89b7c99d8f263ec4230a2bd52e88947d05ec67b95e219d924c8
OpenBMI_ERP,0,refit,COMPLETE,16,44ed577d5f18c3e1adde55f07526bb179d75785214934385fd83afd94d8478b4
OpenBMI_ERP,1,discovery,COMPLETE,16,5e1330ef174a9c36f0a63ceea823ff086a70c68c8f59499dedc3d372f1e86722
OpenBMI_ERP,1,refit,COMPLETE,16,3550830950ca3cf8ed233357e950cbbeac00ec81fc01b1d23915f68cf638a222
OpenBMI_ERP,2,discovery,COMPLETE,16,01e7591050f03ce4e5e365d818698658e37098bd943a6b0b11838a2f3cf767ab
OpenBMI_ERP,2,refit,COMPLETE,16,ca4e83562ebcf5e65f351a362338d628c92d8fbbf70f858fc87e2b177acc45ef
OpenBMI_ERP,3,discovery,COMPLETE,16,d23127d5ddc4e9e245abb9409c77c98b3954daec2cbd99d002e0dd7126864f08
OpenBMI_ERP,3,refit,COMPLETE,16,49dece55af12f3a5ebc545f11736d322c095e6f044e04f6a41e8fc1c45ae4bae
OpenBMI_ERP,4,discovery,COMPLETE,16,e26e2471aab77b299b4fad40683c998e7eae4d162d96a99e4745a2aec633bae8
OpenBMI_ERP,4,refit,COMPLETE,16,76f093d11342f5ec6e264c123164a776b2a9cd33bc8946db6a924b5f07f5fb00
OpenBMI_SSVEP,0,discovery,COMPLETE,16,837bfaa13b8e528623db722df48d6c356a5a6f613c785a7e6581694508bff0e6
OpenBMI_SSVEP,0,refit,COMPLETE,16,7b92845fd9e5815f58d6fd785f0848a2a3bea85ce80f1f18c522a42591b70331
OpenBMI_SSVEP,1,discovery,COMPLETE,16,b6cbbf3b4a0a4bd2809d69fcee87829c4d90f09d5a3cf28e148d264adcbcecf5
OpenBMI_SSVEP,1,refit,COMPLETE,16,37eb23ed7a9376ddb07ba0bdb06b4d4e63cf4a34e082edd0d421f80527e3b7d3
OpenBMI_SSVEP,2,discovery,COMPLETE,16,8745698a28535676c881e13845c77e9e77eaeebfd0913e7317e291ab0516cd4a
OpenBMI_SSVEP,2,refit,COMPLETE,16,889543f77e74585d5a1f0b1cef2f27dc7a97be04928c9d3a68bb48108b3a4e0b
OpenBMI_SSVEP,3,discovery,COMPLETE,16,2a4998b94df7492372c8ca53d2c3f4ea1140e8e24cd952c3694f5959cefb835f
OpenBMI_SSVEP,3,refit,COMPLETE,16,17880b059aa37ca1e979469cdb812f1d751a4b8109cd5ddb79b4644db14f9eb3
OpenBMI_SSVEP,4,discovery,COMPLETE,16,2de362d616bbeeade94e91fd1b5fff8ebf60594896fb1de1bcbe06abae16032d
OpenBMI_SSVEP,4,refit,COMPLETE,16,c312dfc60087449423da264dd1e52db3c6e7783fe66f09083e49d106d63199c5
WBCIC_MI,0,discovery,COMPLETE,16,dc2f55a817d8ff52d14c1d9a880b018fdd04e1baa8212d28f02c4e5aebf3eb96
WBCIC_MI,0,refit,COMPLETE,16,9dcc3f595e7424fc691b0147bd643ab90961b3b0639b70817d269e007da5ac95
WBCIC_MI,1,discovery,COMPLETE,16,5d5b5f190871e5721df041159664583e51999f2aa8d4ad00b1aa5a0b100dfc8d
WBCIC_MI,1,refit,COMPLETE,16,394c2a0bac93675555719be5e7ccf1317a2f33476e39be93c53f4e54ee857577
WBCIC_MI,2,discovery,COMPLETE,16,88ffa447f9267be19a2e75f5dc2db52d4593b27f947fee98fc8a49cb80b96caf
WBCIC_MI,2,refit,COMPLETE,16,66ff46c10db612b895bbdbde330513c27442e3d9188a0e5cce34596f54d4095f
WBCIC_MI,3,discovery,COMPLETE,16,6170424a419300acaa3e0135ac88f2c8d4b45c96e4b0f5513fd879cbd2819930
WBCIC_MI,3,refit,COMPLETE,16,ab3c7413d65c39bc83826c9397431c5a7d20a2140ed971273daf2c5679fb1bcb
WBCIC_MI,4,discovery,COMPLETE,16,cbe92a7334660ea28e031010ad5e89827a136d04c19417a8bf7fb04647b6cbcd
WBCIC_MI,4,refit,COMPLETE,16,05a057ecb7a474c1adbe0d355e74e4b9df4c16862a09d3dfe9e12332d9287174
