task,fold,variant,phase1_selected_epoch,phase2_selected_epoch,checkpoint_sha256,BA,macro_F1,NLL
OpenBMI_MI,0,BASELINE,0,0,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,0.715,0.7103845766793203,0.6431142141421636
OpenBMI_MI,0,PROTECTED_PC_REFINE,3,1,9c25d65886ac339ed1ce6a34f323f6be9f2ed3484a2c53e34093a7a7b8f43380,0.7133333333333334,0.7089491321157207,0.6407877802848816
OpenBMI_MI,1,BASELINE,0,0,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,0.75,0.7462773431330647,0.59638844927152
OpenBMI_MI,1,PROTECTED_PC_REFINE,3,1,f834db1ccd64b1ff8cd7e5ba409516db5711a837ab31a206aaef8e948251bc5e,0.7466666666666667,0.7428209392222175,0.596279576420784
OpenBMI_MI,2,BASELINE,0,0,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,0.7833333333333333,0.7809605345296545,0.5132621054848036
OpenBMI_MI,2,PROTECTED_PC_REFINE,1,4,84aec5ed898891931d1eaeef583aa0b2db39aa41a28a24763629bbe2822ee6b7,0.7833333333333332,0.7808759030527347,0.5136844019095103
OpenBMI_MI,3,BASELINE,0,0,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,0.7516666666666668,0.750777771738092,0.5665421038866043
OpenBMI_MI,3,PROTECTED_PC_REFINE,3,2,3517efea1c2fd4673c430140a56575c4b423cae1b218fd08cf87f5ad45621b9d,0.7533333333333334,0.7524265960843121,0.5667801847060522
OpenBMI_MI,4,BASELINE,0,0,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,0.75,0.7476851784544593,0.5936892628669739
OpenBMI_MI,4,PROTECTED_PC_REFINE,8,1,ba7be1bd678193992a5fa47f9ea71b3282d30b0704d28fe8eb89c2ae25816b32,0.75,0.7473146291061891,0.5945660024881363
OpenBMI_ERP,0,BASELINE,0,0,d803e953355c6d326d7889b057412049edcd96cc800f9782d7fb36782a175b89,0.8758080808080808,0.8440234481550976,0.23996362835168839
OpenBMI_ERP,0,PROTECTED_PC_REFINE,6,1,6cd0f7558cdb5324432180ec1ecffc90faaa49b9a2e169a3e7c9417d576da8a1,0.8732323232323232,0.848282204903783,0.2309404859940211
OpenBMI_ERP,1,BASELINE,0,0,f4e2e9272eb01443de43cf8b91fa12040b46238aa312729ccda9311950ca2b05,0.8304040404040404,0.7851109023419426,0.32137225816647214
OpenBMI_ERP,1,PROTECTED_PC_REFINE,4,3,c6e97b8cff4cfadad6321ec5f718d1dab6f07ea5126caed14c502fc028539ebc,0.829090909090909,0.7935453687578247,0.3040693402290344
OpenBMI_ERP,2,BASELINE,0,0,ffd6833609988d619825e0fcb74978d240924d22c7538ce7b5897e89b3b643d2,0.8008080808080807,0.7640493479900393,0.35719789067904156
OpenBMI_ERP,2,PROTECTED_PC_REFINE,1,1,a23ea0b2fe64065f1844cfdae973336715536184107f7298255a146fdd20adf5,0.7973737373737374,0.7655758740059756,0.34837716569503147
OpenBMI_ERP,3,BASELINE,0,0,6a3fe1de7a6eae3ae8d686d038aa725b45393b89b797eba74d24f7ea8caa9415,0.8409090909090909,0.8019607299728242,0.2989148149887721
OpenBMI_ERP,3,PROTECTED_PC_REFINE,2,1,1d718dc6c15ebbf5500a9a501fa28bfc44216006f67e774f502df2cc2326dedc,0.8393434343434342,0.7982367856579794,0.3045223231116931
OpenBMI_ERP,4,BASELINE,0,0,083b79bdaf32125dd9d90d1e63f96e78e2681baf9ea2753a15cfc92dbd660563,0.842070707070707,0.8011507198159077,0.3011721335351467
OpenBMI_ERP,4,PROTECTED_PC_REFINE,6,1,f6aa718448c27a276fd02f6a5462f82aeb3d91378a8448d50e217fc35cab3684,0.839191919191919,0.8096988159405484,0.2827452930311362
OpenBMI_SSVEP,0,BASELINE,0,0,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,0.965,0.9646271651265382,0.15318942784021297
OpenBMI_SSVEP,0,PROTECTED_PC_REFINE,1,3,67225e320765f1e6ba39f483bed5fd34b2c9948eec3e2420106129f6bff2765a,0.9616666666666666,0.9613773772108313,0.15150042716413736
OpenBMI_SSVEP,1,BASELINE,0,0,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,0.9033333333333333,0.8979378458010898,0.3412035437456022
OpenBMI_SSVEP,1,PROTECTED_PC_REFINE,2,1,eb0f668769994dea8278ad883e515e7088773670c8dcd36357edd5268e9db7a8,0.9,0.8945445886705411,0.34400542204578716
OpenBMI_SSVEP,2,BASELINE,0,0,6aa5e6e296ab32f1f69f03090f052d8a71c09dedc03bbc11d287cf9873a62040,0.935,0.9349459978242067,0.2273184104512135
OpenBMI_SSVEP,2,PROTECTED_PC_REFINE,20,1,f99b85fd21d87cfe86949ca3d4e01173e491354b58386e2cd7f9392de5229e80,0.935,0.9349459978242067,0.22663053000966707
OpenBMI_SSVEP,3,BASELINE,0,0,f286e0fb5018864344844f980e946f9724b00dae7a5a53c55c88465841ba6c12,0.8683333333333333,0.859961114822411,0.5102174942730926
OpenBMI_SSVEP,3,PROTECTED_PC_REFINE,14,1,7be0cd6c1bf6fdda4197617317a1313c47998592f886e8ee6b06e9fae494c163,0.8683333333333333,0.8599695540955561,0.509524438646622
OpenBMI_SSVEP,4,BASELINE,0,0,d11730326b518db0ae6fc3239bd31ff3f1a2e364ddd293c9b656c2e756a1b56e,0.9049999999999999,0.9001988174254661,0.29780071911712486
OpenBMI_SSVEP,4,PROTECTED_PC_REFINE,20,2,859670ebd6f5bdb77bd68c2ea488032616a13b926d3350703a7142d7ff60ef66,0.9066666666666667,0.9011201668676391,0.29062091854090494
WBCIC_MI,0,BASELINE,0,0,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26,0.6723143939393939,0.6491294844612978,0.5925464510917664
WBCIC_MI,0,PROTECTED_PC_REFINE,2,7,2471dc425bfcc024ebb9d4079e701612052ed7008faba5e06c5ef123a2cf51ad,0.6605757575757576,0.6576245647103345,0.5808325201272965
WBCIC_MI,1,BASELINE,0,0,f3d5aa0c934a36886b9c1377ae336b7e6c636afdf344612eb61d3293db3a5d5c,0.8925441919191919,0.8923659689151059,0.2733623206615448
WBCIC_MI,1,PROTECTED_PC_REFINE,1,1,8c5c7367e44667a6e29c2963de13c9bfd1219d35ed2acb2af1c02f9108d510ea,0.8895441919191919,0.889350779272115,0.2751385122537613
WBCIC_MI,2,BASELINE,0,0,3c34712bdf77d0ec7a36989bf2f557c6ccc7d3e263576ec2c29fa9c06c03ed34,0.882,0.881890883159069,0.2833076477050781
WBCIC_MI,2,PROTECTED_PC_REFINE,2,1,76bb0a625aa603a331063956fbf9654b1366e7ee77a024d385f08a0a0cc2a298,0.883,0.8828948669537388,0.28357372581958773
WBCIC_MI,3,BASELINE,0,0,0efb22336ff9ce62f16e66e5b3649bd6c8957ed5d9c630eb5de163c043dd96b3,0.736,0.7318334951906584,0.5930944561958313
WBCIC_MI,3,PROTECTED_PC_REFINE,18,8,c283a9409a9a54b50bc3b02ddae288bfdf282017da23fe2a39dbaaee5ec586ef,0.7430000000000001,0.7401681478580355,0.5128690451383591
WBCIC_MI,4,BASELINE,0,0,73f45ad4e44f024a4f237493a8e86ea7bbd067abccb5ee7cca2dd6e5f0d8311d,0.7609999999999999,0.760629541993793,0.4881925702095032
WBCIC_MI,4,PROTECTED_PC_REFINE,19,1,856f291e21a1b9d7a6cb54e61e9b5f2377efed046007b36d41830d4ea280d542,0.768,0.7675886682329913,0.48403750658035277
