task,subject,session,variant,BA,macro_F1,NLL
OpenBMI_MI,4,S1,BASELINE,0.71,0.7064480210547626,0.6134390830993652
OpenBMI_MI,4,S1,PROTECTED_PC_REFINE,0.71,0.7064480210547626,0.6115595102310181
OpenBMI_MI,12,S1,BASELINE,0.79,0.78997899789979,0.4288530647754669
OpenBMI_MI,12,S1,PROTECTED_PC_REFINE,0.79,0.78997899789979,0.42839378118515015
OpenBMI_MI,13,S1,BASELINE,0.72,0.7189883580891208,0.5729124546051025
OpenBMI_MI,13,S1,PROTECTED_PC_REFINE,0.73,0.7293233082706767,0.5700666904449463
OpenBMI_MI,17,S1,BASELINE,0.77,0.769792813532179,0.46122023463249207
OpenBMI_MI,17,S1,PROTECTED_PC_REFINE,0.77,0.769792813532179,0.4625144302845001
OpenBMI_MI,18,S1,BASELINE,0.65,0.6496847162446202,0.6491414904594421
OpenBMI_MI,18,S1,PROTECTED_PC_REFINE,0.65,0.6496847162446202,0.6478827595710754
OpenBMI_MI,24,S1,BASELINE,0.62,0.6100164203612479,0.7074960470199585
OpenBMI_MI,24,S1,PROTECTED_PC_REFINE,0.61,0.5983935742971888,0.7152966856956482
OpenBMI_MI,25,S1,BASELINE,0.79,0.7851662404092072,0.4537980556488037
OpenBMI_MI,25,S1,PROTECTED_PC_REFINE,0.78,0.7756017951856384,0.44808846712112427
OpenBMI_MI,29,S1,BASELINE,0.5700000000000001,0.5664885573142454,0.8159250020980835
OpenBMI_MI,29,S1,PROTECTED_PC_REFINE,0.55,0.5444883085332524,0.8196953535079956
OpenBMI_MI,36,S1,BASELINE,0.91,0.90999099909991,0.35879868268966675
OpenBMI_MI,36,S1,PROTECTED_PC_REFINE,0.9099999999999999,0.9099189270343309,0.36064812541007996
OpenBMI_MI,37,S1,BASELINE,0.63,0.6296667000300271,0.7239886522293091
OpenBMI_MI,37,S1,PROTECTED_PC_REFINE,0.64,0.6398559423769508,0.7210330963134766
OpenBMI_MI,39,S1,BASELINE,0.8,0.7987117552334944,0.45530444383621216
OpenBMI_MI,39,S1,PROTECTED_PC_REFINE,0.8200000000000001,0.8193496587715776,0.45053327083587646
OpenBMI_MI,42,S1,BASELINE,0.72,0.7189883580891208,0.5610191822052002
OpenBMI_MI,42,S1,PROTECTED_PC_REFINE,0.74,0.7383252818035426,0.5623093247413635
OpenBMI_MI,51,S1,BASELINE,0.7,0.6989160979526294,0.5618537664413452
OpenBMI_MI,51,S1,PROTECTED_PC_REFINE,0.69,0.6892230576441103,0.5610058307647705
OpenBMI_MI,54,S1,BASELINE,0.62,0.6198479391756703,0.724434494972229
OpenBMI_MI,54,S1,PROTECTED_PC_REFINE,0.63,0.62996299629963,0.7253283858299255
OpenBMI_MI,4,S2,BASELINE,0.73,0.7175436761167486,0.5572490096092224
OpenBMI_MI,4,S2,PROTECTED_PC_REFINE,0.73,0.7175436761167486,0.5537698864936829
OpenBMI_MI,12,S2,BASELINE,0.72,0.7198879551820728,0.5925197005271912
OpenBMI_MI,12,S2,PROTECTED_PC_REFINE,0.73,0.72997299729973,0.5923797488212585
OpenBMI_MI,13,S2,BASELINE,0.74,0.74,0.5345353484153748
OpenBMI_MI,13,S2,PROTECTED_PC_REFINE,0.74,0.7398959583833533,0.5352281928062439
OpenBMI_MI,17,S2,BASELINE,0.67,0.6659580929243851,0.8415268063545227
OpenBMI_MI,17,S2,PROTECTED_PC_REFINE,0.66,0.6550324675324675,0.8462813496589661
OpenBMI_MI,18,S2,BASELINE,0.62,0.6198479391756703,0.6799363493919373
OpenBMI_MI,18,S2,PROTECTED_PC_REFINE,0.61,0.60996099609961,0.6794833540916443
OpenBMI_MI,24,S2,BASELINE,0.62,0.6006725514922235,1.000240445137024
OpenBMI_MI,24,S2,PROTECTED_PC_REFINE,0.63,0.6093337556752191,1.008415699005127
OpenBMI_MI,25,S2,BASELINE,0.99,0.9899989998999901,0.0585172176361084
OpenBMI_MI,25,S2,PROTECTED_PC_REFINE,0.99,0.9899989998999901,0.0584639273583889
OpenBMI_MI,29,S2,BASELINE,0.64,0.6394230769230769,0.6887375712394714
OpenBMI_MI,29,S2,PROTECTED_PC_REFINE,0.6499999999999999,0.6491228070175439,0.690207302570343
OpenBMI_MI,36,S2,BASELINE,0.85,0.8498648783905515,0.3527648150920868
OpenBMI_MI,36,S2,PROTECTED_PC_REFINE,0.8400000000000001,0.8397435897435898,0.35359132289886475
OpenBMI_MI,37,S2,BASELINE,0.63,0.6269785260610949,0.7163738012313843
OpenBMI_MI,37,S2,PROTECTED_PC_REFINE,0.64,0.6363636363636364,0.722902774810791
OpenBMI_MI,39,S2,BASELINE,0.63,0.6093337556752191,0.7435597777366638
OpenBMI_MI,39,S2,PROTECTED_PC_REFINE,0.65,0.6338529134846741,0.7349180579185486
OpenBMI_MI,42,S2,BASELINE,0.73,0.7297567811029927,0.6320645809173584
OpenBMI_MI,42,S2,PROTECTED_PC_REFINE,0.73,0.7297567811029927,0.6339787840843201
OpenBMI_MI,51,S2,BASELINE,0.6599999999999999,0.6594551282051282,0.7281169891357422
OpenBMI_MI,51,S2,PROTECTED_PC_REFINE,0.6599999999999999,0.6594551282051282,0.728393018245697
OpenBMI_MI,54,S2,BASELINE,0.73,0.7297567811029927,0.5601828098297119
OpenBMI_MI,54,S2,PROTECTED_PC_REFINE,0.73,0.7297567811029927,0.5600022673606873
OpenBMI_ERP,4,S1,BASELINE,0.7945454545454546,0.7841244515357,0.28688427805900574
OpenBMI_ERP,4,S1,PROTECTED_PC_REFINE,0.7875757575757576,0.7837800118626919,0.27910342812538147
OpenBMI_ERP,12,S1,BASELINE,0.9478787878787879,0.881171043259489,0.18584775924682617
OpenBMI_ERP,12,S1,PROTECTED_PC_REFINE,0.9496969696969697,0.885219396603752,0.1764947474002838
OpenBMI_ERP,13,S1,BASELINE,0.8936363636363637,0.8305186102385332,0.27234336733818054
OpenBMI_ERP,13,S1,PROTECTED_PC_REFINE,0.8927272727272727,0.8330117473469156,0.26482680439949036
OpenBMI_ERP,17,S1,BASELINE,0.8324242424242424,0.7521550824897982,0.40645837783813477
OpenBMI_ERP,17,S1,PROTECTED_PC_REFINE,0.8387878787878789,0.7633116883116884,0.39186128973960876
OpenBMI_ERP,18,S1,BASELINE,0.7790681220941985,0.7780562440921273,0.28816163539886475
OpenBMI_ERP,18,S1,PROTECTED_PC_REFINE,0.7693735413565614,0.7756844732637662,0.2832915484905243
OpenBMI_ERP,24,S1,BASELINE,0.9612121212121212,0.9064935064935065,0.1709938645362854
OpenBMI_ERP,24,S1,PROTECTED_PC_REFINE,0.9618181818181819,0.9133523571725819,0.15758782625198364
OpenBMI_ERP,25,S1,BASELINE,0.793939393939394,0.8019473105109095,0.2775023877620697
OpenBMI_ERP,25,S1,PROTECTED_PC_REFINE,0.7912121212121213,0.8047573030821794,0.27303099632263184
OpenBMI_ERP,29,S1,BASELINE,0.7957575757575757,0.7805973587223587,0.2967950999736786
OpenBMI_ERP,29,S1,PROTECTED_PC_REFINE,0.7915151515151515,0.7818701313470178,0.2912867069244385
OpenBMI_ERP,36,S1,BASELINE,0.9551515151515151,0.9028857959849652,0.1544363796710968
OpenBMI_ERP,36,S1,PROTECTED_PC_REFINE,0.9584848484848485,0.9108098893492164,0.14850012958049774
OpenBMI_ERP,37,S1,BASELINE,0.8921212121212121,0.8429324457338238,0.2732478678226471
OpenBMI_ERP,37,S1,PROTECTED_PC_REFINE,0.8896969696969697,0.8540554395005184,0.25859442353248596
OpenBMI_ERP,39,S1,BASELINE,0.8678787878787879,0.7982283763970093,0.3415265381336212
OpenBMI_ERP,39,S1,PROTECTED_PC_REFINE,0.8715151515151516,0.8072534152488291,0.3306175470352173
OpenBMI_ERP,42,S1,BASELINE,0.9503030303030303,0.8890994168517676,0.2027210146188736
OpenBMI_ERP,42,S1,PROTECTED_PC_REFINE,0.9512121212121212,0.8963203927988501,0.18360713124275208
OpenBMI_ERP,51,S1,BASELINE,0.8957575757575758,0.8438433025000844,0.23774659633636475
OpenBMI_ERP,51,S1,PROTECTED_PC_REFINE,0.8903030303030304,0.8459297944420054,0.22691687941551208
OpenBMI_ERP,54,S1,BASELINE,0.7266666666666667,0.702887064254258,0.41754767298698425
OpenBMI_ERP,54,S1,PROTECTED_PC_REFINE,0.7278787878787879,0.7124956395773441,0.40272223949432373
OpenBMI_ERP,4,S2,BASELINE,0.9184848484848485,0.8798860863238741,0.18667538464069366
OpenBMI_ERP,4,S2,PROTECTED_PC_REFINE,0.9184848484848485,0.887719447849491,0.1767699271440506
OpenBMI_ERP,12,S2,BASELINE,0.9666666666666667,0.9399349945828819,0.09468650072813034
OpenBMI_ERP,12,S2,PROTECTED_PC_REFINE,0.9690909090909091,0.9463254159386756,0.08729077130556107
OpenBMI_ERP,13,S2,BASELINE,0.9184848484848485,0.8531986431603521,0.23238109052181244
OpenBMI_ERP,13,S2,PROTECTED_PC_REFINE,0.915151515151515,0.8576847821746596,0.22436557710170746
OpenBMI_ERP,17,S2,BASELINE,0.8424242424242424,0.7609318334232833,0.3931058645248413
OpenBMI_ERP,17,S2,PROTECTED_PC_REFINE,0.8396969696969697,0.7631571102002178,0.379619836807251
OpenBMI_ERP,18,S2,BASELINE,0.9321212121212121,0.9073282773564464,0.1510983407497406
OpenBMI_ERP,18,S2,PROTECTED_PC_REFINE,0.9272727272727272,0.9065023374415639,0.14321015775203705
OpenBMI_ERP,24,S2,BASELINE,0.8093939393939393,0.7599914324685122,0.3542872369289398
OpenBMI_ERP,24,S2,PROTECTED_PC_REFINE,0.8103030303030303,0.7708095891830286,0.3359118402004242
OpenBMI_ERP,25,S2,BASELINE,0.7818181818181817,0.7838791854676235,0.29241442680358887
OpenBMI_ERP,25,S2,PROTECTED_PC_REFINE,0.78,0.7883318575028948,0.28723040223121643
OpenBMI_ERP,29,S2,BASELINE,0.8460606060606061,0.8208346707277929,0.2512762248516083
OpenBMI_ERP,29,S2,PROTECTED_PC_REFINE,0.8442424242424242,0.825901788341566,0.24357441067695618
OpenBMI_ERP,36,S2,BASELINE,0.9675757575757575,0.9189924683080039,0.14030669629573822
OpenBMI_ERP,36,S2,PROTECTED_PC_REFINE,0.9678787878787879,0.9225331477547433,0.1336633563041687
OpenBMI_ERP,37,S2,BASELINE,0.9575757575757575,0.9254695367853006,0.11847921460866928
OpenBMI_ERP,37,S2,PROTECTED_PC_REFINE,0.9575757575757575,0.9313542795232936,0.11029821634292603
OpenBMI_ERP,39,S2,BASELINE,0.7624242424242424,0.7170110299829113,0.42311498522758484
OpenBMI_ERP,39,S2,PROTECTED_PC_REFINE,0.7572727272727273,0.7190735938478047,0.40994793176651
OpenBMI_ERP,42,S2,BASELINE,0.8806060606060606,0.8342716534153334,0.2661353647708893
OpenBMI_ERP,42,S2,PROTECTED_PC_REFINE,0.8821212121212121,0.8467512135856325,0.24794095754623413
OpenBMI_ERP,51,S2,BASELINE,0.7784848484848486,0.7130699025699706,0.44989290833473206
OpenBMI_ERP,51,S2,PROTECTED_PC_REFINE,0.7781818181818182,0.7218445809995107,0.4323079288005829
OpenBMI_ERP,54,S2,BASELINE,0.7406060606060606,0.7212095508715382,0.3990667164325714
OpenBMI_ERP,54,S2,PROTECTED_PC_REFINE,0.7263636363636363,0.7128619906417164,0.3899962902069092
OpenBMI_SSVEP,4,S1,BASELINE,1.0,1.0,0.001036998350173235
OpenBMI_SSVEP,4,S1,PROTECTED_PC_REFINE,1.0,1.0,0.001017657108604908
OpenBMI_SSVEP,12,S1,BASELINE,0.99,0.9899959983993598,0.05135871097445488
OpenBMI_SSVEP,12,S1,PROTECTED_PC_REFINE,0.99,0.9899959983993598,0.05191824957728386
OpenBMI_SSVEP,13,S1,BASELINE,0.99,0.9899959983993598,0.023274002596735954
OpenBMI_SSVEP,13,S1,PROTECTED_PC_REFINE,0.99,0.9899959983993598,0.02309291437268257
OpenBMI_SSVEP,17,S1,BASELINE,0.94,0.9397423510466989,0.1800486147403717
OpenBMI_SSVEP,17,S1,PROTECTED_PC_REFINE,0.94,0.9397423510466989,0.17704403400421143
OpenBMI_SSVEP,18,S1,BASELINE,0.99,0.9899959983993598,0.011712354607880116
OpenBMI_SSVEP,18,S1,PROTECTED_PC_REFINE,0.99,0.9899959983993598,0.011640738695859909
