subject,ba,run,model
1,0.77,fold-0/seed-0,method
10,0.65,fold-0/seed-0,method
17,0.675,fold-0/seed-0,method
28,0.9450000000000001,fold-0/seed-0,method
3,0.905,fold-0/seed-0,method
45,0.89,fold-0/seed-0,method
48,0.635,fold-0/seed-0,method
54,0.54,fold-0/seed-0,method
6,0.79,fold-0/seed-0,method
