task,fold,subject_id,method,BA,macro_F1,accuracy,trials
OpenBMI_MI,0,4,Historical_LiteBN,0.8,0.797077922077922,0.8,100
OpenBMI_MI,0,12,Historical_LiteBN,0.7,0.6875,0.7,100
OpenBMI_MI,0,13,Historical_LiteBN,0.6799999999999999,0.6794871794871795,0.68,100
OpenBMI_MI,0,17,Historical_LiteBN,0.65,0.6457131288591963,0.65,100
OpenBMI_MI,0,18,Historical_LiteBN,0.6399999999999999,0.6386993175431553,0.64,100
OpenBMI_MI,0,24,Historical_LiteBN,0.55,0.5248653785239151,0.55,100
OpenBMI_MI,0,25,Historical_LiteBN,0.96,0.9599358974358975,0.96,100
OpenBMI_MI,0,29,Historical_LiteBN,0.65,0.64996499649965,0.65,100
OpenBMI_MI,0,36,Historical_LiteBN,0.9099999999999999,0.9097744360902256,0.91,100
OpenBMI_MI,0,37,Historical_LiteBN,0.72,0.7126436781609196,0.72,100
OpenBMI_MI,0,39,Historical_LiteBN,0.76,0.7596153846153846,0.76,100
OpenBMI_MI,0,42,Historical_LiteBN,0.69,0.6892230576441103,0.69,100
OpenBMI_MI,0,51,Historical_LiteBN,0.7,0.6921182266009853,0.7,100
OpenBMI_MI,0,54,Historical_LiteBN,0.71,0.7076318177235609,0.71,100
OpenBMI_MI,0,4,SBTR_main_tail_aware,0.66,0.6550324675324675,0.66,100
OpenBMI_MI,0,12,SBTR_main_tail_aware,0.64,0.64,0.64,100
OpenBMI_MI,0,13,SBTR_main_tail_aware,0.62,0.6175523349436394,0.62,100
OpenBMI_MI,0,17,SBTR_main_tail_aware,0.5800000000000001,0.5798319327731092,0.58,100
OpenBMI_MI,0,18,SBTR_main_tail_aware,0.53,0.5261619114830124,0.53,100
OpenBMI_MI,0,24,SBTR_main_tail_aware,0.5,0.4981934965877158,0.5,100
OpenBMI_MI,0,25,SBTR_main_tail_aware,0.98,0.9799919967987194,0.98,100
OpenBMI_MI,0,29,SBTR_main_tail_aware,0.65,0.6471418489767113,0.65,100
OpenBMI_MI,0,36,SBTR_main_tail_aware,0.74,0.7395833333333333,0.74,100
OpenBMI_MI,0,37,SBTR_main_tail_aware,0.54,0.5353535353535354,0.54,100
OpenBMI_MI,0,39,SBTR_main_tail_aware,0.48,0.4781212364512244,0.48,100
OpenBMI_MI,0,42,SBTR_main_tail_aware,0.61,0.6096486838154338,0.61,100
OpenBMI_MI,0,51,SBTR_main_tail_aware,0.64,0.6363636363636364,0.64,100
