dataset,fold,model,subject,session_persistence,p12,p23,p_early_s3
OpenBMI,0,Compact-ERM,15,0.9020138382911682,,,
OpenBMI,0,Compact-ERM,38,0.8415350317955017,,,
OpenBMI,0,Compact-ERM,6,0.972876787185669,,,
OpenBMI,0,Compact-ERM,33,0.972514808177948,,,
OpenBMI,0,Compact-ERM,32,0.8922880291938782,,,
OpenBMI,0,Compact-ERM,3,0.9489228129386902,,,
OpenBMI,0,Compact-ERM,5,0.9179309606552124,,,
OpenBMI,0,Compact-ERM,47,0.9160796999931335,,,
OpenBMI,0,Compact-ERM,26,0.9478105306625366,,,
OpenBMI,0,Compact-ERM,2,0.9436744451522827,,,
OpenBMI,0,Compact-ERM,14,0.8361538052558899,,,
OpenBMI,0,Compact-ERM,31,0.9270515441894531,,,
OpenBMI,0,Compact-ERM,28,0.9225351810455322,,,
OpenBMI,0,Compact-ERM,35,0.9674032926559448,,,
OpenBMI,0,Compact-TG,15,0.8770555257797241,,,
OpenBMI,0,Compact-TG,38,0.8424474596977234,,,
OpenBMI,0,Compact-TG,6,0.9848378896713257,,,
OpenBMI,0,Compact-TG,33,0.968909740447998,,,
OpenBMI,0,Compact-TG,32,0.9135952591896057,,,
OpenBMI,0,Compact-TG,3,0.9656164646148682,,,
OpenBMI,0,Compact-TG,5,0.9200379848480225,,,
OpenBMI,0,Compact-TG,47,0.9610503911972046,,,
OpenBMI,0,Compact-TG,26,0.9684955477714539,,,
OpenBMI,0,Compact-TG,2,0.9435759782791138,,,
OpenBMI,0,Compact-TG,14,0.9151701331138611,,,
OpenBMI,0,Compact-TG,31,0.9445571303367615,,,
OpenBMI,0,Compact-TG,28,0.9455575942993164,,,
OpenBMI,0,Compact-TG,35,0.9833009243011475,,,
OpenBMI,1,Compact-ERM,40,0.8507832884788513,,,
OpenBMI,1,Compact-ERM,43,0.951241672039032,,,
OpenBMI,1,Compact-ERM,50,0.722614049911499,,,
OpenBMI,1,Compact-ERM,52,0.9709739089012146,,,
OpenBMI,1,Compact-ERM,23,0.8689191937446594,,,
OpenBMI,1,Compact-ERM,1,0.9456431865692139,,,
OpenBMI,1,Compact-ERM,30,0.7774375081062317,,,
OpenBMI,1,Compact-ERM,48,0.8601599335670471,,,
OpenBMI,1,Compact-ERM,11,0.877240777015686,,,
OpenBMI,1,Compact-ERM,8,0.9284894466400146,,,
OpenBMI,1,Compact-ERM,45,0.9038255214691162,,,
OpenBMI,1,Compact-ERM,34,0.5796139240264893,,,
OpenBMI,1,Compact-ERM,27,0.9622762203216553,,,
OpenBMI,1,Compact-TG,40,0.8813455700874329,,,
OpenBMI,1,Compact-TG,43,0.9738417863845825,,,
OpenBMI,1,Compact-TG,50,0.7300657033920288,,,
OpenBMI,1,Compact-TG,52,0.9529611468315125,,,
OpenBMI,1,Compact-TG,23,0.9328207969665527,,,
OpenBMI,1,Compact-TG,1,0.9465860724449158,,,
OpenBMI,1,Compact-TG,30,0.8015260696411133,,,
OpenBMI,1,Compact-TG,48,0.8651518225669861,,,
OpenBMI,1,Compact-TG,11,0.9055978655815125,,,
OpenBMI,1,Compact-TG,8,0.9337959289550781,,,
OpenBMI,1,Compact-TG,45,0.9373692870140076,,,
OpenBMI,1,Compact-TG,34,0.7222952842712402,,,
OpenBMI,1,Compact-TG,27,0.9667404294013977,,,
OpenBMI,2,Compact-ERM,49,0.9205044507980347,,,
OpenBMI,2,Compact-ERM,10,0.9598979353904724,,,
OpenBMI,2,Compact-ERM,22,0.8410758972167969,,,
OpenBMI,2,Compact-ERM,19,0.9392569661140442,,,
OpenBMI,2,Compact-ERM,16,0.8961485028266907,,,
OpenBMI,2,Compact-ERM,9,0.9138585329055786,,,
OpenBMI,2,Compact-ERM,53,0.9547280073165894,,,
OpenBMI,2,Compact-ERM,7,0.9352692365646362,,,
OpenBMI,2,Compact-ERM,20,0.9552727341651917,,,
OpenBMI,2,Compact-ERM,41,0.920850932598114,,,
OpenBMI,2,Compact-ERM,46,0.9014831185340881,,,
OpenBMI,2,Compact-ERM,21,0.9748575687408447,,,
OpenBMI,2,Compact-ERM,44,0.9562960267066956,,,
OpenBMI,2,Compact-TG,49,0.9513699412345886,,,
OpenBMI,2,Compact-TG,10,0.9660142660140991,,,
OpenBMI,2,Compact-TG,22,0.8194097876548767,,,
OpenBMI,2,Compact-TG,19,0.9578176736831665,,,
OpenBMI,2,Compact-TG,16,0.9402558207511902,,,
OpenBMI,2,Compact-TG,9,0.9105998277664185,,,
OpenBMI,2,Compact-TG,53,0.9688505530357361,,,
OpenBMI,2,Compact-TG,7,0.9687777757644653,,,
OpenBMI,2,Compact-TG,20,0.9566811919212341,,,
OpenBMI,2,Compact-TG,41,0.9675490260124207,,,
OpenBMI,2,Compact-TG,46,0.9244906306266785,,,
OpenBMI,2,Compact-TG,21,0.9829728007316589,,,
OpenBMI,2,Compact-TG,44,0.9630333185195923,,,
WBCIC,0,Compact-ERM,sub-6,,0.9893481731414795,0.9799375534057617,0.9846112132072449
WBCIC,0,Compact-ERM,sub-22,,0.8684234619140625,0.9210939407348633,0.8944724202156067
WBCIC,0,Compact-ERM,sub-44,,0.9427845478057861,0.9766561388969421,0.9774118661880493
WBCIC,0,Compact-ERM,sub-35,,0.996667742729187,0.9958930015563965,0.9960622191429138
WBCIC,0,Compact-ERM,sub-18,,0.6454284191131592,0.8785850405693054,0.8750003576278687
WBCIC,0,Compact-ERM,sub-9,,0.9271461367607117,0.84554523229599,0.8207879066467285
WBCIC,0,Compact-ERM,sub-49,,0.9595417380332947,0.9258221983909607,0.9315322637557983
WBCIC,0,Compact-ERM,sub-28,,0.9707418084144592,0.9237644672393799,0.9271492958068848
WBCIC,0,Compact-ERM,sub-37,,0.9813557863235474,0.9710628986358643,0.9730871319770813
WBCIC,0,Compact-ERM,sub-12,,0.4594641923904419,0.4695390462875366,0.7466931343078613
WBCIC,0,Compact-ERM,sub-30,,0.953619122505188,0.9490419626235962,0.9484860301017761
WBCIC,0,Compact-TG,sub-6,,0.9830670356750488,0.9682528376579285,0.9781758785247803
WBCIC,0,Compact-TG,sub-22,,0.8522511124610901,0.9473179578781128,0.9155665636062622
WBCIC,0,Compact-TG,sub-44,,0.9304758310317993,0.9804202318191528,0.9739349484443665
WBCIC,0,Compact-TG,sub-35,,0.996504545211792,0.9957304000854492,0.9957610964775085
WBCIC,0,Compact-TG,sub-18,,0.6770117878913879,0.9191868305206299,0.8959445953369141
WBCIC,0,Compact-TG,sub-9,,0.8978757858276367,0.8393659591674805,0.8265007734298706
WBCIC,0,Compact-TG,sub-49,,0.9563620090484619,0.9632741212844849,0.9565814733505249
WBCIC,0,Compact-TG,sub-28,,0.9686844944953918,0.8870329856872559,0.8929714560508728
WBCIC,0,Compact-TG,sub-37,,0.9806575775146484,0.9814427495002747,0.9850142002105713
WBCIC,0,Compact-TG,sub-12,,0.4787767231464386,0.4560122787952423,0.7680349349975586
WBCIC,0,Compact-TG,sub-30,,0.9730381369590759,0.9557709097862244,0.9478879570960999
WBCIC,1,Compact-ERM,sub-45,,0.9891456961631775,0.992192268371582,0.9953309297561646
WBCIC,1,Compact-ERM,sub-7,,0.9735009074211121,0.9617468118667603,0.9464770555496216
WBCIC,1,Compact-ERM,sub-50,,0.9972139000892639,0.9975609183311462,0.9977297782897949
WBCIC,1,Compact-ERM,sub-14,,-0.40318048000335693,-0.15035605430603027,0.4896978437900543
WBCIC,1,Compact-ERM,sub-1,,0.9745875000953674,0.9867730140686035,0.9882901310920715
WBCIC,1,Compact-ERM,sub-32,,0.3880183696746826,0.665005087852478,0.8815743327140808
WBCIC,1,Compact-ERM,sub-23,,0.9901677370071411,0.9932987689971924,0.9958935379981995
WBCIC,1,Compact-ERM,sub-34,,-0.3786219656467438,-0.20830856263637543,0.22750893235206604
WBCIC,1,Compact-ERM,sub-24,,0.9923030734062195,0.9921407699584961,0.9951437711715698
WBCIC,1,Compact-ERM,sub-13,,0.5458365082740784,0.520896852016449,0.8597136735916138
WBCIC,1,Compact-TG,sub-45,,0.9905050992965698,0.990467369556427,0.9955304861068726
WBCIC,1,Compact-TG,sub-7,,0.9821853637695312,0.983039379119873,0.9801690578460693
WBCIC,1,Compact-TG,sub-50,,0.9967799186706543,0.9974513053894043,0.9982451796531677
WBCIC,1,Compact-TG,sub-14,,-0.6647828817367554,-0.37924402952194214,0.29811885952949524
WBCIC,1,Compact-TG,sub-1,,0.9825153946876526,0.9946725368499756,0.9932520389556885
WBCIC,1,Compact-TG,sub-32,,0.6286284327507019,0.6384899020195007,0.8526409864425659
WBCIC,1,Compact-TG,sub-23,,0.9912025332450867,0.9904998540878296,0.9939365386962891
