dataset,fold,model,subject,session,class,abs_alignment,centered_alignment
OpenBMI,0,Compact-ERM,15,1,0,0.8898761180730966,0.9186361294526321
OpenBMI,0,Compact-ERM,15,1,1,0.803855130305657,0.9186361340376047
OpenBMI,0,Compact-ERM,15,2,0,0.8862172640286959,0.84804433125716
OpenBMI,0,Compact-ERM,15,2,1,0.8900928084666913,0.8480443633519686
OpenBMI,0,Compact-ERM,38,1,0,0.8998003739577073,0.8703320439045246
OpenBMI,0,Compact-ERM,38,1,1,0.7792219748863807,0.8703320714143606
OpenBMI,0,Compact-ERM,38,2,0,0.8545577021745535,0.8330139242685758
OpenBMI,0,Compact-ERM,38,2,1,0.7669482414539044,0.8330138600789584
OpenBMI,0,Compact-ERM,6,1,0,0.9063007831573486,0.9199446806540856
OpenBMI,0,Compact-ERM,6,1,1,0.8694058564993051,0.9199446760691129
OpenBMI,0,Compact-ERM,6,2,0,0.912339985370636,0.902688558285053
OpenBMI,0,Compact-ERM,6,2,1,0.8831796737817618,0.9026885491151077
OpenBMI,0,Compact-ERM,33,1,0,0.8524594306945801,0.907317931835468
OpenBMI,0,Compact-ERM,33,1,1,0.8772596854429978,0.9073179639302767
OpenBMI,0,Compact-ERM,33,2,0,0.8713433971771827,0.8743380124752338
OpenBMI,0,Compact-ERM,33,2,1,0.8822535368112417,0.8743380033052884
OpenBMI,0,Compact-ERM,32,1,0,0.7702356439370376,0.8495318064322839
OpenBMI,0,Compact-ERM,32,1,1,0.7820814389448899,0.8495318064322839
OpenBMI,0,Compact-ERM,32,2,0,0.8686477358524616,0.8794034444368802
OpenBMI,0,Compact-ERM,32,2,1,0.8478933343520532,0.8794033985871536
OpenBMI,0,Compact-ERM,3,1,0,0.8569953395770147,0.8860652492596552
OpenBMI,0,Compact-ERM,3,1,1,0.8026152711648208,0.8860652584296006
OpenBMI,0,Compact-ERM,3,2,0,0.8855296740165124,0.9191667896050674
OpenBMI,0,Compact-ERM,3,2,1,0.8452355724114639,0.9191667162455045
OpenBMI,0,Compact-ERM,5,1,0,0.8937212137075571,0.9255822071662316
OpenBMI,0,Compact-ERM,5,1,1,0.8242414043499873,0.9255822117512043
OpenBMI,0,Compact-ERM,5,2,0,0.9037317312680758,0.8341376277116629
OpenBMI,0,Compact-ERM,5,2,1,0.7908116716604966,0.8341376185417175
OpenBMI,0,Compact-ERM,47,1,0,0.7954808290188129,0.9009976616272559
OpenBMI,0,Compact-ERM,47,1,1,0.6721208141400263,0.9009976799671466
OpenBMI,0,Compact-ERM,47,2,0,0.7981111132181608,0.9118444185990554
OpenBMI,0,Compact-ERM,47,2,1,0.7513863490178034,0.911844381919274
OpenBMI,0,Compact-ERM,26,1,0,0.8582834280454196,0.9163853296866784
OpenBMI,0,Compact-ERM,26,1,1,0.8627618551254272,0.9163853617814871
OpenBMI,0,Compact-ERM,26,2,0,0.8645691917492793,0.8915543281115018
OpenBMI,0,Compact-ERM,26,2,1,0.8022241592407227,0.8915542730918298
OpenBMI,0,Compact-ERM,2,1,0,0.8680780713374798,0.903013160595527
OpenBMI,0,Compact-ERM,2,1,1,0.8129588824052078,0.903013133085691
OpenBMI,0,Compact-ERM,2,2,0,0.8991418618422288,0.8687966099152198
OpenBMI,0,Compact-ERM,2,2,1,0.8632241029005784,0.8687965915753291
OpenBMI,0,Compact-ERM,14,1,0,0.9073148965835571,0.8949777713188758
OpenBMI,0,Compact-ERM,14,1,1,0.8003412943619949,0.8949777392240671
OpenBMI,0,Compact-ERM,14,2,0,0.8995493421187768,0.8075260795079745
OpenBMI,0,Compact-ERM,14,2,1,0.867241749396691,0.8075260703380291
OpenBMI,0,Compact-ERM,31,1,0,0.8666672569054824,0.9238258095887991
OpenBMI,0,Compact-ERM,31,1,1,0.8356837355173551,0.9238258141737717
OpenBMI,0,Compact-ERM,31,2,0,0.8853479532095102,0.8762488548572247
OpenBMI,0,Compact-ERM,31,2,1,0.8636675431178167,0.8762488411023066
OpenBMI,0,Compact-ERM,28,1,0,0.9096690553885239,0.9285014684383686
OpenBMI,0,Compact-ERM,28,1,1,0.8614088617838346,0.9285015784777128
OpenBMI,0,Compact-ERM,28,2,0,0.8903491405340341,0.9059925721241877
OpenBMI,0,Compact-ERM,28,2,1,0.8639895365788386,0.9059925675392151
OpenBMI,0,Compact-ERM,35,1,0,0.8694127110334543,0.9267407518166763
OpenBMI,0,Compact-ERM,35,1,1,0.7758195950434759,0.9267407472317035
OpenBMI,0,Compact-ERM,35,2,0,0.8931406507125268,0.8945966546352093
OpenBMI,0,Compact-ERM,35,2,1,0.8366794861280001,0.8945966225404006
OpenBMI,0,Compact-TG,15,1,0,0.8824017643928528,0.9205099848600534
OpenBMI,0,Compact-TG,15,1,1,0.8144229512948257,0.9205100215398349
OpenBMI,0,Compact-TG,15,2,0,0.8951571721297044,0.8650415218793429
OpenBMI,0,Compact-TG,15,2,1,0.9039165469316336,0.8650415035394522
OpenBMI,0,Compact-TG,38,1,0,0.9147408650471613,0.8809680342674255
OpenBMI,0,Compact-TG,38,1,1,0.7493467881129339,0.8809680434373709
OpenBMI,0,Compact-TG,38,2,0,0.9069145734493549,0.8733274753277118
OpenBMI,0,Compact-TG,38,2,1,0.8142347244115976,0.8733274111380944
OpenBMI,0,Compact-TG,6,1,0,0.905719151863685,0.9451832221104548
OpenBMI,0,Compact-TG,6,1,1,0.8851798451863803,0.9451832404503455
OpenBMI,0,Compact-TG,6,2,0,0.9125565519699683,0.928724834552178
OpenBMI,0,Compact-TG,6,2,1,0.8968336536334112,0.9287248024573693
OpenBMI,0,Compact-TG,33,1,0,0.8608856430420508,0.9303387541037339
OpenBMI,0,Compact-TG,33,1,1,0.9008409610161414,0.9303387724436246
OpenBMI,0,Compact-TG,33,2,0,0.8731571986125066,0.900703870333158
OpenBMI,0,Compact-TG,33,2,1,0.8641357742823087,0.9007038382383493
OpenBMI,0,Compact-TG,32,1,0,0.7193395220316373,0.9017807933000418
OpenBMI,0,Compact-TG,32,1,1,0.8281418956243075,0.9017808070549598
OpenBMI,0,Compact-TG,32,2,0,0.8364177850576547,0.900249027288877
OpenBMI,0,Compact-TG,32,2,1,0.8683250684004563,0.9002488943246695
OpenBMI,0,Compact-TG,3,1,0,0.8776808564479535,0.9127364662977365
OpenBMI,0,Compact-TG,3,1,1,0.8680204244760367,0.9127364158630371
OpenBMI,0,Compact-TG,3,2,0,0.9027762963221624,0.940457637493427
OpenBMI,0,Compact-TG,3,2,1,0.8827287417191726,0.9404575595488915
OpenBMI,0,Compact-TG,5,1,0,0.9064916739097009,0.943687746158013
OpenBMI,0,Compact-TG,5,1,1,0.8791569150411166,0.9436877507429856
OpenBMI,0,Compact-TG,5,2,0,0.9221896024850699,0.8633288328464215
OpenBMI,0,Compact-TG,5,2,1,0.8575484385857215,0.8633288695262029
OpenBMI,0,Compact-TG,47,1,0,0.8400403261184692,0.9426579062755291
OpenBMI,0,Compact-TG,47,1,1,0.7959321370491614,0.9426579337853652
OpenBMI,0,Compact-TG,47,2,0,0.8569343090057373,0.9321261460964496
OpenBMI,0,Compact-TG,47,2,1,0.8442933742816632,0.932126155266395
OpenBMI,0,Compact-TG,26,1,0,0.8892557941950284,0.9435608524542588
OpenBMI,0,Compact-TG,26,1,1,0.8943822475580069,0.9435608707941495
OpenBMI,0,Compact-TG,26,2,0,0.8759414828740634,0.920123618382674
OpenBMI,0,Compact-TG,26,2,1,0.805745950111976,0.9201235908728379
OpenBMI,0,Compact-TG,2,1,0,0.8601589661378127,0.9145874289365915
OpenBMI,0,Compact-TG,2,1,1,0.8640489028050349,0.9145875022961543
OpenBMI,0,Compact-TG,2,2,0,0.9075051958744342,0.8788270445970389
OpenBMI,0,Compact-TG,2,2,1,0.8682270783644456,0.8788269712374761
OpenBMI,0,Compact-TG,14,1,0,0.912383496761322,0.9238596145923321
OpenBMI,0,Compact-TG,14,1,1,0.815702369579902,0.923859715461731
OpenBMI,0,Compact-TG,14,2,0,0.9055092701545129,0.8997193574905396
OpenBMI,0,Compact-TG,14,2,1,0.8959926733603845,0.8997193253957309
OpenBMI,0,Compact-TG,31,1,0,0.8802441175167377,0.9425142820064838
OpenBMI,0,Compact-TG,31,1,1,0.8697351217269897,0.9425143186862652
OpenBMI,0,Compact-TG,31,2,0,0.902832595201639,0.9171201953521142
OpenBMI,0,Compact-TG,31,2,1,0.8925065306516794,0.9171201678422781
OpenBMI,0,Compact-TG,28,1,0,0.9047658214202294,0.9454734096160302
OpenBMI,0,Compact-TG,28,1,1,0.889321547288161,0.9454734233709482
OpenBMI,0,Compact-TG,28,2,0,0.8976495128411514,0.9305927753448486
OpenBMI,0,Compact-TG,28,2,1,0.8932304015526404,0.9305927890997666
OpenBMI,0,Compact-TG,35,1,0,0.8673344254493713,0.9423231344956619
OpenBMI,0,Compact-TG,35,1,1,0.8114237922888535,0.9423230703060443
OpenBMI,0,Compact-TG,35,2,0,0.8950483019535358,0.9254372349152198
OpenBMI,0,Compact-TG,35,2,1,0.8607866397270789,0.9254372899348919
OpenBMI,1,Compact-ERM,40,1,0,0.6738882561524709,0.860800122221311
OpenBMI,1,Compact-ERM,40,1,1,0.7087101077195257,0.8608001321554184
OpenBMI,1,Compact-ERM,40,2,0,0.5364917976160845,0.8034184823433558
OpenBMI,1,Compact-ERM,40,2,1,0.6177869190772375,0.8034185667832693
OpenBMI,1,Compact-ERM,43,1,0,0.6692516195277373,0.879248375693957
OpenBMI,1,Compact-ERM,43,1,1,0.6968145485346516,0.8792483806610107
OpenBMI,1,Compact-ERM,43,2,0,0.6566594131290913,0.9029946575562159
OpenBMI,1,Compact-ERM,43,2,1,0.7677258849143982,0.9029946823914846
OpenBMI,1,Compact-ERM,50,1,0,0.6568645888473839,0.7041634644071261
OpenBMI,1,Compact-ERM,50,1,1,0.4557431073238452,0.7041635314623514
OpenBMI,1,Compact-ERM,50,2,0,0.7113223796089491,0.7222292621930441
OpenBMI,1,Compact-ERM,50,2,1,0.6655944908658663,0.7222291976213455
OpenBMI,1,Compact-ERM,52,1,0,0.574227649718523,0.8831729541222254
OpenBMI,1,Compact-ERM,52,1,1,0.7410903759300709,0.8831729590892792
OpenBMI,1,Compact-ERM,52,2,0,0.6338447406888008,0.8935737460851669
OpenBMI,1,Compact-ERM,52,2,1,0.7405416866143545,0.8935737808545431
OpenBMI,1,Compact-ERM,23,1,0,0.7124493370453516,0.7937114536762238
OpenBMI,1,Compact-ERM,23,1,1,0.7323372761408488,0.793711468577385
OpenBMI,1,Compact-ERM,23,2,0,0.7109886209170023,0.8653445194164912
OpenBMI,1,Compact-ERM,23,2,1,0.7949108928442001,0.8653445194164912
OpenBMI,1,Compact-ERM,1,1,0,0.5153083155552546,0.8661885857582092
OpenBMI,1,Compact-ERM,1,1,1,0.5538117811083794,0.8661885758241018
OpenBMI,1,Compact-ERM,1,2,0,0.40600978831450146,0.8700911651055018
