dataset,model,absolute_centroid_alignment,direction_consensus,source_to_future_direction_cosine,session_persistence,offset_separation_ratio,absolute_prototype_ba,centered_prototype_ba,centered_improvement_pp,fisher_discriminability,margin_mean
OpenBMI,Compact-ERM,0.7438156040199735,0.8691977706802634,0.9226974740624427,0.9044377326965332,0.6577108226716518,0.7765,0.7917500000000001,1.5250000000000097,0.37713008020073174,2.2552549213171007
OpenBMI,Compact-TG,0.7889050837139038,0.900704209184472,0.9404926627874375,0.9240532100200654,0.549090051651001,0.773,0.7867500000000001,1.375000000000004,0.49028055230155587,2.089299811422825
WBCIC,Compact-ERM,0.801993247229281,0.844541245658791,0.9162378215020702,0.8846566119501668,1.0016324529724736,0.7744088057999349,0.7852474340175953,1.0838628217660462,0.6388739129949,2.07242625591255
WBCIC,Compact-TG,0.8305280002951178,0.865605698290096,0.9304523198835312,0.8766113130315658,0.9032323670483404,0.7561933854675792,0.764259734441186,0.8066348973606807,0.8187485002582112,1.8026443844841373
