dataset,fold,subject,absolute_alignment_delta,class_separation_delta,within_scatter_delta,fisher_delta,margin_delta,absolute_ba_delta,centered_ba_delta
OpenBMI,0,14,,0.601844072341919,2.7862586975097656,0.03658413141965866,-0.07454723119735718,0.04999999999999993,0.030000000000000027
OpenBMI,0,15,,0.6107954978942871,8.18655776977539,0.042235761880874634,-0.29461467266082764,0.030000000000000027,-0.020000000000000018
OpenBMI,0,2,,0.14111089706420898,11.58270263671875,-0.00977402925491333,-0.28254443407058716,-0.020000000000000018,-0.06999999999999995
OpenBMI,0,26,,1.092440128326416,-6.756950378417969,0.1675395965576172,-0.40278077125549316,-0.010000000000000009,-0.019999999999999907
OpenBMI,0,28,,0.22046566009521484,0.3199653625488281,0.029936611652374268,-0.8369350433349609,-0.020000000000000018,-0.010000000000000009
OpenBMI,0,3,,1.0078697204589844,0.822998046875,0.20783889293670654,-0.7777237892150879,0.009999999999999898,0.029999999999999916
OpenBMI,0,31,,1.8052959442138672,13.084880828857422,0.17448723316192627,-0.07081925868988037,0.030000000000000027,0.0
OpenBMI,0,32,,0.492950439453125,-10.261497497558594,0.03567838668823242,-0.26811718940734863,1.1102230246251565e-16,0.0
OpenBMI,0,33,,-0.23850727081298828,1.1938629150390625,-0.039750754833221436,-0.9747116565704346,-0.04999999999999993,-0.039999999999999925
OpenBMI,0,35,,1.4012069702148438,-14.214595794677734,0.2982053756713867,-0.44685959815979004,0.009999999999999898,0.020000000000000018
OpenBMI,0,38,,0.6758050918579102,1.8786430358886719,0.047574855387210846,-0.2433708906173706,0.030000000000000027,-0.010000000000000009
OpenBMI,0,47,,1.2763118743896484,-6.716945648193359,0.19783520698547363,-0.46592187881469727,0.039999999999999925,0.029999999999999916
OpenBMI,0,5,,0.4512057304382324,-14.026397705078125,0.037347227334976196,-0.14416038990020752,-0.050000000000000044,-0.030000000000000027
OpenBMI,0,6,,1.2506895065307617,-8.694412231445312,0.3304450511932373,-0.39499592781066895,0.010000000000000009,-0.020000000000000018
