dataset,fold,model,subject,future_session,source_to_future_direction_cosine,offset_norm,class_separation_norm,offset_separation_ratio
OpenBMI,0,Compact-ERM,15,2,0.8711807727813721,2.8467001914978027,4.8980712890625,0.5811879634857178
OpenBMI,0,Compact-ERM,38,2,0.867336094379425,3.620258331298828,3.3619260787963867,1.0768405199050903
OpenBMI,0,Compact-ERM,6,2,0.9349815845489502,1.8376981019973755,8.721748352050781,0.21070295572280884
OpenBMI,0,Compact-ERM,33,2,0.9722617864608765,1.6712504625320435,7.520366191864014,0.22222992777824402
OpenBMI,0,Compact-ERM,32,2,0.923107922077179,3.3913207054138184,4.203547954559326,0.8067758083343506
OpenBMI,0,Compact-ERM,3,2,0.9744202494621277,3.0555572509765625,8.793543815612793,0.34747734665870667
OpenBMI,0,Compact-ERM,5,2,0.8253856301307678,2.5278420448303223,4.368404388427734,0.5786648392677307
OpenBMI,0,Compact-ERM,47,2,0.9603606462478638,4.633794784545898,6.410556793212891,0.7228381037712097
OpenBMI,0,Compact-ERM,26,2,0.9057220220565796,3.8647842407226562,7.6281418800354,0.5066481828689575
OpenBMI,0,Compact-ERM,2,2,0.8884896039962769,2.7416598796844482,4.222926616668701,0.6492322087287903
OpenBMI,0,Compact-ERM,14,2,0.8520082831382751,2.19167423248291,3.0007784366607666,0.7303685545921326
OpenBMI,0,Compact-ERM,31,2,0.924588680267334,3.2489495277404785,4.560875415802002,0.7123521566390991
OpenBMI,0,Compact-ERM,28,2,0.9580578207969666,2.484912157058716,7.758788585662842,0.3202706277370453
OpenBMI,0,Compact-ERM,35,2,0.8980666399002075,2.548971176147461,8.340813636779785,0.30560222268104553
OpenBMI,0,Compact-TG,15,2,0.9024394750595093,2.5174450874328613,5.508866786956787,0.45698055624961853
OpenBMI,0,Compact-TG,38,2,0.8861297369003296,2.435232400894165,4.037731170654297,0.6031190156936646
OpenBMI,0,Compact-TG,6,2,0.9555772542953491,1.839277744293213,9.972437858581543,0.1844361126422882
OpenBMI,0,Compact-TG,33,2,0.9661623239517212,2.199465036392212,7.281858921051025,0.3020471930503845
OpenBMI,0,Compact-TG,32,2,0.9426574110984802,3.7993438243865967,4.696498394012451,0.8089737296104431
OpenBMI,0,Compact-TG,3,2,0.9823706746101379,2.4772608280181885,9.801413536071777,0.25274527072906494
OpenBMI,0,Compact-TG,5,2,0.873455822467804,2.0308468341827393,4.819610118865967,0.42137160897254944
OpenBMI,0,Compact-TG,47,2,0.9715663194656372,3.508939743041992,7.686868667602539,0.45648494362831116
OpenBMI,0,Compact-TG,26,2,0.9285137057304382,4.106134414672852,8.720582008361816,0.4708555340766907
OpenBMI,0,Compact-TG,2,2,0.8950473070144653,2.287736654281616,4.36403751373291,0.5242248177528381
OpenBMI,0,Compact-TG,14,2,0.9272131323814392,1.9300808906555176,3.6026225090026855,0.5357432961463928
OpenBMI,0,Compact-TG,31,2,0.9507367610931396,2.8393473625183105,6.366171360015869,0.4460054934024811
OpenBMI,0,Compact-TG,28,2,0.9671196937561035,2.073317289352417,7.979254245758057,0.2598384916782379
OpenBMI,0,Compact-TG,35,2,0.9306361079216003,2.6180062294006348,9.742020606994629,0.2687333822250366
OpenBMI,1,Compact-ERM,40,2,0.8646891713142395,5.296876430511475,5.903207302093506,0.897287905216217
OpenBMI,1,Compact-ERM,43,2,0.9842243790626526,2.8307595252990723,9.347908020019531,0.3028227686882019
OpenBMI,1,Compact-ERM,50,2,0.7743946313858032,5.257257461547852,2.0134189128875732,2.611109495162964
OpenBMI,1,Compact-ERM,52,2,0.9727315306663513,3.17592453956604,8.396513938903809,0.37824323773384094
OpenBMI,1,Compact-ERM,23,2,0.9428499341011047,3.3799655437469482,5.085578441619873,0.6646177172660828
OpenBMI,1,Compact-ERM,1,2,0.952741801738739,5.021979808807373,5.421817779541016,0.9262539148330688
OpenBMI,1,Compact-ERM,30,2,0.9016708731651306,2.9992239475250244,5.596691131591797,0.5358923673629761
OpenBMI,1,Compact-ERM,48,2,0.9032848477363586,3.0411500930786133,3.758288860321045,0.8091847896575928
OpenBMI,1,Compact-ERM,11,2,0.9216102361679077,3.611240863800049,4.330606460571289,0.8338879942893982
OpenBMI,1,Compact-ERM,8,2,0.9696070551872253,4.478699207305908,8.264461517333984,0.5419226884841919
OpenBMI,1,Compact-ERM,45,2,0.9640160799026489,5.8195929527282715,4.395611763000488,1.3239551782608032
OpenBMI,1,Compact-ERM,34,2,0.8934738039970398,3.624326467514038,4.153237819671631,0.8726508617401123
OpenBMI,1,Compact-ERM,27,2,0.9128649234771729,4.656416893005371,9.86051082611084,0.4722287654876709
OpenBMI,1,Compact-TG,40,2,0.9528705477714539,5.217376232147217,6.679538249969482,0.7810983657836914
OpenBMI,1,Compact-TG,43,2,0.9894266128540039,2.4436914920806885,9.924234390258789,0.24623475968837738
OpenBMI,1,Compact-TG,50,2,0.7684110999107361,6.342068672180176,2.0512399673461914,3.0918219089508057
OpenBMI,1,Compact-TG,52,2,0.9751811623573303,2.5096564292907715,8.320622444152832,0.3016188442707062
OpenBMI,1,Compact-TG,23,2,0.9651783108711243,2.156761884689331,6.166006088256836,0.34978264570236206
OpenBMI,1,Compact-TG,1,2,0.9496831297874451,4.151146411895752,6.646331310272217,0.6245771050453186
OpenBMI,1,Compact-TG,30,2,0.882625162601471,2.885976552963257,5.458438396453857,0.5287183523178101
OpenBMI,1,Compact-TG,48,2,0.9217510223388672,3.2753355503082275,4.000507354736328,0.8187300562858582
OpenBMI,1,Compact-TG,11,2,0.9569594264030457,2.9915378093719482,4.983748912811279,0.6002585291862488
OpenBMI,1,Compact-TG,8,2,0.9797163009643555,3.208858013153076,8.76368236541748,0.3661540746688843
OpenBMI,1,Compact-TG,45,2,0.9672670960426331,5.310410976409912,6.556251525878906,0.8099766969680786
OpenBMI,1,Compact-TG,34,2,0.8993667960166931,3.0599701404571533,4.453871250152588,0.6870360374450684
OpenBMI,1,Compact-TG,27,2,0.9395408034324646,4.325937271118164,11.276508331298828,0.3836238384246826
OpenBMI,2,Compact-ERM,49,2,0.9398937225341797,3.6715972423553467,7.066751956939697,0.519559383392334
OpenBMI,2,Compact-ERM,10,2,0.9305058717727661,3.5387041568756104,7.0302629470825195,0.5033530592918396
OpenBMI,2,Compact-ERM,22,2,0.9137860536575317,4.264657497406006,5.045432090759277,0.845251202583313
OpenBMI,2,Compact-ERM,19,2,0.928914487361908,4.607028961181641,3.9834535121917725,1.1565414667129517
OpenBMI,2,Compact-ERM,16,2,0.9350463151931763,3.3712542057037354,13.306679725646973,0.25335052609443665
OpenBMI,2,Compact-ERM,9,2,0.8677554726600647,3.692654609680176,3.8033688068389893,0.970890462398529
OpenBMI,2,Compact-ERM,53,2,0.9604368805885315,2.716735363006592,7.539877414703369,0.36031559109687805
OpenBMI,2,Compact-ERM,7,2,0.9047379493713379,2.248875379562378,5.618635654449463,0.40025293827056885
OpenBMI,2,Compact-ERM,20,2,0.9812619686126709,2.5847933292388916,8.511077880859375,0.30369752645492554
OpenBMI,2,Compact-ERM,41,2,0.9635769128799438,2.42525315284729,6.13101863861084,0.3955709934234619
OpenBMI,2,Compact-ERM,46,2,0.9593391418457031,5.194077014923096,6.3079142570495605,0.8234222531318665
