dataset,fold,model,future_direction_consensus,future_subjects,source_direction_norm
OpenBMI,0,Compact-ERM,0.8748108908370301,14,0.9623206257820129
OpenBMI,0,Compact-TG,0.9054128468691648,14,0.9616637229919434
OpenBMI,1,Compact-ERM,0.8477457226851047,13,0.9758204221725464
OpenBMI,1,Compact-TG,0.8790826843335078,13,0.9798339009284973
OpenBMI,2,Compact-ERM,0.8850366985186552,13,0.9680774807929993
OpenBMI,2,Compact-TG,0.9176170963507432,13,0.9726161360740662
WBCIC,0,Compact-ERM,0.880849010294134,11,0.980640172958374
WBCIC,0,Compact-TG,0.9029031569307501,11,0.9798434376716614
WBCIC,1,Compact-ERM,0.8181960589355892,10,0.9443326592445374
WBCIC,1,Compact-TG,0.8296790096494887,10,0.9603952765464783
WBCIC,2,Compact-ERM,0.8345786677466498,10,0.9390015602111816
WBCIC,2,Compact-TG,0.8642349282900492,10,0.9580646753311157
