dataset,fold,model,source_direction_norm,source_subjects
OpenBMI,0,Compact-ERM,0.9623206257820129,20
OpenBMI,0,Compact-TG,0.9616637229919434,20
OpenBMI,1,Compact-ERM,0.9758204221725464,21
OpenBMI,1,Compact-TG,0.9798339009284973,21
OpenBMI,2,Compact-ERM,0.9680774807929993,21
OpenBMI,2,Compact-TG,0.9726161360740662,21
WBCIC,0,Compact-ERM,0.980640172958374,16
WBCIC,0,Compact-TG,0.9798434376716614,16
WBCIC,1,Compact-ERM,0.9443326592445374,16
WBCIC,1,Compact-TG,0.9603952765464783,16
WBCIC,2,Compact-ERM,0.9390015602111816,16
WBCIC,2,Compact-TG,0.9580646753311157,16
