scope,task,fold,K_C,C_plus_candidates,validated_C_plus,C_minus_candidates,validated_C_minus,positive_utility_mass,negative_utility_mass,validated_C_plus_P_utility,validated_C_minus_P_utility,C_plus_variance_fraction,C_minus_variance_fraction,route_to_P_and_keep_C,route_to_P,block_from_P_keep_C,harmful_overall,PCA_M_plus_random_p95,PCA_M_plus_random_percentile,PCA_validated_C_plus_random_p95,PCA_block_random_p95,PCA_M_plus_random_p95_exceed_folds,PCA_validated_C_plus_random_p95_exceed_folds
TASK_FOLD,OpenBMI_MI,0,16,5,1,4,0,0.07153619228120078,0.009643351345706227,0.01600618683733046,0,0.012481488287448883,0.0,0,1,0,0,0.0037209400673342925,1.0,3.0,2.0,,
TASK_FOLD,OpenBMI_MI,1,16,7,5,2,0,0.09538815005483531,0.013468278442815063,0.08763436211544709,0,0.07553407270461321,0.0,3,2,0,0,0.004029072243914318,1.0,3.0,2.0,,
TASK_FOLD,OpenBMI_MI,2,16,8,5,3,3,0.18642678122254588,0.020060697097960656,0.15714343095290437,-0.012077916517834335,0.07156171184033155,0.044592867605388165,3,2,2,1,0.006853566591037937,1.0,3.0,2.0,,
TASK_FOLD,OpenBMI_MI,3,16,9,7,1,0,0.17872092382680194,0.007246845798666377,0.16128202024123084,0,0.11890894174575806,0.0,2,5,0,0,0.0043657245038654455,1.0,3.0,2.0,,
TASK_FOLD,OpenBMI_MI,4,16,5,3,3,1,0.12678801859844194,0.009495828326180344,0.1014867074166735,-0.002946503896964714,0.06139547936618328,0.010178818367421627,2,1,1,0,0.00418916391808466,1.0,3.0,2.0,,
TASK_FOLD,OpenBMI_ERP,0,16,16,15,0,0,0.7489901361465551,0.0,0.7426999679943643,0,0.3124142801389098,0.0,11,4,0,0,0.038104583796894076,1.0,13.0,2.0,,
TASK_FOLD,OpenBMI_ERP,1,16,12,10,0,0,0.3784146678511509,0.022180129596866514,0.3746765049260527,0,0.3499652035534382,0.0,7,3,0,0,0.03231933323513658,1.0,9.0,2.0,,
TASK_FOLD,OpenBMI_ERP,2,16,15,11,0,0,0.6175709528809724,0.006563050614204258,0.4293010153099507,0,0.16336445976048708,0.0,7,4,0,0,0.04372003532353119,1.0,11.0,1.0,,
TASK_FOLD,OpenBMI_ERP,3,16,15,13,1,0,0.5165056331267504,0.002364128767415726,0.5108431930226894,0,0.3024331461638212,0.0,4,9,0,0,0.03682343869142339,1.0,12.0,2.0,,
TASK_FOLD,OpenBMI_ERP,4,16,14,13,0,0,0.5005479346970485,0.0004888559718286464,0.4810061963556412,0,0.24156205262988806,0.0,12,1,0,0,0.02808410079668041,1.0,13.0,3.0,,
TASK_FOLD,OpenBMI_SSVEP,0,16,7,7,0,0,0.8698853790532061,0.01873878253294,0.8606106436200207,0,0.20060922764241695,0.0,7,0,0,0,0.0072151491322074435,1.0,3.0,1.0,,
TASK_FOLD,OpenBMI_SSVEP,1,16,10,7,0,0,1.3024803313049536,0.036903133350278956,1.287810693832095,0,0.12158289737999439,0.0,6,1,0,0,0.011417437038592954,1.0,3.0,3.0,,
TASK_FOLD,OpenBMI_SSVEP,2,16,7,3,0,0,0.6042238856304417,0.02484502820940785,0.5557362966937944,0,0.13018206134438515,0.0,3,0,0,0,0.007721929379234401,1.0,3.0,1.0,,
TASK_FOLD,OpenBMI_SSVEP,3,16,8,7,2,1,1.0094323077307004,0.03444098188386609,0.9771815438750006,-0.0252209435760354,0.18169262260198593,0.07203254103660583,5,2,0,1,0.015225493568863158,1.0,5.0,2.0,,
TASK_FOLD,OpenBMI_SSVEP,4,16,12,9,0,0,0.9337307011252658,0.001590679983564769,0.9119218631191567,0,0.21991726011037827,0.0,9,0,0,0,0.008557417836603538,1.0,3.0,3.0,,
TASK_FOLD,WBCIC_MI,0,16,4,3,7,2,0.010147067257397188,0.002048808271653494,0.00943439483914214,-0.0007378625730780187,0.004801312323252205,0.0005205670822761022,3,0,2,0,0.0011055404834223737,1.0,5.0,4.0,,
TASK_FOLD,WBCIC_MI,1,16,7,6,4,4,0.2237128891982138,0.06591935950200424,0.2131870392127894,-0.050128375260101166,0.045228269416838884,0.131235811393708,6,0,0,4,0.0035331864763065816,1.0,3.0,3.0,,
TASK_FOLD,WBCIC_MI,2,16,9,7,4,2,0.19444052685958013,0.009770934280822985,0.19131787845253712,-0.007191899175328823,0.10952780395746231,0.08481680043041706,7,0,0,2,0.0050990281280910215,1.0,6.0,2.0,,
TASK_FOLD,WBCIC_MI,3,16,11,6,2,0,0.01663327823671352,0.0002662968685096226,0.015083177880114816,0,0.0002576208644313738,0.0,5,1,0,0,0.000823774239356112,1.0,8.0,2.0,,
TASK_FOLD,WBCIC_MI,4,16,15,5,0,0,0.06406332327836328,0.0004644407454179599,0.049468651965313866,0,0.043753833044320345,0.0,3,2,0,0,0.0020767344959191783,1.0,5.0,1.0,,
TASK,OpenBMI_MI,ALL,16.0,34,21,13,4,0.6588600659838258,0.05991500101132867,0.5235527075635863,-0.01502442041479905,0.067976338788867,0.010954337194561958,10,11,3,1,,,,,5,3
TASK,OpenBMI_ERP,ALL,16.0,72,62,1,0,2.7620293247024774,0.03159616495031514,2.538526877608698,0.0,0.27394782844930887,0.0,41,21,0,0,,,,,5,3
TASK,OpenBMI_SSVEP,ALL,16.0,44,33,2,1,4.719752604844567,0.11651860596005767,4.593261041140067,-0.0252209435760354,0.17079681381583214,0.014406508207321167,30,3,0,1,,,,,5,4
TASK,WBCIC_MI,ALL,16.0,46,27,17,8,0.508997084830268,0.0784698396684083,0.4784911423498973,-0.05805813700850801,0.040713767921261024,0.04331463578128023,24,3,2,6,,,,,5,2
