subject,session,basis_type,basis_draw,direction,epsilon,A_P_mean,n_trials,task,fold,stage
1,2,PCA,0,12,0.25,0.03837611898779869,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,13,0.25,0.13969263434410095,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,14,0.25,-0.02562069147825241,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,15,0.25,-0.008430435322225094,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,0,0.5,0.06489028036594391,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,1,0.5,0.012360305525362492,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,2,0.5,-0.12752848863601685,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,3,0.5,0.052113041281700134,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,4,0.5,-0.009886737912893295,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,5,0.5,-0.01079581305384636,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,6,0.5,-0.10837547481060028,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,7,0.5,-0.052274104207754135,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,8,0.5,-0.03314049169421196,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,9,0.5,-0.008882187306880951,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,10,0.5,0.038424301892519,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,11,0.5,-0.008886521682143211,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,12,0.5,0.03837144374847412,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,13,0.5,0.1395978182554245,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,14,0.5,-0.025580737739801407,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,15,0.5,-0.008415606804192066,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,0,1.0,0.06480146199464798,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,1,1.0,0.013065850362181664,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,2,1.0,-0.1264062523841858,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,3,1.0,0.051331132650375366,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,4,1.0,-0.00983109325170517,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,5,1.0,-0.010769210755825043,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,6,1.0,-0.10813461989164352,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,7,1.0,-0.052204929292201996,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,8,1.0,-0.03299728035926819,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,9,1.0,-0.008710251189768314,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,10,1.0,0.038407254964113235,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,11,1.0,-0.00898962002247572,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,12,1.0,0.03838680684566498,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,13,1.0,0.1391756385564804,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,14,1.0,-0.02546466328203678,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,15,1.0,-0.008385882712900639,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,0,0.25,-0.05973197519779205,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,1,0.25,-0.03350009024143219,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,2,0.25,-0.10677580535411835,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,3,0.25,0.03202378377318382,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,4,0.25,-0.06332169473171234,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,5,0.25,0.020890647545456886,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,6,0.25,0.09653525054454803,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,7,0.25,0.04023822769522667,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,8,0.25,-0.0005056987865827978,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,9,0.25,-0.02669435553252697,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,10,0.25,-0.01853083074092865,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,11,0.25,0.0002835924969986081,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,12,0.25,-0.008539382368326187,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,13,0.25,0.03895224258303642,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,14,0.25,-0.008714225143194199,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,15,0.25,-0.014146393164992332,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,0,0.5,-0.05967651307582855,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,1,0.5,-0.033339254558086395,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,2,0.5,-0.10660379379987717,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,3,0.5,0.03200773149728775,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,4,0.5,-0.06332103908061981,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,5,0.5,0.020855309441685677,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,6,0.5,0.09652162343263626,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,7,0.5,0.04023430868983269,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,8,0.5,-0.00047630074550397694,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,9,0.5,-0.0267103910446167,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,10,0.5,-0.018526803702116013,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,11,0.5,0.0002658228622749448,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,12,0.5,-0.008557254448533058,100,OpenBMI_MI,0,TRAIN
