task,fold,stage,basis_type,basis_draw,direction,session,n_subjects,U_P_subject_equal_mean,U_C_subject_equal_mean,U_total_subject_equal_mean,U_int_subject_equal_mean,delta_p_norm_subject_equal_mean,U_P_positive_subject_fraction
OpenBMI_MI,0,TRAIN,PCA,0,0,1,26,0.0015286463603843004,-0.003937730270151336,-0.001802089350978629,0.0006069946562333301,0.06568147528630036,0.5
OpenBMI_MI,0,TRAIN,PCA,0,0,2,26,-0.0024905368896165434,-0.002940577740446315,-0.005416328060583999,1.4786467195685524e-05,0.050733354730674855,0.46153846153846156
OpenBMI_MI,0,TRAIN,PCA,0,1,1,26,0.0048667976829724815,-0.004154607487949901,0.0017799505417665036,0.001067760656811655,0.09823305217119363,0.5769230769230769
OpenBMI_MI,0,TRAIN,PCA,0,1,2,26,0.01039971236157446,-0.0029773067950512855,0.00792268312160069,0.0005002772048171139,0.08833244815468788,0.6538461538461539
OpenBMI_MI,0,TRAIN,PCA,0,2,1,26,0.0008953675681438583,0.00031278715323423967,0.00110274484681073,-0.0001054089138611184,0.18545094046455163,0.4230769230769231
OpenBMI_MI,0,TRAIN,PCA,0,2,2,26,-0.002617557909196386,-0.005363758847614428,-0.008573283745835606,-0.0005919663676300283,0.1809683499427942,0.38461538461538464
OpenBMI_MI,0,TRAIN,PCA,0,3,1,26,0.005000091207106239,0.002848801059791675,0.007709094744104032,-0.0001397977448155311,0.0586396034520406,0.6153846153846154
OpenBMI_MI,0,TRAIN,PCA,0,3,2,26,0.006031610840951684,-0.0021165137821718906,0.003834449166718584,-8.064827083077174e-05,0.05485734737549837,0.8076923076923077
OpenBMI_MI,0,TRAIN,PCA,0,4,1,26,-0.002556794170791713,-0.011169960460392758,-0.010236502175617855,0.003490251417343433,0.12203813946017852,0.38461538461538464
OpenBMI_MI,0,TRAIN,PCA,0,4,2,26,-0.00484490415860469,-0.012284435280330049,-0.015341119950440211,0.0017882199113396031,0.11464205699471328,0.3076923076923077
OpenBMI_MI,0,TRAIN,PCA,0,5,1,26,-0.0003923976580084015,0.01502266712486744,0.014600013920034353,-3.0256105254431113e-05,0.036325366307909675,0.34615384615384615
OpenBMI_MI,0,TRAIN,PCA,0,5,2,26,-0.001807825179779544,0.0138250473170886,0.01197003339453099,-4.718957930330921e-05,0.03972491618389121,0.3076923076923077
OpenBMI_MI,0,TRAIN,PCA,0,6,1,26,0.02709205418180388,-0.00041833711573137686,0.02669738434577504,2.3667170878000503e-05,0.1414598963008477,0.7692307692307693
OpenBMI_MI,0,TRAIN,PCA,0,6,2,26,0.01544066977266294,-0.010433536222150836,0.00505528440407943,4.815081802707237e-05,0.16649382274884444,0.6538461538461539
OpenBMI_MI,0,TRAIN,PCA,0,7,1,26,0.002946697126250141,-0.00029143579572869034,-0.003854203649797665,-0.006509464923650599,0.12612438316528612,0.5384615384615384
OpenBMI_MI,0,TRAIN,PCA,0,7,2,26,0.007786108892805015,-0.018287173767860692,-0.015100856178413289,-0.004599791866404792,0.13096182850690988,0.6538461538461539
OpenBMI_MI,0,TRAIN,PCA,0,8,1,26,-0.0006511379100489789,-0.004435333215042192,-0.005261954884959918,-0.00017548413781626621,0.10506991827144073,0.38461538461538464
OpenBMI_MI,0,TRAIN,PCA,0,8,2,26,-0.0006310997447984007,-0.01180376718716266,-0.012512168153010022,-7.730095962170498e-05,0.11175887687848164,0.4230769230769231
OpenBMI_MI,0,TRAIN,PCA,0,9,1,26,0.009142909440785073,-0.01146842235175427,-0.002818250074946823,-0.0004927370341297669,0.16688847942994192,0.7307692307692307
OpenBMI_MI,0,TRAIN,PCA,0,9,2,26,0.006690160828069425,-0.011443471119631655,-0.005343778802153583,-0.0005904682074497731,0.1712001029115457,0.5384615384615384
OpenBMI_MI,0,TRAIN,PCA,0,10,1,26,-0.004792912854239917,-0.004911852094944782,-0.0096800355733229,2.4729852139688985e-05,0.13557880142560372,0.34615384615384615
OpenBMI_MI,0,TRAIN,PCA,0,10,2,26,-0.009101115417881655,-0.0054328963355706385,-0.014638448158690993,-0.0001044357381942973,0.13380991896757713,0.34615384615384615
OpenBMI_MI,0,TRAIN,PCA,0,11,1,26,-0.005218855680141132,-0.0011549881724372075,-0.006022081719353222,0.00035176229934782337,0.06101068933136188,0.38461538461538464
OpenBMI_MI,0,TRAIN,PCA,0,11,2,26,-0.0063105724665757194,-0.0002786477864272176,-0.006298785182969788,0.0002904347045562015,0.06448827612285431,0.3076923076923077
OpenBMI_MI,0,TRAIN,PCA,0,12,1,26,-0.002441028909883104,0.003685881889675959,-0.002028664710591189,-0.003273517473224694,0.08295728996969186,0.4230769230769231
OpenBMI_MI,0,TRAIN,PCA,0,12,2,26,-0.0007750094071245537,-0.0029438728659163015,-0.005591353910858743,-0.0018724718404253228,0.0830234157351347,0.46153846153846156
OpenBMI_MI,0,TRAIN,PCA,0,13,1,26,0.022995898220240354,-0.004143527220898809,0.020571681749201022,0.0017193114654219244,0.13444126970492876,0.8846153846153846
OpenBMI_MI,0,TRAIN,PCA,0,13,2,26,0.008648870562095769,-0.010353164424976477,-0.0003744928622976519,0.001329801082297658,0.14334606837767822,0.5769230769230769
OpenBMI_MI,0,TRAIN,PCA,0,14,1,26,-0.0013505136370300674,-0.0018393692298559472,-0.0030666994772708188,0.00012318342596000337,0.05164487093973618,0.38461538461538464
OpenBMI_MI,0,TRAIN,PCA,0,14,2,26,-0.002610307834682037,0.0013064734610872199,-0.0012560499834272866,4.778413725804197e-05,0.05364448233292653,0.23076923076923078
OpenBMI_MI,0,TRAIN,PCA,0,15,1,26,-0.0019004461366701154,0.022696203793972157,0.01966694730351894,-0.0011288105598186331,0.039691695298712984,0.2692307692307692
OpenBMI_MI,0,TRAIN,PCA,0,15,2,26,-0.002761294629006163,0.026710168314961126,0.023213479273880903,-0.0007353962453705138,0.04097603451317319,0.23076923076923078
OpenBMI_MI,0,TRAIN,RANDOM,0,0,1,26,9.001313278881404e-06,-0.0002098907766944299,-0.00019274902241214967,8.140415581067919e-06,0.008820395271938581,0.46153846153846156
OpenBMI_MI,0,TRAIN,RANDOM,0,0,2,26,-3.096448696081867e-05,0.0002585437878224184,0.00023255056629960353,4.971293870644681e-06,0.009101312535886582,0.46153846153846156
OpenBMI_MI,0,TRAIN,RANDOM,0,1,1,26,-3.2624679446458824e-05,-0.0004570912494203255,-0.0004864850363026982,3.2308984277033933e-06,0.005771841182230184,0.5384615384615384
OpenBMI_MI,0,TRAIN,RANDOM,0,1,2,26,4.836688294045206e-06,-0.0006336175406781527,-0.0006272576920309803,1.5231594430859402e-06,0.005662916604286203,0.5769230769230769
OpenBMI_MI,0,TRAIN,RANDOM,0,2,1,26,-0.000137531322252471,0.0002344200849900237,6.695568607448458e-05,-2.993310027494982e-05,0.00727951883051831,0.5
OpenBMI_MI,0,TRAIN,RANDOM,0,2,2,26,-0.00013521600731809696,-2.9348191254449866e-05,-0.00018181119104645823,-1.7246999539985645e-05,0.007544994801999285,0.4230769230769231
OpenBMI_MI,0,TRAIN,RANDOM,0,3,1,26,0.00018943795682319504,0.00022882786323372365,0.0004207566506430829,2.4908093267255867e-06,0.010942908935248852,0.5384615384615384
OpenBMI_MI,0,TRAIN,RANDOM,0,3,2,26,5.700969607530099e-05,0.0001543101498100441,0.00021297386683727382,1.6540346189449688e-06,0.011094121226611046,0.6538461538461539
OpenBMI_MI,0,TRAIN,RANDOM,0,4,1,26,0.00034275209495367913,0.0009388130316577959,0.0013020132750030966,2.0448132615386454e-05,0.007945956178725911,0.7692307692307693
