task,fold,basis_type,basis_draw,direction,train_candidate,validated_status,route_type,U_P,U_C,U_total,U_int
OpenBMI_MI,0,PCA,0,6,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.01600618683733046,-0.017042434451771744,-0.0008699722917905698,0.00016627454503274444
OpenBMI_MI,0,RANDOM,2,3,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.00041366611056522135,-0.0005849685549037531,-0.00017339618383023966,-2.093718710701372e-06
OpenBMI_MI,0,RANDOM,2,15,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P_AND_KEEP_C,0.00026853607081041747,0.0013294960013278494,0.001600686002348084,2.6539278839739686e-06
OpenBMI_MI,0,RANDOM,4,11,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,HARMFUL_OVERALL,-0.00023973821953404695,-0.0009049932364177948,-0.001137570104522941,7.1613365359250265e-06
OpenBMI_MI,0,RANDOM,5,3,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P_AND_KEEP_C,0.0014966699321424433,0.0005578709024121054,0.002065371874171736,1.083110775349875e-05
OpenBMI_MI,0,RANDOM,5,15,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.0007728550505513946,0.000934189917340215,0.00015474869587706053,-6.5861456164384435e-06
OpenBMI_MI,0,RANDOM,8,1,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.0014387618793989532,-0.0002503252268676685,0.0011839623815224816,-4.474328198019369e-06
OpenBMI_MI,0,RANDOM,8,3,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.0006087770943850046,-0.0015740989135035004,-0.0009758712897867857,-1.0549444634004127e-05
OpenBMI_MI,0,RANDOM,8,5,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.0003707275548852825,0.0016719233802480933,0.0012976595317013562,-3.5362815301217174e-06
OpenBMI_MI,0,RANDOM,8,13,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.000882915942118719,-0.00017695412407192634,0.0007046685632303706,-1.2932469530824164e-06
OpenBMI_MI,0,RANDOM,9,3,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,HARMFUL_OVERALL,-0.0005778504710178822,-0.00030164945201249793,-0.000876783477300099,2.7164382019329025e-06
OpenBMI_MI,0,RANDOM,9,7,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.00021894011600428107,-0.0007565833784610732,-0.0005386465976092344,-1.0033324215896755e-06
OpenBMI_MI,0,RANDOM,10,0,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.0003665259209810756,-0.00030878393338677296,5.6264833498668544e-05,-1.4771521043381124e-06
OpenBMI_MI,0,RANDOM,10,7,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,HARMFUL_OVERALL,-0.0004105814661367428,-0.0005244263618161918,-0.0009317266043732767,3.281192225775461e-06
OpenBMI_MI,0,RANDOM,10,8,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,HARMFUL_OVERALL,-0.00028789854695787653,-0.000798210283088944,-0.0010812654218928703,4.843380357518375e-06
OpenBMI_MI,0,RANDOM,11,7,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P_AND_KEEP_C,0.0007735774815955665,1.8473017462383723e-05,0.0007957048091308631,3.654292423031317e-06
OpenBMI_MI,0,RANDOM,11,10,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.00044874864822001353,0.00018629836055576257,-0.00026593434373959707,-3.484046705655904e-06
OpenBMI_MI,0,RANDOM,11,14,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.0007380080622283458,0.0007644973342545806,2.1444871966499097e-05,-5.044409325212958e-06
OpenBMI_MI,0,RANDOM,12,9,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.00041590425704877515,0.00041261421771802514,-2.952280434935043e-06,3.377472393613819e-07
OpenBMI_MI,0,RANDOM,12,11,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.001121422314705948,-0.0005360519611106914,0.0005835033938031605,-1.867016142872065e-06
OpenBMI_MI,0,RANDOM,12,12,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P_AND_KEEP_C,0.0009737210275488906,0.0006199734095086266,0.0016051557959144702,1.146138329962317e-05
OpenBMI_MI,0,RANDOM,13,14,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,HARMFUL_OVERALL,-9.702622476955487e-05,-0.0003759706040303475,-0.0004747183632692516,-1.7215373553369773e-06
OpenBMI_MI,0,RANDOM,15,0,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.00048535352531568304,0.0010499459561591114,0.0005612418081000214,-3.3506130279192803e-06
OpenBMI_MI,0,RANDOM,15,2,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P,0.0020676268031820655,-0.0001618836816608867,0.001913150636634479,7.4074976339488785e-06
OpenBMI_MI,0,RANDOM,15,4,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,HARMFUL_OVERALL,-0.00020376080525844978,-0.0007904399729644259,-0.0009916965500451624,2.5042146335844486e-06
OpenBMI_MI,0,RANDOM,16,4,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P_AND_KEEP_C,0.0005187367562484724,0.00010626451603457099,0.0006276031154660208,2.6018296566121535e-06
OpenBMI_MI,0,RANDOM,17,15,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.000457200403616298,0.000617112877080217,0.00015527619204173485,-4.636278977917148e-06
OpenBMI_MI,0,RANDOM,18,10,C_MINUS_CANDIDATE,VALIDATED_C_MINUS,BLOCK_FROM_P_KEEP_C,-0.00019358868397982101,0.0011105261073680595,0.0009132330887950957,-3.7043355784286782e-06
OpenBMI_MI,0,RANDOM,19,10,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P_AND_KEEP_C,0.0002454446754806365,8.85293290290671e-06,0.00025554523260022205,1.2476369519731634e-06
OpenBMI_MI,1,PCA,0,0,C_PLUS_CANDIDATE,VALIDATED_C_PLUS,ROUTE_TO_P_AND_KEEP_C,0.011251829098910093,0.004902470662879447,0.01698141285063078,0.0008271150491054868
