task,fold,basis_type,basis_draw,train_C_plus_candidates,train_C_minus_candidates,validated_C_plus,validated_C_minus,M_plus,M_minus,strongest_positive,strongest_negative,block_from_P_keep_C,C_plus_variance_fraction,C_minus_variance_fraction,train_C_plus_candidates_random_mean,train_C_plus_candidates_random_p95,train_C_plus_candidates_random_percentile,train_C_minus_candidates_random_mean,train_C_minus_candidates_random_p95,train_C_minus_candidates_random_percentile,validated_C_plus_random_mean,validated_C_plus_random_p95,validated_C_plus_random_percentile,validated_C_minus_random_mean,validated_C_minus_random_p95,validated_C_minus_random_percentile,M_plus_random_mean,M_plus_random_p95,M_plus_random_percentile,M_minus_random_mean,M_minus_random_p95,M_minus_random_percentile,strongest_positive_random_mean,strongest_positive_random_p95,strongest_positive_random_percentile,strongest_negative_random_mean,strongest_negative_random_p95,strongest_negative_random_percentile,block_from_P_keep_C_random_mean,block_from_P_keep_C_random_p95,block_from_P_keep_C_random_percentile
OpenBMI_MI,0,PCA,0,5,4,1,0,0.07153619228120078,0.009643351345706227,0.02517253046001618,-0.0031886602422067276,0,0.012481488287448883,0.0,2.2,6.0,0.95,2.15,4.0,1.0,0.7,3.0,0.85,0.7,2.0,0.45,0.0019516407845721652,0.0037209400673342925,1.0,0.0016671751394864358,0.004306011460471382,1.0,0.0008012161606965644,0.0020676268031820655,1.0,-0.0005661000333624601,-0.00017063763971236767,0.0,0.4,2.0,0.65
OpenBMI_MI,0,RANDOM,0,1,1,0,0,0.0016419593410491966,0.0006605937025293921,0.0007794962476358099,-0.0005884655038244091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,1,3,2,0,0,0.0037209400673342925,0.0005381807865584657,0.0008505699030744532,-0.0002321363426744938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,2,3,0,2,0,0.0023296555936364407,0.001698770094549218,0.00043926913076575147,-0.0012354908385532326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,3,0,3,0,0,0.002577764679358552,0.00039593266001247684,0.0007176056096795946,-0.00017063763971236767,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,4,3,2,0,1,0.0005873183346617831,0.0022836139254944028,0.00021117113283253275,-0.0005873851578286349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,5,2,2,1,1,0.0022890992995598936,0.0018929829030630194,0.0014966699321424433,-0.0007728550505513946,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,6,1,1,0,0,0.0006765336992013242,0.0018061298883411683,0.000330729060806334,-0.0010706014872994274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,7,2,3,0,0,0.0011429977524812784,0.0014710420721257833,0.0004071094032269684,-0.0003801994128783311,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenBMI_MI,0,RANDOM,8,6,2,3,1,0.0035638198431039805,0.0010378017976411986,0.0014387618793989532,-0.0003707275548852825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
