task,fold,status,source,projector_file_sha256,projector_hash,protected_rank,spatial_rank,successor_rank,train_data_hash,spatial_orth_error,successor_orth_error
OpenBMI_SSVEP,0,COMPLETE,V2 discovery TRAIN-only,40e039c7e25983e33de163257290c8e55273c156773e90fb438fcbef601f9d12,440b9231f998e3d8d1e0f0557f6d36387cb862ceb2581140fe77f034ec8575da,4,4,4,2a2c20c8eb323d48228bef7b99ca6bf620845d83e41f737313898ebd7981ba3d,1.1920928955078125e-07,1.1920928955078125e-07
OpenBMI_SSVEP,1,COMPLETE,V2 discovery TRAIN-only,a188828669a4b4c033e39301a296899dae530a74fa3d35a6a1c0264f787ff0cd,a378ce17b284c86a561e4447e928204d9841e90f1ecb7ad2815331aa69e8d168,8,8,8,916fcadaee26797cdd39644a87d49814aeddd121714d1875650466848b1fe106,1.1920928955078125e-07,3.5762786865234375e-07
OpenBMI_SSVEP,2,COMPLETE,V2 discovery TRAIN-only,cd4c2e030df9b4c8104e383dff97a28a8087422ee750a286d649f147de462515,13e4f3524a844960a42df105dcc8064129f98abc2a622ee7aa265ace36e7b1d9,4,4,4,4103a2baea633aa383898911f1b00ea21787c87c17deb4da077ae6af0220df24,1.1920928955078125e-07,1.7881393432617188e-07
OpenBMI_SSVEP,3,COMPLETE,V2 discovery TRAIN-only,41bfab8b7ae55621b8f395be40cb2b6b7057a6b7d00e4c3f265abd70e366b4ef,256f5547ee596fa608799c61b68069bfe2f1178bd10d0c32552324d6f5f94a09,8,8,8,b2646699ad3b54436922e6ee9d7051a37761798ae782803fd33d3268e0124f75,1.7881393432617188e-07,2.384185791015625e-07
OpenBMI_SSVEP,4,COMPLETE,V2 discovery TRAIN-only,54779e0037f623f2995ce16160102b88d744b710e8bb43a60fa3915011520381,47173f14c58c2912219629230ebd021b10ba0fab6f7760d9d76bd1dc76a74de4,8,8,8,f361b17e943d4d5a587472913a3721211846553782d726a5f8debfd200ba2c26,1.1920928955078125e-07,1.1920928955078125e-07
WBCIC_MI,0,COMPLETE,V2 discovery TRAIN-only,bb05d14e1a8106335c789ef4f725e2a3f2ab10d7e38684920e38e04aaf9e319a,39cbe00c62515c6f3643a685655477f12b600c2894da44d017c39a45963729a1,2,2,2,4d7f71fc72cbeba7391aa0a03968af06a07a0751d8b14d0133a238edd65891d9,1.1920928955078125e-07,1.0011717677116394e-08
WBCIC_MI,1,COMPLETE,V2 discovery TRAIN-only,eb64f7752e832b1d5f255a6fc8cf512ab28a5c104f98c12cfc78f8fe60a8420a,79c971c35cf73d393bae75254f3177350266fe19dfb19a1df07d46c4da2ae477,2,2,2,0c3d8afc97825d82399a993246a64a447ab59440445436c16fd392fed4facd7a,1.1920928955078125e-07,1.1920928955078125e-07
WBCIC_MI,2,COMPLETE,V2 discovery TRAIN-only,485778b3c058e5a23b763acee5bcf058b0ddd846587f66b48fc32a6b707f8301,eb15f1464d880e218cf9138174be34e10c515005ac1a770c290790ea5667a201,3,3,3,e3c3c4072c72bb6239b26169e68d0c5e7fd7b0dac837aa7b73d03bd9fb0375f0,5.960464477539063e-08,2.384185791015625e-07
WBCIC_MI,3,COMPLETE,V2 discovery TRAIN-only,917abcfa8feb5b64ea1ceca7210c981535e9871c37354fc7623a96d38d85a60b,c72f4ef775467e38b79443ca36ed076344fb65af86ad71f341da8df5e718283b,2,2,2,660ab6ca1e8c320c7d1faae07d7e48f4be5e441e00d9f76298106687b7f3b69a,3.725290298461914e-09,1.1920928955078125e-07
WBCIC_MI,4,COMPLETE,V2 discovery TRAIN-only,05ed85cc03f07d650fd3507467482419e18e60b13dadb20f4fc0d40bfdd41a04,cd1dca45ce14b477924ab09298ea3f980da0e8a0fcb25c146a962a6c4d915fe5,1,1,1,b82e2c01139ce6be3bae47a15bd1f365869e661c0a29763a6cc3e00dea4f8985,0.0,0.0
