method,fold,seed,subject_id,BA,macro_f1,n_trials,evaluation_session,target_history_labels_used,internal_holdout_used,WBCIC_outer_used
A2_SOURCE_ONLY,0,0,15,0.89,0.8899009108197378,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,15,0.77,0.7681217864704104,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,15,0.8400000000000001,0.8389694041867954,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,15,0.8500000000000001,0.849624060150376,100,2,False,False,False
A2_SOURCE_ONLY,0,0,19,0.73,0.7277951406391774,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,19,0.7,0.6995192307692308,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,19,0.7,0.7,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,19,0.7,0.6998799519807923,100,2,False,False,False
A2_SOURCE_ONLY,0,0,32,0.7,0.6989160979526294,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,32,0.63,0.6290726817042607,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,32,0.6599999999999999,0.6594551282051282,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,32,0.66,0.6598639455782312,100,2,False,False,False
A2_SOURCE_ONLY,0,0,33,0.79,0.7821350762527233,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,33,0.8,0.7992773986350863,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,33,0.8400000000000001,0.839421918908069,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,33,0.8200000000000001,0.818840579710145,100,2,False,False,False
A2_SOURCE_ONLY,0,0,41,0.78,0.7785829307568438,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,41,0.74,0.7398959583833533,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,41,0.77,0.7694235588972431,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,41,0.79,0.78997899789979,100,2,False,False,False
A2_SOURCE_ONLY,0,0,46,0.6699999999999999,0.6601791782514674,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,46,0.61,0.6032956972841013,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,46,0.6599999999999999,0.6510673234811166,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,46,0.62,0.6006725514922235,100,2,False,False,False
A2_SOURCE_ONLY,0,0,47,0.96,0.9599358974358975,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,47,0.94,0.9397832195905259,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,47,0.8999999999999999,0.8993558776167472,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,47,0.88,0.8787878787878788,100,2,False,False,False
A2_SOURCE_ONLY,0,0,49,0.85,0.8498648783905515,100,2,False,False,False
PUD_SOURCE_ONLY,0,0,49,0.79,0.7894736842105263,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,0,49,0.86,0.8599439775910365,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,0,49,0.81,0.8099809980998101,100,2,False,False,False
A2_SOURCE_ONLY,0,1,15,0.87,0.8698828946051447,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,15,0.74,0.7348021215830274,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,15,0.81,0.8090644156366193,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,15,0.8200000000000001,0.8181818181818181,100,2,False,False,False
A2_SOURCE_ONLY,0,1,19,0.7,0.7,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,19,0.64,0.6394230769230769,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,19,0.68,0.6753246753246753,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,19,0.7,0.6956168831168831,100,2,False,False,False
A2_SOURCE_ONLY,0,1,32,0.69,0.6899689968996899,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,32,0.55,0.5444883085332524,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,32,0.6399999999999999,0.6386993175431553,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,32,0.63,0.6296667000300271,100,2,False,False,False
A2_SOURCE_ONLY,0,1,33,0.86,0.86,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,33,0.76,0.7584541062801933,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,33,0.8,0.7996794871794872,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,33,0.8200000000000001,0.8199279711884754,100,2,False,False,False
A2_SOURCE_ONLY,0,1,41,0.77,0.7688674505074866,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,41,0.71,0.7092731829573935,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,41,0.75,0.7493734335839599,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,41,0.78,0.779205138498595,100,2,False,False,False
A2_SOURCE_ONLY,0,1,46,0.64,0.6305418719211823,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,46,0.61,0.6052232007288187,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,46,0.62,0.6198479391756703,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,46,0.6499999999999999,0.6482765551200884,100,2,False,False,False
A2_SOURCE_ONLY,0,1,47,0.94,0.9399038461538461,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,47,0.9199999999999999,0.9199679871948779,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,47,0.9099999999999999,0.9095568284594513,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,47,0.8999999999999999,0.8996386993175431,100,2,False,False,False
A2_SOURCE_ONLY,0,1,49,0.8899999999999999,0.8894583458948849,100,2,False,False,False
PUD_SOURCE_ONLY,0,1,49,0.85,0.8498648783905515,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,1,49,0.8600000000000001,0.8594941790445605,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,1,49,0.85,0.8498648783905515,100,2,False,False,False
A2_SOURCE_ONLY,0,2,15,0.86,0.86,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,15,0.84,0.84,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,15,0.83,0.8299829982998299,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,15,0.85,0.84998499849985,100,2,False,False,False
A2_SOURCE_ONLY,0,2,19,0.6699999999999999,0.6673051718923279,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,19,0.6699999999999999,0.6673051718923279,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,19,0.64,0.6347402597402598,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,19,0.6499999999999999,0.6491228070175439,100,2,False,False,False
A2_SOURCE_ONLY,0,2,32,0.6699999999999999,0.6691729323308271,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,32,0.62,0.62,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,32,0.63,0.62996299629963,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,32,0.6,0.6,100,2,False,False,False
A2_SOURCE_ONLY,0,2,33,0.79,0.7837503861600247,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,33,0.83,0.8279178054458953,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,33,0.8300000000000001,0.8291628982011858,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,33,0.8300000000000001,0.8295739348370927,100,2,False,False,False
A2_SOURCE_ONLY,0,2,41,0.77,0.7694235588972431,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,41,0.74,0.74,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,41,0.75,0.7493734335839599,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,41,0.78,0.7799119647859143,100,2,False,False,False
A2_SOURCE_ONLY,0,2,46,0.6699999999999999,0.6601791782514674,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,46,0.6799999999999999,0.677938808373591,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,46,0.69,0.6884735202492211,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,46,0.64,0.6328029375764994,100,2,False,False,False
A2_SOURCE_ONLY,0,2,47,0.9199999999999999,0.9197109594540345,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,47,0.9299999999999999,0.9299929992999301,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,47,0.94,0.94,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,47,0.9199999999999999,0.9199679871948779,100,2,False,False,False
A2_SOURCE_ONLY,0,2,49,0.8899999999999999,0.8894583458948849,100,2,False,False,False
PUD_SOURCE_ONLY,0,2,49,0.85,0.84998499849985,100,2,False,False,False
IDENTITY_SOURCE_ONLY,0,2,49,0.88,0.8799519807923168,100,2,False,False,False
RANDOM_SOURCE_ONLY,0,2,49,0.9,0.8999599839935974,100,2,False,False,False
A2_SOURCE_ONLY,1,0,2,0.78,0.78,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,2,0.73,0.7277951406391774,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,2,0.77,0.769792813532179,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,2,0.78,0.7796474358974359,100,2,False,False,False
A2_SOURCE_ONLY,1,0,14,0.75,0.7497747973175859,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,14,0.8,0.797979797979798,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,14,0.77,0.7694235588972431,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,14,0.72,0.7181964573268921,100,2,False,False,False
A2_SOURCE_ONLY,1,0,34,0.6699999999999999,0.6673051718923279,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,34,0.69,0.6846709388668497,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,34,0.6799999999999999,0.6767676767676768,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,34,0.7,0.6956168831168831,100,2,False,False,False
A2_SOURCE_ONLY,1,0,40,0.8200000000000001,0.8164014687882497,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,40,0.8200000000000001,0.8152709359605912,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,40,0.8,0.797077922077922,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,40,0.8200000000000001,0.818840579710145,100,2,False,False,False
A2_SOURCE_ONLY,1,0,43,0.8899999999999999,0.8897243107769424,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,43,0.9,0.8999599839935974,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,43,0.91,0.90999099909991,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,43,0.91,0.90999099909991,100,2,False,False,False
A2_SOURCE_ONLY,1,0,44,0.77,0.767182913250329,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,44,0.74,0.7348021215830274,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,44,0.74,0.7362012987012987,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,44,0.69,0.6828644501278772,100,2,False,False,False
A2_SOURCE_ONLY,1,0,48,0.71,0.7033248081841432,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,48,0.73,0.7286704853783539,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,48,0.71,0.7076318177235609,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,48,0.71,0.7092731829573935,100,2,False,False,False
A2_SOURCE_ONLY,1,0,50,0.61,0.6052232007288187,100,2,False,False,False
PUD_SOURCE_ONLY,1,0,50,0.58,0.5689655172413793,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,0,50,0.6000000000000001,0.5833333333333333,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,0,50,0.62,0.6193910256410255,100,2,False,False,False
A2_SOURCE_ONLY,1,1,2,0.77,0.7699769976997699,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,2,0.75,0.74997499749975,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,2,0.81,0.8090644156366193,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,2,0.8,0.7992773986350863,100,2,False,False,False
A2_SOURCE_ONLY,1,1,14,0.76,0.7584541062801933,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,14,0.79,0.7889659330720531,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,14,0.74,0.7383252818035426,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,14,0.72,0.7171717171717171,100,2,False,False,False
A2_SOURCE_ONLY,1,1,34,0.66,0.6565656565656566,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,34,0.63,0.628178072555522,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,34,0.62,0.6100164203612479,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,34,0.6499999999999999,0.6395839769333744,100,2,False,False,False
A2_SOURCE_ONLY,1,1,40,0.8400000000000001,0.8389694041867954,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,40,0.81,0.8056265984654731,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,40,0.81,0.8043455874781176,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,40,0.8,0.7947454844006567,100,2,False,False,False
A2_SOURCE_ONLY,1,1,43,0.9099999999999999,0.9097744360902256,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,43,0.85,0.8498648783905515,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,43,0.9199999999999999,0.9199679871948779,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,43,0.9199999999999999,0.9199679871948779,100,2,False,False,False
A2_SOURCE_ONLY,1,1,44,0.85,0.8465473145780051,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,44,0.77,0.7660461804495982,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,44,0.73,0.7175436761167486,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,44,0.75,0.7384663667747673,100,2,False,False,False
A2_SOURCE_ONLY,1,1,48,0.61,0.5983935742971888,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,48,0.69,0.6897207486738064,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,48,0.7,0.6998799519807923,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,48,0.6699999999999999,0.6697027324592133,100,2,False,False,False
A2_SOURCE_ONLY,1,1,50,0.6000000000000001,0.5833333333333333,100,2,False,False,False
PUD_SOURCE_ONLY,1,1,50,0.63,0.6254681647940075,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,1,50,0.64,0.6394230769230769,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,1,50,0.65,0.6496847162446202,100,2,False,False,False
A2_SOURCE_ONLY,1,2,2,0.74,0.74,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,2,0.75,0.74997499749975,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,2,0.74,0.74,100,2,False,False,False
