method,fold,seed,subject_id,BA,macro_f1,n_trials,evaluation_session,target_history_labels_used,internal_holdout_used,WBCIC_outer_used
RANDOM_SOURCE_ONLY,1,2,2,0.75,0.74997499749975,100,2,False,False,False
A2_SOURCE_ONLY,1,2,14,0.79,0.7894736842105263,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,14,0.76,0.7575757575757576,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,14,0.77,0.7681217864704104,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,2,14,0.78,0.7785829307568438,100,2,False,False,False
A2_SOURCE_ONLY,1,2,34,0.68,0.6753246753246753,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,34,0.63,0.6269785260610949,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,34,0.64,0.6347402597402598,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,2,34,0.6699999999999999,0.6673051718923279,100,2,False,False,False
A2_SOURCE_ONLY,1,2,40,0.78,0.7767857142857143,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,40,0.78,0.7708333333333333,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,40,0.72,0.6961805555555556,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,2,40,0.75,0.7333333333333334,100,2,False,False,False
A2_SOURCE_ONLY,1,2,43,0.9199999999999999,0.9198717948717949,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,43,0.89,0.8899009108197378,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,43,0.91,0.90999099909991,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,2,43,0.91,0.90999099909991,100,2,False,False,False
A2_SOURCE_ONLY,1,2,44,0.8200000000000001,0.8152709359605912,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,44,0.76,0.7536945812807883,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,44,0.77,0.7631551848419318,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,2,44,0.78,0.7756017951856384,100,2,False,False,False
A2_SOURCE_ONLY,1,2,48,0.6799999999999999,0.6794871794871795,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,48,0.65,0.6457131288591963,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,48,0.69,0.6897207486738064,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,2,48,0.69,0.6884735202492211,100,2,False,False,False
A2_SOURCE_ONLY,1,2,50,0.56,0.5024875621890548,100,2,False,False,False
PUD_SOURCE_ONLY,1,2,50,0.58,0.5442708333333334,100,2,False,False,False
IDENTITY_SOURCE_ONLY,1,2,50,0.5700000000000001,0.5174503422735944,100,2,False,False,False
RANDOM_SOURCE_ONLY,1,2,50,0.56,0.5164835164835164,100,2,False,False,False
A2_SOURCE_ONLY,2,0,9,0.6,0.5998399359743898,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,9,0.5700000000000001,0.568922305764411,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,9,0.69,0.6899689968996899,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,9,0.64,0.6394230769230769,100,2,False,False,False
A2_SOURCE_ONLY,2,0,10,0.69,0.6874684948079444,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,10,0.6699999999999999,0.6697027324592133,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,10,0.72,0.7198879551820728,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,10,0.7,0.6998799519807923,100,2,False,False,False
A2_SOURCE_ONLY,2,0,16,0.8,0.7996794871794872,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,16,0.8500000000000001,0.849624060150376,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,16,0.8200000000000001,0.8197115384615384,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,16,0.85,0.8498648783905515,100,2,False,False,False
A2_SOURCE_ONLY,2,0,21,0.87,0.8696741854636592,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,21,0.8200000000000001,0.8181818181818181,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,21,0.96,0.9599358974358975,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,21,0.9,0.9,100,2,False,False,False
A2_SOURCE_ONLY,2,0,22,0.6799999999999999,0.6788438378161381,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,22,0.65,0.64996499649965,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,22,0.67,0.6659580929243851,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,22,0.6799999999999999,0.6767676767676768,100,2,False,False,False
A2_SOURCE_ONLY,2,0,31,0.8999999999999999,0.8996386993175431,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,31,0.86,0.8599439775910365,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,31,0.87,0.8698828946051447,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,31,0.87,0.8698828946051447,100,2,False,False,False
A2_SOURCE_ONLY,2,0,45,0.75,0.74997499749975,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,45,0.7,0.6998799519807923,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,45,0.78,0.78,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,45,0.73,0.72997299729973,100,2,False,False,False
A2_SOURCE_ONLY,2,0,53,0.78,0.7777777777777778,100,2,False,False,False
PUD_SOURCE_ONLY,2,0,53,0.76,0.7564935064935066,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,0,53,0.75,0.7493734335839599,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,0,53,0.75,0.7479584635547938,100,2,False,False,False
A2_SOURCE_ONLY,2,1,9,0.53,0.52995299529953,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,9,0.5800000000000001,0.5784825371336813,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,9,0.61,0.6068152031454783,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,9,0.62,0.6198479391756703,100,2,False,False,False
A2_SOURCE_ONLY,2,1,10,0.6799999999999999,0.6794871794871795,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,10,0.6799999999999999,0.677938808373591,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,10,0.6699999999999999,0.6683750376846548,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,10,0.6599999999999999,0.6594551282051282,100,2,False,False,False
A2_SOURCE_ONLY,2,1,16,0.8200000000000001,0.8193496587715776,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,16,0.81,0.8095238095238095,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,16,0.8200000000000001,0.8197115384615384,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,16,0.85,0.8498648783905515,100,2,False,False,False
A2_SOURCE_ONLY,2,1,21,0.8500000000000001,0.849624060150376,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,21,0.83,0.8279178054458953,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,21,0.8400000000000001,0.8397435897435898,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,21,0.8200000000000001,0.8193496587715776,100,2,False,False,False
A2_SOURCE_ONLY,2,1,22,0.6599999999999999,0.6578099838969405,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,22,0.6399999999999999,0.6386993175431553,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,22,0.59,0.5805626598465473,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,22,0.57,0.562608076492727,100,2,False,False,False
A2_SOURCE_ONLY,2,1,31,0.82,0.82,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,31,0.86,0.8599439775910365,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,31,0.87,0.8698828946051447,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,31,0.8500000000000001,0.849624060150376,100,2,False,False,False
A2_SOURCE_ONLY,2,1,45,0.7,0.6989160979526294,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,45,0.75,0.7497747973175859,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,45,0.75,0.7497747973175859,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,45,0.76,0.7596153846153846,100,2,False,False,False
A2_SOURCE_ONLY,2,1,53,0.78,0.7777777777777778,100,2,False,False,False
PUD_SOURCE_ONLY,2,1,53,0.73,0.7266929851199515,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,1,53,0.75,0.7457023700539112,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,1,53,0.77,0.7660461804495982,100,2,False,False,False
A2_SOURCE_ONLY,2,2,9,0.5900000000000001,0.5879811074263892,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,9,0.55,0.54995499549955,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,9,0.53,0.5288220551378446,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,9,0.53,0.5295766189570613,100,2,False,False,False
A2_SOURCE_ONLY,2,2,10,0.6799999999999999,0.6692848284415047,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,10,0.66,0.6598639455782312,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,10,0.6799999999999999,0.6798719487795117,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,10,0.7,0.6989160979526294,100,2,False,False,False
A2_SOURCE_ONLY,2,2,16,0.89,0.8899009108197378,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,16,0.85,0.84998499849985,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,16,0.81,0.8099809980998101,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,16,0.85,0.84998499849985,100,2,False,False,False
A2_SOURCE_ONLY,2,2,21,0.85,0.8498648783905515,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,21,0.77,0.7660461804495982,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,21,0.8200000000000001,0.8197115384615384,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,21,0.81,0.8084484323016433,100,2,False,False,False
A2_SOURCE_ONLY,2,2,22,0.61,0.5793334052421529,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,22,0.63,0.6189887756152817,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,22,0.6000000000000001,0.5833333333333333,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,22,0.5800000000000001,0.5625,100,2,False,False,False
A2_SOURCE_ONLY,2,2,31,0.9,0.8999599839935974,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,31,0.79,0.7898108297467721,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,31,0.8300000000000001,0.8295739348370927,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,31,0.8300000000000001,0.8295739348370927,100,2,False,False,False
A2_SOURCE_ONLY,2,2,45,0.71,0.7033248081841432,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,45,0.71,0.7076318177235609,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,45,0.69,0.6862030569895738,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,45,0.71,0.7064480210547626,100,2,False,False,False
A2_SOURCE_ONLY,2,2,53,0.79,0.78997899789979,100,2,False,False,False
PUD_SOURCE_ONLY,2,2,53,0.72,0.7159090909090908,100,2,False,False,False
IDENTITY_SOURCE_ONLY,2,2,53,0.7,0.6956168831168831,100,2,False,False,False
RANDOM_SOURCE_ONLY,2,2,53,0.68,0.6753246753246753,100,2,False,False,False
A2_SOURCE_ONLY,3,0,1,0.63,0.6236395076797885,100,2,False,False,False
PUD_SOURCE_ONLY,3,0,1,0.64,0.6328029375764994,100,2,False,False,False
IDENTITY_SOURCE_ONLY,3,0,1,0.6799999999999999,0.6767676767676768,100,2,False,False,False
RANDOM_SOURCE_ONLY,3,0,1,0.67,0.6659580929243851,100,2,False,False,False
A2_SOURCE_ONLY,3,0,5,0.6799999999999999,0.677938808373591,100,2,False,False,False
PUD_SOURCE_ONLY,3,0,5,0.73,0.7253585596582239,100,2,False,False,False
IDENTITY_SOURCE_ONLY,3,0,5,0.8,0.797077922077922,100,2,False,False,False
RANDOM_SOURCE_ONLY,3,0,5,0.79,0.7882851093860268,100,2,False,False,False
A2_SOURCE_ONLY,3,0,6,0.98,0.98,100,2,False,False,False
PUD_SOURCE_ONLY,3,0,6,0.96,0.959983993597439,100,2,False,False,False
IDENTITY_SOURCE_ONLY,3,0,6,0.94,0.94,100,2,False,False,False
RANDOM_SOURCE_ONLY,3,0,6,0.95,0.9499549594635172,100,2,False,False,False
A2_SOURCE_ONLY,3,0,7,0.8200000000000001,0.8197115384615384,100,2,False,False,False
PUD_SOURCE_ONLY,3,0,7,0.75,0.7479584635547938,100,2,False,False,False
