stage,fold,seed,method,checkpoint,checkpoint_sha256_before,checkpoint_sha256_after,checkpoint_unchanged,state_sha256_before,state_sha256_after,parameters_and_buffers_unchanged,model_eval_mode
replay,0,0,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/B0_VANILLA_EEGNET.pt,5b7fc802a2e7a012cc39e542f0a66214036e13e0f282884e7eff674b3783ff67,5b7fc802a2e7a012cc39e542f0a66214036e13e0f282884e7eff674b3783ff67,True,bed6fe6b63a3cae6ba0d1697e1618868e7647b40f77f918b0f0bf918d8dd1076,bed6fe6b63a3cae6ba0d1697e1618868e7647b40f77f918b0f0bf918d8dd1076,True,True
replay,0,0,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/B1_STRONG_EEGNET.pt,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,True,32f32122f0cdfdc47c13579858012cc9b8b02ab8ba92e9a14948e4744b417357,32f32122f0cdfdc47c13579858012cc9b8b02ab8ba92e9a14948e4744b417357,True,True
replay,0,1,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/B0_VANILLA_EEGNET.pt,d5aa043bdfde081031ada89f3de9c25856d8f36bb27d9757958651591b91bac9,d5aa043bdfde081031ada89f3de9c25856d8f36bb27d9757958651591b91bac9,True,4e56ced4502f53aa60eb30f626ccdfc97695f129dd14c684b66935fdd45279bb,4e56ced4502f53aa60eb30f626ccdfc97695f129dd14c684b66935fdd45279bb,True,True
replay,0,1,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/B1_STRONG_EEGNET.pt,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,True,34ab7eb9682c3d5dc827388ba5eb5b1f4ce5ca138305ec6ac6978140e022e350,34ab7eb9682c3d5dc827388ba5eb5b1f4ce5ca138305ec6ac6978140e022e350,True,True
replay,0,2,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/B0_VANILLA_EEGNET.pt,d040862a2c8d9bc1dadee6f4e1798b54e45241d7c1ecb42f6a2026afc31ff4fb,d040862a2c8d9bc1dadee6f4e1798b54e45241d7c1ecb42f6a2026afc31ff4fb,True,e04e00bb541ac80f6117433a5164017758585d3b9636e1d891ce527c27e54962,e04e00bb541ac80f6117433a5164017758585d3b9636e1d891ce527c27e54962,True,True
replay,0,2,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/B1_STRONG_EEGNET.pt,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,True,bf842f31147545bdc8ff0add6ce84f02516012c223fc4f8de5a44e949484b70b,bf842f31147545bdc8ff0add6ce84f02516012c223fc4f8de5a44e949484b70b,True,True
replay,1,0,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-0/checkpoints/B0_VANILLA_EEGNET.pt,ae7bac3274d083d9ad613dc0c682639c0aef1923b92175e81d5da03dd8884819,ae7bac3274d083d9ad613dc0c682639c0aef1923b92175e81d5da03dd8884819,True,5622cfde15677d523b86718d97727c4995ea60f7ba101194b0215d1980881952,5622cfde15677d523b86718d97727c4995ea60f7ba101194b0215d1980881952,True,True
replay,1,0,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-0/checkpoints/B1_STRONG_EEGNET.pt,3f914c8f135e1a276b8c7ad1ac7795fbe3b22bec483a19f6e883313b54d98300,3f914c8f135e1a276b8c7ad1ac7795fbe3b22bec483a19f6e883313b54d98300,True,40e712a1c0f34b3c2787e7a19251a66f5a3006efc36488afe8eb73c375df4d7b,40e712a1c0f34b3c2787e7a19251a66f5a3006efc36488afe8eb73c375df4d7b,True,True
replay,1,1,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-1/checkpoints/B0_VANILLA_EEGNET.pt,6c22f0e534909474d893fc3197b68a4fd9880d73adffdd9f7a0e9bdb4661a794,6c22f0e534909474d893fc3197b68a4fd9880d73adffdd9f7a0e9bdb4661a794,True,fef04d71b2efdc040553733591c848de4a8f8882616a61d8652ea26560da2337,fef04d71b2efdc040553733591c848de4a8f8882616a61d8652ea26560da2337,True,True
replay,1,1,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-1/checkpoints/B1_STRONG_EEGNET.pt,932fd57362e005175b563d170e1977954fbc90f0e1acb2a3956a3c2ac026aa41,932fd57362e005175b563d170e1977954fbc90f0e1acb2a3956a3c2ac026aa41,True,00c8ae0e3c294db762105de1a75e0c7e5526c07465d0605502b22837bbd7dd9e,00c8ae0e3c294db762105de1a75e0c7e5526c07465d0605502b22837bbd7dd9e,True,True
replay,1,2,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-2/checkpoints/B0_VANILLA_EEGNET.pt,02a8ef97b36df0446f8ca5ad4e560129f9f9cefa3382a9eada67d1e625b320bd,02a8ef97b36df0446f8ca5ad4e560129f9f9cefa3382a9eada67d1e625b320bd,True,30558838a127da3a5fad24dd5523a1ded88b3338c4b8fe7010fdd7772e618456,30558838a127da3a5fad24dd5523a1ded88b3338c4b8fe7010fdd7772e618456,True,True
replay,1,2,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-2/checkpoints/B1_STRONG_EEGNET.pt,86fd667c6f12d3c27a57b9260593659a4b2c5cb38e4413f5be501fc02a6f41f1,86fd667c6f12d3c27a57b9260593659a4b2c5cb38e4413f5be501fc02a6f41f1,True,d232a697593d9a28f547df09399c2e08b6bc29550ea6d25f10dfc202b48150cd,d232a697593d9a28f547df09399c2e08b6bc29550ea6d25f10dfc202b48150cd,True,True
replay,2,0,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-0/checkpoints/B1_STRONG_EEGNET.pt,4bdb730accdf8b8c8ac984cb4d13a670b4ed1fc525fa392b09011302ad276dd7,4bdb730accdf8b8c8ac984cb4d13a670b4ed1fc525fa392b09011302ad276dd7,True,ddffd9d670c4928e96260c16fdf1c7aa36fb0f7e459752b8205853a0b744be58,ddffd9d670c4928e96260c16fdf1c7aa36fb0f7e459752b8205853a0b744be58,True,True
replay,2,0,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-0/checkpoints/B1_STRONG_EEGNET.pt,4bdb730accdf8b8c8ac984cb4d13a670b4ed1fc525fa392b09011302ad276dd7,4bdb730accdf8b8c8ac984cb4d13a670b4ed1fc525fa392b09011302ad276dd7,True,ddffd9d670c4928e96260c16fdf1c7aa36fb0f7e459752b8205853a0b744be58,ddffd9d670c4928e96260c16fdf1c7aa36fb0f7e459752b8205853a0b744be58,True,True
replay,2,1,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-1/checkpoints/B1_STRONG_EEGNET.pt,e15927251b1af6ec87a39d96ee487b368acb0a3710c9cd33ae2e35cf9eacede0,e15927251b1af6ec87a39d96ee487b368acb0a3710c9cd33ae2e35cf9eacede0,True,7fff694fed11b6d3654a6c801aaa115deef21b3788f621c71bdfc4e7c69315b9,7fff694fed11b6d3654a6c801aaa115deef21b3788f621c71bdfc4e7c69315b9,True,True
replay,2,1,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-1/checkpoints/B1_STRONG_EEGNET.pt,e15927251b1af6ec87a39d96ee487b368acb0a3710c9cd33ae2e35cf9eacede0,e15927251b1af6ec87a39d96ee487b368acb0a3710c9cd33ae2e35cf9eacede0,True,7fff694fed11b6d3654a6c801aaa115deef21b3788f621c71bdfc4e7c69315b9,7fff694fed11b6d3654a6c801aaa115deef21b3788f621c71bdfc4e7c69315b9,True,True
replay,2,2,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-2/checkpoints/B1_STRONG_EEGNET.pt,37b4835804db72a302303cdfa9f7e651dce8d8ab380f308487b7d1dc7b490074,37b4835804db72a302303cdfa9f7e651dce8d8ab380f308487b7d1dc7b490074,True,98bd7d59cc2a89d2eb97472bc121f6b6e9da557533e175f4df83d384f470f531,98bd7d59cc2a89d2eb97472bc121f6b6e9da557533e175f4df83d384f470f531,True,True
replay,2,2,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-2/checkpoints/B1_STRONG_EEGNET.pt,37b4835804db72a302303cdfa9f7e651dce8d8ab380f308487b7d1dc7b490074,37b4835804db72a302303cdfa9f7e651dce8d8ab380f308487b7d1dc7b490074,True,98bd7d59cc2a89d2eb97472bc121f6b6e9da557533e175f4df83d384f470f531,98bd7d59cc2a89d2eb97472bc121f6b6e9da557533e175f4df83d384f470f531,True,True
replay,3,0,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-3/seed-0/checkpoints/B0_VANILLA_EEGNET.pt,100584a1161f7670c64e1ad55bb478f1e76bb6749777792aa54aa1fd8ded54b7,100584a1161f7670c64e1ad55bb478f1e76bb6749777792aa54aa1fd8ded54b7,True,32dab1dc27be2b72f8083f35564769c3d1665d9438fecbca83ed40ae518d084d,32dab1dc27be2b72f8083f35564769c3d1665d9438fecbca83ed40ae518d084d,True,True
replay,3,0,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-3/seed-0/checkpoints/B1_STRONG_EEGNET.pt,d5572932f5c1a8fcb58da11292a5e4b9c1d2c8965ddebc814332771ee387d6fe,d5572932f5c1a8fcb58da11292a5e4b9c1d2c8965ddebc814332771ee387d6fe,True,5a7ee7bcbaeab5bedaa9e4243f8c10ba79d1806487871853b909897f71099866,5a7ee7bcbaeab5bedaa9e4243f8c10ba79d1806487871853b909897f71099866,True,True
