method,seed,BA,macro_f1,B0_BA,Delta_BA_vs_B0
A2_SOURCE_ONLY,0,0.7787499999999999,0.7766852979292497,0.78425,-0.00550000000000006
A2_SOURCE_ONLY,1,0.775,0.7715915644354293,0.78625,-0.011249999999999982
A2_SOURCE_ONLY,2,0.77925,0.7746671752118648,0.788,-0.008750000000000036
B0_VANILLA_EEGNET,0,0.78425,0.779531131290679,0.78425,0.0
B0_VANILLA_EEGNET,1,0.78625,0.7820347464217627,0.78625,0.0
B0_VANILLA_EEGNET,2,0.788,0.7854676016654367,0.788,0.0
B1_STRONG_EEGNET,0,0.77975,0.7758376322959885,0.78425,-0.0044999999999999485
B1_STRONG_EEGNET,1,0.8035,0.8010547769724417,0.78625,0.017249999999999988
B1_STRONG_EEGNET,2,0.79125,0.7889229661545519,0.788,0.003249999999999975
IDENTITY_SOURCE_ONLY,0,0.77675,0.7745617641818292,0.78425,-0.007499999999999951
IDENTITY_SOURCE_ONLY,1,0.765,0.7619479274789767,0.78625,-0.02124999999999999
IDENTITY_SOURCE_ONLY,2,0.7617499999999999,0.7574356578405526,0.788,-0.026250000000000107
PUD_AFTER_ADAPT,0,0.76,0.757689531629467,0.78425,-0.024249999999999994
PUD_AFTER_ADAPT,1,0.7655000000000001,0.7638230388503562,0.78625,-0.020749999999999935
PUD_AFTER_ADAPT,2,0.76625,0.762732157368269,0.788,-0.021750000000000047
PUD_SOURCE_ONLY,0,0.75525,0.7529533182450708,0.78425,-0.029000000000000026
PUD_SOURCE_ONLY,1,0.7555,0.7533191861417805,0.78625,-0.030750000000000055
PUD_SOURCE_ONLY,2,0.75875,0.7556715211152609,0.788,-0.029249999999999998
RANDOM_SOURCE_ONLY,0,0.7685000000000001,0.7665422466604321,0.78425,-0.01574999999999993
RANDOM_SOURCE_ONLY,1,0.76375,0.7607404880488191,0.78625,-0.022499999999999964
RANDOM_SOURCE_ONLY,2,0.76375,0.7602920094945937,0.788,-0.024249999999999994
