method,label,BA,BA_CI95_L,BA_CI95_U,macro_f1,Delta_BA_vs_B0,Delta_CI95_L,Delta_CI95_U,median_subject_delta_vs_B0,subjects_improved_vs_B0,subjects_harmed_vs_B0,subjects_tied_vs_B0,subject_win_rate_vs_B0,worst_quartile_delta_vs_B0,positive_folds_vs_B0,positive_seeds_vs_B0,parameters
B0_VANILLA_EEGNET,Vanilla EEGNet,0.7861666666666667,0.7556666666666667,0.8166666666666668,0.7823444931259594,0.0,0.0,0.0,0.0,0,0,40,0.0,0.0,0,0,34162
B1_STRONG_EEGNET,Strong EEGNet,0.7915,0.7625833333333334,0.8216666666666667,0.788605125140994,0.005333333333333331,-0.00266666666666667,0.014333333333333328,0.0,11,11,18,0.275,-0.022333333333333337,2,2,68514
A2_SOURCE_ONLY,Dual task-only source,0.7776666666666667,0.7468333333333333,0.8070020833333333,0.7743146791921812,-0.008500000000000018,-0.020166666666666673,0.0023333333333332737,0.0,19,18,3,0.475,-0.05733333333333335,2,0,52292
PUD_SOURCE_ONLY,PUD source-only,0.7565,0.7275833333333334,0.7854166666666667,0.7539813418340374,-0.029666666666666675,-0.04308333333333333,-0.016833333333333343,-0.026666666666666727,8,32,0,0.2,-0.08766666666666664,0,0,52292
IDENTITY_SOURCE_ONLY,Identity source-only,0.7678333333333334,0.7380833333333333,0.79675,0.7646484498337861,-0.018333333333333347,-0.02858333333333335,-0.008164583333333371,-0.013333333333333308,11,27,2,0.275,-0.06566666666666666,0,0,52292
RANDOM_SOURCE_ONLY,Random source-only,0.7653333333333333,0.73558125,0.79475,0.7625249147346149,-0.020833333333333356,-0.03175208333333336,-0.010166666666666695,-0.015000000000000124,8,31,1,0.2,-0.06899999999999998,0,0,52292
