fold,subject_id,source_only_BA,source_only_macro_f1,after_adaptation_BA,after_adaptation_macro_f1,adaptation_delta_BA
0,15,0.7833333333333333,0.7809746360178126,0.8233333333333334,0.8231353584076356,0.040000000000000036
0,19,0.6699999999999999,0.6687491598615453,0.6866666666666666,0.6863354700854701,0.01666666666666672
0,32,0.6,0.5978536634125043,0.6266666666666666,0.6246925827592363,0.026666666666666616
0,33,0.7966666666666667,0.7952164367870583,0.79,0.7865380204052789,-0.00666666666666671
0,41,0.73,0.7297230471135823,0.7366666666666667,0.7362197045966866,0.00666666666666671
0,46,0.6333333333333333,0.6288192354621703,0.64,0.6354741281503564,0.00666666666666671
0,47,0.93,0.9299147353617779,0.94,0.93996597337724,0.009999999999999898
0,49,0.8300000000000001,0.8297745203669759,0.8300000000000001,0.82960509945067,0.0
1,14,0.7833333333333333,0.7815071628758696,0.7600000000000001,0.7564767974670753,-0.023333333333333206
1,2,0.7433333333333333,0.7425817118795592,0.7466666666666667,0.7460202224371081,0.0033333333333334103
1,34,0.65,0.6466091791611556,0.6566666666666666,0.6511063198234229,0.006666666666666599
1,40,0.8033333333333333,0.7972436225864659,0.8066666666666666,0.8025614281813294,0.0033333333333332993
1,43,0.88,0.8799085910679622,0.8933333333333334,0.8932345374047056,0.01333333333333342
1,44,0.7566666666666667,0.7515142944378046,0.7633333333333333,0.75703051518445,0.006666666666666599
1,48,0.69,0.6880347876371188,0.6866666666666666,0.6845306739771182,-0.0033333333333332993
1,50,0.5966666666666667,0.5795681717895734,0.5833333333333334,0.5606843236070963,-0.013333333333333308
2,10,0.6699999999999999,0.6691684954703452,0.6833333333333332,0.6790716136671385,0.013333333333333308
2,16,0.8366666666666668,0.8363776227246785,0.8300000000000001,0.829874686716792,-0.00666666666666671
2,21,0.8066666666666666,0.8040486013591038,0.8233333333333334,0.8226165353087271,0.01666666666666672
2,22,0.64,0.6358843632193624,0.6233333333333334,0.6149269088399523,-0.016666666666666607
2,31,0.8366666666666666,0.8365662616429482,0.8433333333333334,0.8432829637349348,0.006666666666666821
2,45,0.7200000000000001,0.7190955223406464,0.7233333333333333,0.7233243324332433,0.0033333333333331883
2,53,0.7366666666666667,0.7330318608408497,0.7666666666666666,0.7645908676113985,0.029999999999999916
2,9,0.5666666666666668,0.565786612799214,0.56,0.5575797878806038,-0.00666666666666671
3,1,0.69,0.6874317218818201,0.69,0.6889528260139625,0.0
3,20,0.8533333333333334,0.8531282332252891,0.87,0.8698567773444011,0.016666666666666607
3,23,0.6333333333333333,0.6233171827817583,0.64,0.6368990068893498,0.00666666666666671
3,26,0.8533333333333334,0.8524747167589455,0.87,0.86935591211907,0.016666666666666607
3,35,0.8266666666666667,0.8223396282350092,0.82,0.8156185205964702,-0.00666666666666671
3,5,0.7200000000000001,0.714382057959683,0.75,0.7467313923494535,0.029999999999999916
3,6,0.96,0.9599599455166681,0.9566666666666667,0.956628279817085,-0.0033333333333332993
3,7,0.77,0.7688041899449957,0.77,0.7685152937844127,0.0
4,11,0.7366666666666667,0.7328969773048019,0.7666666666666666,0.7663701070002477,0.029999999999999916
4,27,0.89,0.8890818267895785,0.9,0.8993381433467692,0.010000000000000009
4,28,0.86,0.8590610025450943,0.8666666666666667,0.8660635769459298,0.00666666666666671
4,3,0.8533333333333334,0.8527462119372352,0.89,0.8898526444123109,0.036666666666666625
4,30,0.69,0.6892429775561525,0.6866666666666666,0.6855128305704056,-0.0033333333333332993
4,38,0.7266666666666666,0.7220274492497308,0.7266666666666666,0.7202720087112389,0.0
4,52,0.77,0.7688274964675091,0.7799999999999999,0.778620327165167,0.009999999999999898
4,8,0.7366666666666667,0.7355797589911427,0.75,0.7491298727339503,0.013333333333333308
