method,fold,subject_id,BA,macro_f1,seeds,n_trials,B0_BA,Delta_BA_vs_B0
A2_SOURCE_ONLY,0,15,0.8733333333333334,0.8732612684749608,3,300,0.8966666666666666,-0.023333333333333206
A2_SOURCE_ONLY,0,19,0.6999999999999998,0.698366770843835,3,300,0.7333333333333334,-0.03333333333333355
A2_SOURCE_ONLY,0,32,0.6866666666666665,0.6860193423943821,3,300,0.69,-0.0033333333333334103
A2_SOURCE_ONLY,0,33,0.8133333333333334,0.8086284874709161,3,300,0.8066666666666666,0.00666666666666671
A2_SOURCE_ONLY,0,41,0.7733333333333334,0.7722913133871913,3,300,0.7600000000000001,0.013333333333333308
A2_SOURCE_ONLY,0,46,0.66,0.6503000761413724,3,300,0.64,0.020000000000000018
A2_SOURCE_ONLY,0,47,0.94,0.9398502343479259,3,300,0.9233333333333333,0.016666666666666607
A2_SOURCE_ONLY,0,49,0.8766666666666666,0.8762605233934404,3,300,0.8733333333333334,0.0033333333333331883
A2_SOURCE_ONLY,1,14,0.7666666666666666,0.7659008626027685,3,300,0.75,0.016666666666666607
A2_SOURCE_ONLY,1,2,0.7633333333333333,0.7633256658999233,3,300,0.7866666666666667,-0.023333333333333428
A2_SOURCE_ONLY,1,34,0.6699999999999999,0.6663985012608866,3,300,0.63,0.039999999999999925
A2_SOURCE_ONLY,1,40,0.8133333333333335,0.8107188624202532,3,300,0.8300000000000001,-0.016666666666666607
A2_SOURCE_ONLY,1,43,0.9066666666666666,0.9064568472463209,3,300,0.8933333333333332,0.01333333333333342
A2_SOURCE_ONLY,1,44,0.8133333333333334,0.8096670545963084,3,300,0.7533333333333333,0.06000000000000005
A2_SOURCE_ONLY,1,48,0.6666666666666666,0.6604018539895038,3,300,0.6966666666666667,-0.030000000000000027
A2_SOURCE_ONLY,1,50,0.59,0.5636813654170689,3,300,0.6333333333333333,-0.043333333333333335
A2_SOURCE_ONLY,2,10,0.6833333333333332,0.6787468342455428,3,300,0.6733333333333333,0.009999999999999898
A2_SOURCE_ONLY,2,16,0.8366666666666668,0.8363100189236009,3,300,0.85,-0.013333333333333197
A2_SOURCE_ONLY,2,21,0.8566666666666668,0.8563877080015289,3,300,0.96,-0.10333333333333317
A2_SOURCE_ONLY,2,22,0.6499999999999999,0.6386624089850771,3,300,0.7033333333333333,-0.053333333333333344
A2_SOURCE_ONLY,2,31,0.8733333333333334,0.8731995611037134,3,300,0.8566666666666668,0.016666666666666607
A2_SOURCE_ONLY,2,45,0.7200000000000001,0.7174053012121743,3,300,0.82,-0.09999999999999987
A2_SOURCE_ONLY,2,53,0.7833333333333333,0.7818448511517818,3,300,0.79,-0.00666666666666671
A2_SOURCE_ONLY,2,9,0.5733333333333334,0.5725913462334363,3,300,0.6733333333333333,-0.09999999999999998
A2_SOURCE_ONLY,3,1,0.6699999999999999,0.6657473729529664,3,300,0.64,0.029999999999999916
A2_SOURCE_ONLY,3,20,0.89,0.8898660681606657,3,300,0.89,0.0
A2_SOURCE_ONLY,3,23,0.6433333333333333,0.6248608743014114,3,300,0.65,-0.00666666666666671
A2_SOURCE_ONLY,3,26,0.8566666666666668,0.8557431494121044,3,300,0.8566666666666668,0.0
A2_SOURCE_ONLY,3,35,0.8466666666666667,0.8433336915759995,3,300,0.8433333333333334,0.0033333333333332993
A2_SOURCE_ONLY,3,5,0.7233333333333333,0.7210286332579119,3,300,0.7566666666666667,-0.03333333333333344
A2_SOURCE_ONLY,3,6,0.9700000000000001,0.9699989998999899,3,300,0.9700000000000001,0.0
A2_SOURCE_ONLY,3,7,0.7833333333333333,0.7829708975358024,3,300,0.7333333333333334,0.04999999999999993
A2_SOURCE_ONLY,4,11,0.73,0.7257453815957652,3,300,0.7233333333333333,0.00666666666666671
A2_SOURCE_ONLY,4,27,0.8833333333333333,0.8822037271681639,3,300,0.9233333333333333,-0.040000000000000036
A2_SOURCE_ONLY,4,28,0.8633333333333333,0.8621927386801888,3,300,0.9,-0.036666666666666736
A2_SOURCE_ONLY,4,3,0.9,0.8997751843346163,3,300,0.9266666666666666,-0.026666666666666616
A2_SOURCE_ONLY,4,30,0.7266666666666666,0.7244849960186096,3,300,0.7200000000000001,0.0066666666666664876
A2_SOURCE_ONLY,4,38,0.7266666666666666,0.7190001835988268,3,300,0.6966666666666667,0.029999999999999916
A2_SOURCE_ONLY,4,52,0.8000000000000002,0.7962629484936302,3,300,0.7966666666666667,0.0033333333333334103
A2_SOURCE_ONLY,4,8,0.8033333333333333,0.8026952609566834,3,300,0.7966666666666667,0.006666666666666599
B0_VANILLA_EEGNET,0,15,0.8966666666666666,0.8965882261341535,3,300,0.8966666666666666,0.0
B0_VANILLA_EEGNET,0,19,0.7333333333333334,0.725234056303746,3,300,0.7333333333333334,0.0
B0_VANILLA_EEGNET,0,32,0.69,0.6899429798922269,3,300,0.69,0.0
B0_VANILLA_EEGNET,0,33,0.8066666666666666,0.8025427508094213,3,300,0.8066666666666666,0.0
B0_VANILLA_EEGNET,0,41,0.7600000000000001,0.7567042462664556,3,300,0.7600000000000001,0.0
B0_VANILLA_EEGNET,0,46,0.64,0.6266536303920888,3,300,0.64,0.0
B0_VANILLA_EEGNET,0,47,0.9233333333333333,0.923293633870777,3,300,0.9233333333333333,0.0
B0_VANILLA_EEGNET,0,49,0.8733333333333334,0.8727263418977346,3,300,0.8733333333333334,0.0
B0_VANILLA_EEGNET,1,14,0.75,0.7455916921087088,3,300,0.75,0.0
B0_VANILLA_EEGNET,1,2,0.7866666666666667,0.7855263690657663,3,300,0.7866666666666667,0.0
B0_VANILLA_EEGNET,1,34,0.63,0.6230458225216845,3,300,0.63,0.0
B0_VANILLA_EEGNET,1,40,0.8300000000000001,0.8259298568014595,3,300,0.8300000000000001,0.0
B0_VANILLA_EEGNET,1,43,0.8933333333333332,0.8930819754535131,3,300,0.8933333333333332,0.0
B0_VANILLA_EEGNET,1,44,0.7533333333333333,0.741936045062017,3,300,0.7533333333333333,0.0
B0_VANILLA_EEGNET,1,48,0.6966666666666667,0.6914767906966793,3,300,0.6966666666666667,0.0
B0_VANILLA_EEGNET,1,50,0.6333333333333333,0.6106081321417456,3,300,0.6333333333333333,0.0
B0_VANILLA_EEGNET,2,10,0.6733333333333333,0.6711546831790635,3,300,0.6733333333333333,0.0
B0_VANILLA_EEGNET,2,16,0.85,0.8499309498596755,3,300,0.85,0.0
B0_VANILLA_EEGNET,2,21,0.96,0.9599719755781003,3,300,0.96,0.0
B0_VANILLA_EEGNET,2,22,0.7033333333333333,0.7014684509599881,3,300,0.7033333333333333,0.0
B0_VANILLA_EEGNET,2,31,0.8566666666666668,0.8565668457871428,3,300,0.8566666666666668,0.0
B0_VANILLA_EEGNET,2,45,0.82,0.8197352003828428,3,300,0.82,0.0
B0_VANILLA_EEGNET,2,53,0.79,0.7894815209264978,3,300,0.79,0.0
B0_VANILLA_EEGNET,2,9,0.6733333333333333,0.6708386933363918,3,300,0.6733333333333333,0.0
B0_VANILLA_EEGNET,3,1,0.64,0.632243312058977,3,300,0.64,0.0
B0_VANILLA_EEGNET,3,20,0.89,0.8899356121846461,3,300,0.89,0.0
B0_VANILLA_EEGNET,3,23,0.65,0.6356163912294224,3,300,0.65,0.0
B0_VANILLA_EEGNET,3,26,0.8566666666666668,0.8559527800156636,3,300,0.8566666666666668,0.0
B0_VANILLA_EEGNET,3,35,0.8433333333333334,0.8405629497984167,3,300,0.8433333333333334,0.0
B0_VANILLA_EEGNET,3,5,0.7566666666666667,0.7539048909851994,3,300,0.7566666666666667,0.0
B0_VANILLA_EEGNET,3,6,0.9700000000000001,0.9699936644324696,3,300,0.9700000000000001,0.0
B0_VANILLA_EEGNET,3,7,0.7333333333333334,0.7328627330604309,3,300,0.7333333333333334,0.0
B0_VANILLA_EEGNET,4,11,0.7233333333333333,0.7150728998454735,3,300,0.7233333333333333,0.0
B0_VANILLA_EEGNET,4,27,0.9233333333333333,0.923028095058034,3,300,0.9233333333333333,0.0
B0_VANILLA_EEGNET,4,28,0.9,0.8995508947319966,3,300,0.9,0.0
B0_VANILLA_EEGNET,4,3,0.9266666666666666,0.926607282555367,3,300,0.9266666666666666,0.0
B0_VANILLA_EEGNET,4,30,0.7200000000000001,0.7187032612501851,3,300,0.7200000000000001,0.0
B0_VANILLA_EEGNET,4,38,0.6966666666666667,0.6791231083021558,3,300,0.6966666666666667,0.0
B0_VANILLA_EEGNET,4,52,0.7966666666666667,0.7948067798513193,3,300,0.7966666666666667,0.0
B0_VANILLA_EEGNET,4,8,0.7966666666666667,0.7957842002507411,3,300,0.7966666666666667,0.0
B1_STRONG_EEGNET,0,15,0.8766666666666666,0.8765882133085103,3,300,0.8966666666666666,-0.020000000000000018
B1_STRONG_EEGNET,0,19,0.7066666666666667,0.7033392644346983,3,300,0.7333333333333334,-0.026666666666666727
B1_STRONG_EEGNET,0,32,0.6699999999999999,0.6686410025667122,3,300,0.69,-0.020000000000000018
B1_STRONG_EEGNET,0,33,0.7733333333333334,0.7698444160733193,3,300,0.8066666666666666,-0.033333333333333215
B1_STRONG_EEGNET,0,41,0.7600000000000001,0.7588822110401189,3,300,0.7600000000000001,0.0
B1_STRONG_EEGNET,0,46,0.6533333333333333,0.6528155604985986,3,300,0.64,0.013333333333333308
B1_STRONG_EEGNET,0,47,0.91,0.9096230531180883,3,300,0.9233333333333333,-0.013333333333333308
B1_STRONG_EEGNET,0,49,0.8533333333333334,0.8529123729883382,3,300,0.8733333333333334,-0.020000000000000018
B1_STRONG_EEGNET,1,14,0.7833333333333333,0.7815135178858065,3,300,0.75,0.033333333333333326
B1_STRONG_EEGNET,1,2,0.7766666666666667,0.7758445303047129,3,300,0.7866666666666667,-0.010000000000000009
B1_STRONG_EEGNET,1,34,0.69,0.6833460534591896,3,300,0.63,0.05999999999999994
B1_STRONG_EEGNET,1,40,0.8033333333333333,0.7976547703813496,3,300,0.8300000000000001,-0.026666666666666727
B1_STRONG_EEGNET,1,43,0.9133333333333334,0.9132959754474772,3,300,0.8933333333333332,0.02000000000000024
B1_STRONG_EEGNET,1,44,0.84,0.8351698434164717,3,300,0.7533333333333333,0.08666666666666667
B1_STRONG_EEGNET,1,48,0.6666666666666666,0.66272938370884,3,300,0.6966666666666667,-0.030000000000000027
B1_STRONG_EEGNET,1,50,0.61,0.5941302676125764,3,300,0.6333333333333333,-0.023333333333333317
B1_STRONG_EEGNET,2,10,0.6733333333333333,0.6711546831790635,3,300,0.6733333333333333,0.0
B1_STRONG_EEGNET,2,16,0.85,0.8499309498596755,3,300,0.85,0.0
B1_STRONG_EEGNET,2,21,0.96,0.9599719755781003,3,300,0.96,0.0
B1_STRONG_EEGNET,2,22,0.7033333333333333,0.7014684509599881,3,300,0.7033333333333333,0.0
B1_STRONG_EEGNET,2,31,0.8566666666666668,0.8565668457871428,3,300,0.8566666666666668,0.0
B1_STRONG_EEGNET,2,45,0.82,0.8197352003828428,3,300,0.82,0.0
B1_STRONG_EEGNET,2,53,0.79,0.7894815209264978,3,300,0.79,0.0
B1_STRONG_EEGNET,2,9,0.6733333333333333,0.6708386933363918,3,300,0.6733333333333333,0.0
B1_STRONG_EEGNET,3,1,0.7200000000000001,0.714310365247315,3,300,0.64,0.08000000000000007
