fold,seed,method,path,exists,sha256_expected,sha256_actual,hash_match,parameters,within_frozen_run,B0_aliases_B1,B0_alias_unambiguous,named_B0_file_exists
0,0,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/B0_VANILLA_EEGNET.pt,True,5b7fc802a2e7a012cc39e542f0a66214036e13e0f282884e7eff674b3783ff67,5b7fc802a2e7a012cc39e542f0a66214036e13e0f282884e7eff674b3783ff67,True,34162,True,False,False,True
0,0,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/B1_STRONG_EEGNET.pt,True,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,True,68514,True,False,False,
0,0,A2_DUAL_CONTROL,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/A2_DUAL_CONTROL.pt,True,dadb43e0b536ab58c6c5837d1b739ebd61a3822793ad69c7a7286a979cb979c1,dadb43e0b536ab58c6c5837d1b739ebd61a3822793ad69c7a7286a979cb979c1,True,52292,True,False,False,
0,0,PUD_SOURCE,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/PUD_SOURCE.pt,True,79528d10dedf7dad8014211eecaadb26f7a9b6f581334802bfe35f1d1115b0fa,79528d10dedf7dad8014211eecaadb26f7a9b6f581334802bfe35f1d1115b0fa,True,52292,True,False,False,
0,0,A7_IDENTITY_PROTECTED,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/A7_IDENTITY_PROTECTED.pt,True,ad2cc69d376560a86f650a9b781ad8203383b33c0e720534154300c019d7ecc2,ad2cc69d376560a86f650a9b781ad8203383b33c0e720534154300c019d7ecc2,True,52292,True,False,False,
0,0,A8_RANDOM_PROTECTED,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/A8_RANDOM_PROTECTED.pt,True,d5fba0b99cab0b6e79e9d3d68d47c93edfe30efade6abb09f926607e166cabf1,d5fba0b99cab0b6e79e9d3d68d47c93edfe30efade6abb09f926607e166cabf1,True,52292,True,False,False,
0,1,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/B0_VANILLA_EEGNET.pt,True,d5aa043bdfde081031ada89f3de9c25856d8f36bb27d9757958651591b91bac9,d5aa043bdfde081031ada89f3de9c25856d8f36bb27d9757958651591b91bac9,True,34162,True,False,False,True
0,1,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/B1_STRONG_EEGNET.pt,True,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,True,68514,True,False,False,
0,1,A2_DUAL_CONTROL,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/A2_DUAL_CONTROL.pt,True,106ded61330d1f7b5107244c0d3dd05b929ec41dbe424da3404d027926e1d485,106ded61330d1f7b5107244c0d3dd05b929ec41dbe424da3404d027926e1d485,True,52292,True,False,False,
0,1,PUD_SOURCE,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/PUD_SOURCE.pt,True,6800ec1b17bb3321bbda7e91176cc2b6f9e52d338422251885a174c8fe523266,6800ec1b17bb3321bbda7e91176cc2b6f9e52d338422251885a174c8fe523266,True,52292,True,False,False,
0,1,A7_IDENTITY_PROTECTED,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/A7_IDENTITY_PROTECTED.pt,True,852787eea76ce38ef8b29c9f9985631474006490d3e55e5fcee3ceae3059e4a6,852787eea76ce38ef8b29c9f9985631474006490d3e55e5fcee3ceae3059e4a6,True,52292,True,False,False,
0,1,A8_RANDOM_PROTECTED,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/A8_RANDOM_PROTECTED.pt,True,2e49f4450d6e55985aef2714b2df3776057c67aa08c4f6fa4e0fd5fab0455a01,2e49f4450d6e55985aef2714b2df3776057c67aa08c4f6fa4e0fd5fab0455a01,True,52292,True,False,False,
0,2,B0_VANILLA_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/B0_VANILLA_EEGNET.pt,True,d040862a2c8d9bc1dadee6f4e1798b54e45241d7c1ecb42f6a2026afc31ff4fb,d040862a2c8d9bc1dadee6f4e1798b54e45241d7c1ecb42f6a2026afc31ff4fb,True,34162,True,False,False,True
0,2,B1_STRONG_EEGNET,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/B1_STRONG_EEGNET.pt,True,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,True,68514,True,False,False,
0,2,A2_DUAL_CONTROL,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/A2_DUAL_CONTROL.pt,True,0063d92b614370cae15a16410be79a8651bcd7e81a816f02720ae19daeed5939,0063d92b614370cae15a16410be79a8651bcd7e81a816f02720ae19daeed5939,True,52292,True,False,False,
0,2,PUD_SOURCE,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/PUD_SOURCE.pt,True,ab3df9842df67b4d0ef1f08517beb473b802b7c6dcad31109c5d025d74808995,ab3df9842df67b4d0ef1f08517beb473b802b7c6dcad31109c5d025d74808995,True,52292,True,False,False,
0,2,A7_IDENTITY_PROTECTED,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/A7_IDENTITY_PROTECTED.pt,True,e74e11df6287b4dda97f441752d1c04885b55ce55eb72f8fc48a68ce10dee187,e74e11df6287b4dda97f441752d1c04885b55ce55eb72f8fc48a68ce10dee187,True,52292,True,False,False,
0,2,A8_RANDOM_PROTECTED,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/A8_RANDOM_PROTECTED.pt,True,46fb9e7950e2e87f6e67e86eaef5b72010c16fd171c9342811240ae642e57b98,46fb9e7950e2e87f6e67e86eaef5b72010c16fd171c9342811240ae642e57b98,True,52292,True,False,False,
