method,fold,BA,macro_f1,B0_BA,Delta_BA_vs_B0
A2_SOURCE_ONLY,0,0.7904166666666667,0.7881222520567529,0.7904166666666667,0.0
A2_SOURCE_ONLY,1,0.7487499999999999,0.7433188766791292,0.7466666666666666,0.002083333333333326
A2_SOURCE_ONLY,2,0.7470833333333333,0.7443935037321069,0.7908333333333334,-0.04375000000000007
A2_SOURCE_ONLY,3,0.7979166666666666,0.7941937108871064,0.7925,0.005416666666666625
A2_SOURCE_ONLY,4,0.8041666666666667,0.8015450526058104,0.8104166666666667,-0.006249999999999978
B0_VANILLA_EEGNET,0,0.7904166666666667,0.7867107331958255,0.7904166666666667,0.0
B0_VANILLA_EEGNET,1,0.7466666666666666,0.7396495854814468,0.7466666666666666,0.0
B0_VANILLA_EEGNET,2,0.7908333333333334,0.7898935400012128,0.7908333333333334,0.0
B0_VANILLA_EEGNET,3,0.7925,0.7888840417206532,0.7925,0.0
B0_VANILLA_EEGNET,4,0.8104166666666667,0.806584565230659,0.8104166666666667,0.0
B1_STRONG_EEGNET,0,0.7754166666666666,0.774080761753548,0.7904166666666667,-0.015000000000000013
B1_STRONG_EEGNET,1,0.7604166666666666,0.755460542777053,0.7466666666666666,0.01375000000000004
B1_STRONG_EEGNET,2,0.7908333333333334,0.7898935400012128,0.7908333333333334,0.0
B1_STRONG_EEGNET,3,0.8204166666666667,0.8170062159424972,0.7925,0.0279166666666667
B1_STRONG_EEGNET,4,0.8104166666666667,0.806584565230659,0.8104166666666667,0.0
IDENTITY_SOURCE_ONLY,0,0.7704166666666666,0.7691802313333382,0.7904166666666667,-0.020000000000000018
IDENTITY_SOURCE_ONLY,1,0.7400000000000001,0.7336727372618173,0.7466666666666666,-0.0066666666666664876
IDENTITY_SOURCE_ONLY,2,0.7425,0.740350027029447,0.7908333333333334,-0.04833333333333334
IDENTITY_SOURCE_ONLY,3,0.7916666666666666,0.7888972871002501,0.7925,-0.0008333333333333526
IDENTITY_SOURCE_ONLY,4,0.7945833333333333,0.7911419664440782,0.8104166666666667,-0.015833333333333366
PUD_AFTER_ADAPT,0,0.7591666666666667,0.7577457921540717,0.7904166666666667,-0.03125
PUD_AFTER_ADAPT,1,0.7370833333333334,0.7314556022602883,0.7466666666666666,-0.009583333333333166
PUD_AFTER_ADAPT,2,0.7316666666666666,0.7294084620240988,0.7908333333333334,-0.05916666666666681
PUD_AFTER_ADAPT,3,0.7958333333333334,0.7940697511142756,0.7925,0.0033333333333334103
PUD_AFTER_ADAPT,4,0.7958333333333334,0.7943949388607524,0.8104166666666667,-0.014583333333333282
PUD_SOURCE_ONLY,0,0.7466666666666666,0.7451281792979284,0.7904166666666667,-0.04375000000000007
PUD_SOURCE_ONLY,1,0.7379166666666667,0.7333709401794386,0.7466666666666666,-0.008749999999999925
PUD_SOURCE_ONLY,2,0.7266666666666667,0.7249949175496435,0.7908333333333334,-0.0641666666666667
PUD_SOURCE_ONLY,3,0.7883333333333334,0.7852297095380211,0.7925,-0.004166666666666541
PUD_SOURCE_ONLY,4,0.7829166666666666,0.7811829626051555,0.8104166666666667,-0.02750000000000008
RANDOM_SOURCE_ONLY,0,0.7687499999999999,0.7670555092270251,0.7904166666666667,-0.021666666666666723
RANDOM_SOURCE_ONLY,1,0.7416666666666667,0.7367569857580173,0.7466666666666666,-0.004999999999999893
RANDOM_SOURCE_ONLY,2,0.7379166666666667,0.7358722510291873,0.7908333333333334,-0.05291666666666672
RANDOM_SOURCE_ONLY,3,0.785,0.7827115437003145,0.7925,-0.007499999999999951
RANDOM_SOURCE_ONLY,4,0.7933333333333333,0.7902282839585307,0.8104166666666667,-0.01708333333333334
