method,fold,seed,subject_id,combined_BA,protected_only_BA,adaptive_only_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_target,functional_teacher_RMSE,functional_teacher_correlation,target_history_labels_used,internal_holdout_used,WBCIC_outer_used
A2_SOURCE_ONLY,0,2,32,0.6699999999999999,0.64,0.67,-1.1102230246251565e-16,0.029999999999999916,0.9632412408833089,1.3566477397012653,PUD_PROJECTED_TEACHER_LOGITS,0.9649370771956454,0.36742011471496666,False,False,False
PUD_SOURCE_ONLY,0,2,32,0.62,0.6,0.54,0.07999999999999996,0.020000000000000018,1.2302836373989865,0.647810238113787,PUD_PROJECTED_TEACHER_LOGITS,0.7491159740891458,0.6771342870587373,False,False,False
IDENTITY_SOURCE_ONLY,0,2,32,0.63,0.5700000000000001,0.62,0.010000000000000009,0.05999999999999994,0.5161740014383698,1.4933486074913882,PUD_PROJECTED_TEACHER_LOGITS,0.8942826981600145,0.4064740873474169,False,False,False
RANDOM_SOURCE_ONLY,0,2,32,0.6,0.49,0.61,-0.010000000000000009,0.10999999999999999,0.6717875979392817,1.391982461606683,PUD_PROJECTED_TEACHER_LOGITS,0.901264180235563,0.3982939820066795,False,False,False
A2_SOURCE_ONLY,0,2,33,0.79,0.8300000000000001,0.75,0.040000000000000036,-0.040000000000000036,0.9781821459017843,1.426802739264513,PUD_PROJECTED_TEACHER_LOGITS,0.7941324189170459,0.7042590792104725,False,False,False
PUD_SOURCE_ONLY,0,2,33,0.83,0.75,0.59,0.24,0.07999999999999996,1.7101797308332096,0.5202444585551136,PUD_PROJECTED_TEACHER_LOGITS,0.5042298288398416,0.9089759807408101,False,False,False
IDENTITY_SOURCE_ONLY,0,2,33,0.8300000000000001,0.6200000000000001,0.8200000000000001,0.010000000000000009,0.20999999999999996,0.23798154294123347,1.6556829923033296,PUD_PROJECTED_TEACHER_LOGITS,1.0691742835923026,0.3209136884894567,False,False,False
RANDOM_SOURCE_ONLY,0,2,33,0.8300000000000001,0.58,0.8,0.030000000000000027,0.2500000000000001,0.6448018223506545,1.6043717699942877,PUD_PROJECTED_TEACHER_LOGITS,1.1490186908559643,0.1208663666234664,False,False,False
A2_SOURCE_ONLY,0,2,41,0.77,0.6799999999999999,0.69,0.08000000000000007,0.09000000000000008,0.969893563943915,1.0996976521369317,PUD_PROJECTED_TEACHER_LOGITS,0.7642789430027284,0.650623983133544,False,False,False
PUD_SOURCE_ONLY,0,2,41,0.74,0.6799999999999999,0.63,0.10999999999999999,0.06000000000000005,1.3467090404284445,0.71912560484018,PUD_PROJECTED_TEACHER_LOGITS,0.46189567331034925,0.8900824160225884,False,False,False
IDENTITY_SOURCE_ONLY,0,2,41,0.75,0.55,0.77,-0.020000000000000018,0.19999999999999996,0.35053383008671,1.3928687242264604,PUD_PROJECTED_TEACHER_LOGITS,0.9798211294819736,0.22578153480045496,False,False,False
RANDOM_SOURCE_ONLY,0,2,41,0.78,0.63,0.74,0.040000000000000036,0.15000000000000002,0.45821437571273316,1.404744675508916,PUD_PROJECTED_TEACHER_LOGITS,0.9326981175808737,0.3778530696774381,False,False,False
A2_SOURCE_ONLY,0,2,46,0.6699999999999999,0.63,0.67,-1.1102230246251565e-16,0.039999999999999925,0.9482584805506564,1.1066967372641223,PUD_PROJECTED_TEACHER_LOGITS,0.8514204087456644,0.6612787965624611,False,False,False
PUD_SOURCE_ONLY,0,2,46,0.6799999999999999,0.66,0.6,0.07999999999999996,0.019999999999999907,1.6127602520054065,0.5703107810077785,PUD_PROJECTED_TEACHER_LOGITS,0.5620761253077252,0.8774967792260223,False,False,False
IDENTITY_SOURCE_ONLY,0,2,46,0.69,0.52,0.71,-0.020000000000000018,0.16999999999999993,0.2352920232544682,1.56034171867793,PUD_PROJECTED_TEACHER_LOGITS,1.1305696178955937,0.0723805880243847,False,False,False
