method,fold,subject_id,combined_BA,protected_only_BA,adaptive_only_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_RMSE,functional_teacher_correlation
A2_SOURCE_ONLY,0,15,0.8733333333333334,0.6833333333333332,0.8233333333333333,0.04999999999999997,0.19000000000000003,0.9117686106186841,1.145154856041007,0.817997475592215,0.5951211260071995
A2_SOURCE_ONLY,0,19,0.6999999999999998,0.65,0.7033333333333333,-0.0033333333333333687,0.04999999999999997,0.8578137127672006,1.1056594524034518,0.7710818799514656,0.5612059216298775
A2_SOURCE_ONLY,0,32,0.6866666666666665,0.6166666666666667,0.7033333333333333,-0.0166666666666667,0.06999999999999987,0.9731402780585882,1.169934602180845,0.8323141300971123,0.5031964290068269
A2_SOURCE_ONLY,0,33,0.8133333333333334,0.7933333333333333,0.7799999999999999,0.0333333333333333,0.019999999999999966,0.9496080040505034,1.3220813490065326,0.8693573729026364,0.6760678857942599
A2_SOURCE_ONLY,0,41,0.7733333333333334,0.7433333333333333,0.68,0.09333333333333334,0.03,0.9734813477091637,1.0689314457486452,0.7922145745770978,0.6588218931581179
A2_SOURCE_ONLY,0,46,0.66,0.6333333333333333,0.6766666666666667,-0.01666666666666674,0.0266666666666666,1.0511317105768638,1.1121928477448924,0.9089722371387338,0.6226753626078606
A2_SOURCE_ONLY,0,47,0.94,0.8366666666666666,0.8233333333333334,0.11666666666666659,0.10333333333333326,1.0130477378248584,1.177099872643846,0.9083770346152668,0.6991557285290945
A2_SOURCE_ONLY,0,49,0.8766666666666666,0.7833333333333333,0.8166666666666668,0.059999999999999866,0.0933333333333332,0.9797764953620889,1.1727841820058584,0.7665043801318272,0.6939063997907802
A2_SOURCE_ONLY,1,14,0.7666666666666666,0.6233333333333334,0.61,0.15666666666666665,0.1433333333333333,1.5255522992085577,1.5008046179926058,1.2047070285990846,0.4745342576916752
A2_SOURCE_ONLY,1,2,0.7633333333333333,0.6933333333333334,0.7000000000000001,0.06333333333333334,0.07,1.2556677415089492,1.36773006599271,1.069620055820441,0.6548981754342736
A2_SOURCE_ONLY,1,34,0.6699999999999999,0.6166666666666667,0.57,0.09999999999999998,0.05333333333333331,1.348650123124483,1.189184940917703,1.1424581800361586,0.37275618462136967
A2_SOURCE_ONLY,1,40,0.8133333333333335,0.7166666666666667,0.73,0.08333333333333337,0.09666666666666672,1.2034117052483901,1.2921050428639325,1.0522403729823202,0.6734421282192424
A2_SOURCE_ONLY,1,43,0.9066666666666666,0.7166666666666667,0.8166666666666668,0.08999999999999982,0.18999999999999992,1.4742908163117951,1.548553798448989,1.1577233778349934,0.6106840814999099
A2_SOURCE_ONLY,1,44,0.8133333333333334,0.7133333333333334,0.6966666666666667,0.1166666666666667,0.09999999999999998,1.5002735551506559,1.4936795682076218,1.1481250075245073,0.694625033629224
A2_SOURCE_ONLY,1,48,0.6666666666666666,0.59,0.6066666666666666,0.05999999999999997,0.07666666666666665,1.5407656592974321,1.41698673972481,1.4516020175576514,0.24095614771975246
A2_SOURCE_ONLY,1,50,0.59,0.5833333333333334,0.5666666666666668,0.023333333333333334,0.0066666666666667,1.19304818362318,1.3970740084603896,1.0900387301798704,0.48733399462212734
A2_SOURCE_ONLY,2,10,0.6833333333333332,0.6466666666666666,0.6733333333333332,0.01,0.03666666666666667,0.8044633877868778,0.8933498000214389,0.8505040117636694,0.5922126750852567
A2_SOURCE_ONLY,2,16,0.8366666666666668,0.84,0.7533333333333333,0.08333333333333333,-0.0033333333333333335,1.1869989016013276,1.394272836806608,0.9711271587992525,0.8416677324978895
A2_SOURCE_ONLY,2,21,0.8566666666666668,0.73,0.7799999999999999,0.07666666666666667,0.12666666666666668,1.1911380216554928,1.0762516648144869,1.5354506145218343,0.5079236530517561
A2_SOURCE_ONLY,2,22,0.6499999999999999,0.6366666666666666,0.5866666666666668,0.0633333333333332,0.013333333333333301,0.818693040806686,1.005641549594621,0.9280214836330026,0.5323488937628925
A2_SOURCE_ONLY,2,31,0.8733333333333334,0.7000000000000001,0.7600000000000001,0.11333333333333323,0.17333333333333326,1.1179384285994292,1.267188252691214,1.0526918705908102,0.555606999908049
A2_SOURCE_ONLY,2,45,0.7200000000000001,0.6633333333333333,0.6333333333333333,0.08666666666666656,0.05666666666666661,1.0108975206245023,1.0953918767961255,0.8157674633546654,0.541388837619812
A2_SOURCE_ONLY,2,53,0.7833333333333333,0.7233333333333333,0.7133333333333334,0.06999999999999997,0.06,0.9695949647873077,0.9838588845773275,0.9015192126225288,0.6483288348237498
A2_SOURCE_ONLY,2,9,0.5733333333333334,0.5599999999999999,0.59,-0.016666666666666632,0.013333333333333369,1.0353167611740643,0.9170567967448265,1.0590132303048874,0.446980443754017
A2_SOURCE_ONLY,3,1,0.6699999999999999,0.6366666666666666,0.6266666666666666,0.04333333333333327,0.0333333333333333,1.222488891221024,1.0072430333237428,0.997479255676405,0.6360500842428044
A2_SOURCE_ONLY,3,20,0.89,0.81,0.7733333333333334,0.11666666666666657,0.07999999999999995,1.4160629596967238,1.1246841616092242,1.0000692320411915,0.7396432031632134
A2_SOURCE_ONLY,3,23,0.6433333333333333,0.6366666666666666,0.5733333333333334,0.0699999999999999,0.006666666666666668,1.0900115826360204,1.0274964178320307,1.0055764172156791,0.5298896881080059
A2_SOURCE_ONLY,3,26,0.8566666666666668,0.8133333333333335,0.79,0.06666666666666664,0.04333333333333327,1.4535365512445726,1.3607320054112073,0.8111729363599979,0.8234499176186718
A2_SOURCE_ONLY,3,35,0.8466666666666667,0.8333333333333334,0.7566666666666667,0.08999999999999997,0.013333333333333234,1.6903719012264695,1.4047154871138534,0.8516245239655958,0.8563113861453705
A2_SOURCE_ONLY,3,5,0.7233333333333333,0.6699999999999999,0.6699999999999999,0.05333333333333326,0.05333333333333334,1.1222653815602646,0.9842842323274786,1.047334085432817,0.5576018555381355
A2_SOURCE_ONLY,3,6,0.9700000000000001,0.9266666666666667,0.9199999999999999,0.049999999999999996,0.0433333333333333,1.610321499366927,1.2994204903193844,0.776217898696367,0.8762787315848065
A2_SOURCE_ONLY,3,7,0.7833333333333333,0.7600000000000001,0.63,0.15333333333333335,0.023333333333333334,1.2439135175040021,1.0700929947220723,1.1476346023637052,0.550408480146107
A2_SOURCE_ONLY,4,11,0.73,0.6866666666666666,0.6866666666666666,0.04333333333333327,0.0433333333333333,1.2119054548212265,1.1422449075053454,1.0308573292638135,0.5286298857473155
A2_SOURCE_ONLY,4,27,0.8833333333333333,0.8700000000000001,0.8300000000000001,0.05333333333333334,0.01333333333333333,1.6646015086770578,1.291205578818982,0.7282629125310326,0.8905923507272524
A2_SOURCE_ONLY,4,28,0.8633333333333333,0.7633333333333333,0.85,0.013333333333333369,0.09999999999999996,1.6665125848620237,1.1260315868258202,0.9006656284557607,0.8155925576135098
A2_SOURCE_ONLY,4,3,0.9,0.7400000000000001,0.82,0.07999999999999986,0.15999999999999986,1.918788022367548,1.4214538470490414,1.1368469010958446,0.6769694045502201
A2_SOURCE_ONLY,4,30,0.7266666666666666,0.69,0.6366666666666666,0.08999999999999997,0.03666666666666663,1.1479100436662317,1.0054048960212107,1.0302853004833976,0.431630809654101
A2_SOURCE_ONLY,4,38,0.7266666666666666,0.7400000000000001,0.5966666666666667,0.12999999999999992,-0.013333333333333398,1.1481379134181722,1.0141231826672858,0.9545412539203201,0.5539499661285477
A2_SOURCE_ONLY,4,52,0.8000000000000002,0.6666666666666666,0.5466666666666667,0.25333333333333335,0.13333333333333333,1.5263564092371056,1.5417465789453075,1.2684403134379523,0.4158942482555079
A2_SOURCE_ONLY,4,8,0.8033333333333333,0.6699999999999999,0.61,0.19333333333333336,0.1333333333333334,1.5814973279250735,1.384960615020602,1.193382348902345,0.46725458302268325
IDENTITY_SOURCE_ONLY,0,15,0.8266666666666667,0.5266666666666667,0.8166666666666668,0.01,0.3,0.267366590380339,1.5688901267613395,1.0130761339942769,0.11415075007021218
IDENTITY_SOURCE_ONLY,0,19,0.6733333333333333,0.5833333333333334,0.6866666666666665,-0.013333333333333234,0.08999999999999993,0.22111174508113896,1.3409499935728093,0.8934330702942871,0.23358144219710067
IDENTITY_SOURCE_ONLY,0,32,0.6433333333333332,0.5833333333333334,0.6333333333333333,0.009999999999999933,0.05999999999999991,0.4112499203652374,1.4840222112701742,0.8689741937240778,0.31076378129712817
IDENTITY_SOURCE_ONLY,0,33,0.8233333333333334,0.55,0.8133333333333335,0.01,0.27333333333333326,0.24136623787155817,1.6739626052559575,1.1510766407128747,0.15479198780396355
IDENTITY_SOURCE_ONLY,0,41,0.7566666666666667,0.52,0.7633333333333333,-0.006666666666666667,0.23666666666666658,0.3260774631825612,1.4744472958667243,1.0371961414839936,0.12789468277232127
IDENTITY_SOURCE_ONLY,0,46,0.6566666666666666,0.5133333333333333,0.6733333333333333,-0.0166666666666667,0.14333333333333323,0.2605565887177187,1.6782137710153655,1.1662560170412481,0.026031202997255073
IDENTITY_SOURCE_ONLY,0,47,0.9166666666666666,0.5433333333333333,0.92,-0.0033333333333333327,0.37333333333333324,0.24560234051046004,1.7443812530792007,1.2618995773133004,0.035778789141674996
IDENTITY_SOURCE_ONLY,0,49,0.8666666666666667,0.5666666666666667,0.87,-0.0033333333333332668,0.30000000000000004,0.27842319378173847,1.690315126046464,1.076341429225561,0.0599049731106699
IDENTITY_SOURCE_ONLY,1,14,0.7600000000000001,0.5933333333333333,0.7333333333333334,0.026666666666666672,0.1666666666666667,0.3431068259609272,1.903146402990261,1.3508886782395988,-0.0734695848149698
IDENTITY_SOURCE_ONLY,1,2,0.7733333333333334,0.45,0.7600000000000001,0.013333333333333334,0.3233333333333333,0.3978762849482684,2.042110580496142,1.4824417113300277,-0.23580702825080602
IDENTITY_SOURCE_ONLY,1,34,0.6466666666666666,0.53,0.6433333333333334,0.0033333333333333006,0.1166666666666666,0.5870552516639204,1.7297965038798093,1.2303339083133813,-0.17868338819446225
IDENTITY_SOURCE_ONLY,1,40,0.7766666666666667,0.51,0.7766666666666667,0.0,0.26666666666666666,0.4494328845755007,2.278501586871133,1.5179222009652875,-0.15028408590472697
IDENTITY_SOURCE_ONLY,1,43,0.9133333333333334,0.6666666666666666,0.8733333333333334,0.03999999999999996,0.2466666666666666,0.36693807131974787,2.250709224633862,1.3924213511579884,0.3022925539953113
IDENTITY_SOURCE_ONLY,1,44,0.7466666666666667,0.6966666666666667,0.73,0.016666666666666666,0.049999999999999996,0.3762979490431814,1.9301222639935753,1.517764570784208,0.3082885336773567
IDENTITY_SOURCE_ONLY,1,48,0.6999999999999998,0.5733333333333334,0.6866666666666665,0.013333333333333334,0.12666666666666657,0.38909407725607675,1.6471757415108976,1.209220349905303,0.26318755283857004
IDENTITY_SOURCE_ONLY,1,50,0.6033333333333334,0.52,0.5766666666666667,0.02666666666666667,0.08333333333333333,0.4247260280345495,1.5558881673410563,1.1650744624716467,0.24799395952674866
IDENTITY_SOURCE_ONLY,2,10,0.69,0.57,0.6766666666666666,0.013333333333333296,0.11999999999999987,0.22401714172205098,1.4611729315298605,1.0038434635424505,0.32554968797505174
IDENTITY_SOURCE_ONLY,2,16,0.8166666666666668,0.4266666666666666,0.82,-0.0033333333333333335,0.39000000000000007,0.3840120980882062,2.5037982484999657,1.6553759490286328,-0.2764836099474984
IDENTITY_SOURCE_ONLY,2,21,0.8733333333333334,0.7533333333333333,0.8466666666666667,0.02666666666666667,0.12000000000000004,0.3396158542816585,1.6793282273756278,1.650371856074152,0.5499262088639161
IDENTITY_SOURCE_ONLY,2,22,0.62,0.5733333333333334,0.6033333333333334,0.01666666666666664,0.0466666666666667,0.2938213923188248,1.6657423806737661,1.1230954206911503,0.0592596192803941
IDENTITY_SOURCE_ONLY,2,31,0.8566666666666668,0.54,0.8433333333333334,0.0133333333333333,0.31666666666666665,0.27337575530789743,1.9736462760466622,1.237162113133562,0.023483228858432893
