fold,seed,baseline_configuration,B0_aliases_B1,B0_alias_unambiguous,normalizer_sha256,source_subject_count,source_sessions,future_session
0,0,EEGNET_F16,False,,fd41393a4e65d02d1fc55e6a4a3b057bf512bfed82a61cd630fc19541330465d,32,"[1, 2]",2
0,1,EEGNET_F16,False,,fd41393a4e65d02d1fc55e6a4a3b057bf512bfed82a61cd630fc19541330465d,32,"[1, 2]",2
0,2,EEGNET_F16,False,,fd41393a4e65d02d1fc55e6a4a3b057bf512bfed82a61cd630fc19541330465d,32,"[1, 2]",2
1,0,EEGNET_F16,False,,8b93d2de184f17647f62dcc6bb3ec0bbed1d97a1c9ef47bc242c391f87e4a28c,32,"[1, 2]",2
1,1,EEGNET_F16,False,,8b93d2de184f17647f62dcc6bb3ec0bbed1d97a1c9ef47bc242c391f87e4a28c,32,"[1, 2]",2
1,2,EEGNET_F16,False,,8b93d2de184f17647f62dcc6bb3ec0bbed1d97a1c9ef47bc242c391f87e4a28c,32,"[1, 2]",2
2,0,EEGNET_F8,True,True,97662ddc08eb10d9dfde553e045b7305db8ef7049cb845448327a3e8403a3395,32,"[1, 2]",2
2,1,EEGNET_F8,True,True,97662ddc08eb10d9dfde553e045b7305db8ef7049cb845448327a3e8403a3395,32,"[1, 2]",2
2,2,EEGNET_F8,True,True,97662ddc08eb10d9dfde553e045b7305db8ef7049cb845448327a3e8403a3395,32,"[1, 2]",2
3,0,EEGNET_F16,False,,f4d48779f699342563b9fac30a2696391bf47f16547263ff869ce318ac645fa9,32,"[1, 2]",2
3,1,EEGNET_F16,False,,f4d48779f699342563b9fac30a2696391bf47f16547263ff869ce318ac645fa9,32,"[1, 2]",2
3,2,EEGNET_F16,False,,f4d48779f699342563b9fac30a2696391bf47f16547263ff869ce318ac645fa9,32,"[1, 2]",2
4,0,EEGNET_F8,True,True,2e3dd453c785e34a815b392bbd0d58f57e9d0c37041420cf9f63916769c0550e,32,"[1, 2]",2
4,1,EEGNET_F8,True,True,2e3dd453c785e34a815b392bbd0d58f57e9d0c37041420cf9f63916769c0550e,32,"[1, 2]",2
4,2,EEGNET_F8,True,True,2e3dd453c785e34a815b392bbd0d58f57e9d0c37041420cf9f63916769c0550e,32,"[1, 2]",2
