method,fold,seed,subject_id,BA_replay,macro_f1_replay,n_trials_replay,evaluation_session,target_history_labels_used,internal_holdout_used,WBCIC_outer_used,BA_authoritative,macro_f1_authoritative,n_trials_authoritative,BA_abs_error,macro_f1_abs_error,n_trials_match
B0_VANILLA_EEGNET,0,0,15,0.88,0.8798076923076923,100,2,False,False,False,0.88,0.8798076923076923,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,0,19,0.78,0.779205138498595,100,2,False,False,False,0.78,0.779205138498595,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,0,32,0.7,0.7,100,2,False,False,False,0.7,0.7,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,0,33,0.83,0.8270776116366596,100,2,False,False,False,0.83,0.8270776116366596,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,0,41,0.75,0.742559983523839,100,2,False,False,False,0.75,0.742559983523839,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,0,46,0.6599999999999999,0.6263736263736264,100,2,False,False,False,0.6599999999999999,0.6263736263736264,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,0,47,0.9299999999999999,0.9299369432489241,100,2,False,False,False,0.93,0.929936943248924,100,1.1102230246251565e-16,1.1102230246251565e-16,True
B0_VANILLA_EEGNET,0,0,49,0.87,0.8689384010484928,100,2,False,False,False,0.87,0.8689384010484928,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,15,0.88,0.88,100,2,False,False,False,0.88,0.88,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,19,0.71,0.7033248081841432,100,2,False,False,False,0.71,0.7033248081841432,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,32,0.6499999999999999,0.6482765551200884,100,2,False,False,False,0.6499999999999999,0.6482765551200884,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,33,0.76,0.7552019583843329,100,2,False,False,False,0.76,0.7552019583843329,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,41,0.77,0.7694235588972431,100,2,False,False,False,0.77,0.7694235588972431,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,46,0.6100000000000001,0.6090225563909775,100,2,False,False,False,0.6100000000000001,0.6090225563909775,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,47,0.89,0.8891017239641092,100,2,False,False,False,0.89,0.8891017239641092,100,0.0,0.0,True
B1_STRONG_EEGNET,0,0,49,0.8400000000000001,0.8389694041867954,100,2,False,False,False,0.8400000000000001,0.8389694041867954,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,1,15,0.9199999999999999,0.9199679871948779,100,2,False,False,False,0.92,0.919967987194878,100,1.1102230246251565e-16,1.1102230246251565e-16,True
B0_VANILLA_EEGNET,0,1,19,0.65,0.630450849963045,100,2,False,False,False,0.65,0.630450849963045,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,1,32,0.64,0.6398559423769508,100,2,False,False,False,0.64,0.6398559423769508,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,1,33,0.73,0.721964782205746,100,2,False,False,False,0.73,0.721964782205746,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,1,41,0.77,0.7699769976997699,100,2,False,False,False,0.77,0.7699769976997699,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,1,46,0.6000000000000001,0.5985547972701726,100,2,False,False,False,0.6000000000000001,0.5985547972701726,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,1,47,0.89,0.8899889988998899,100,2,False,False,False,0.89,0.8899889988998899,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,1,49,0.87,0.8696741854636592,100,2,False,False,False,0.87,0.8696741854636592,100,0.0,0.0,True
B1_STRONG_EEGNET,0,1,15,0.89,0.8899889988998899,100,2,False,False,False,0.89,0.8899889988998899,100,0.0,0.0,True
B1_STRONG_EEGNET,0,1,19,0.73,0.7266929851199515,100,2,False,False,False,0.73,0.7266929851199515,100,0.0,0.0,True
B1_STRONG_EEGNET,0,1,32,0.6699999999999999,0.6691729323308271,100,2,False,False,False,0.6699999999999999,0.6691729323308271,100,0.0,0.0,True
B1_STRONG_EEGNET,0,1,33,0.77,0.7660461804495982,100,2,False,False,False,0.77,0.7660461804495982,100,0.0,0.0,True
B1_STRONG_EEGNET,0,1,41,0.76,0.7584541062801933,100,2,False,False,False,0.76,0.7584541062801933,100,0.0,0.0,True
B1_STRONG_EEGNET,0,1,46,0.6599999999999999,0.6594551282051282,100,2,False,False,False,0.6599999999999999,0.6594551282051282,100,0.0,0.0,True
B1_STRONG_EEGNET,0,1,47,0.9299999999999999,0.9299929992999301,100,2,False,False,False,0.93,0.92999299929993,100,1.1102230246251565e-16,1.1102230246251565e-16,True
B1_STRONG_EEGNET,0,1,49,0.8999999999999999,0.8998397435897436,100,2,False,False,False,0.8999999999999999,0.8998397435897436,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,15,0.89,0.8899889988998899,100,2,False,False,False,0.89,0.8899889988998899,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,19,0.77,0.7660461804495982,100,2,False,False,False,0.77,0.7660461804495982,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,32,0.73,0.72997299729973,100,2,False,False,False,0.73,0.72997299729973,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,33,0.86,0.8585858585858586,100,2,False,False,False,0.86,0.8585858585858586,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,41,0.76,0.7575757575757576,100,2,False,False,False,0.76,0.7575757575757576,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,46,0.66,0.6550324675324675,100,2,False,False,False,0.66,0.6550324675324675,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,47,0.95,0.9499549594635172,100,2,False,False,False,0.95,0.9499549594635172,100,0.0,0.0,True
B0_VANILLA_EEGNET,0,2,49,0.8799999999999999,0.8795664391810518,100,2,False,False,False,0.8799999999999999,0.8795664391810518,100,0.0,0.0,True
B1_STRONG_EEGNET,0,2,15,0.86,0.859775641025641,100,2,False,False,False,0.86,0.859775641025641,100,0.0,0.0,True
B1_STRONG_EEGNET,0,2,19,0.68,0.68,100,2,False,False,False,0.68,0.68,100,0.0,0.0,True
B1_STRONG_EEGNET,0,2,32,0.69,0.6884735202492211,100,2,False,False,False,0.69,0.6884735202492211,100,0.0,0.0,True
B1_STRONG_EEGNET,0,2,33,0.79,0.7882851093860268,100,2,False,False,False,0.79,0.7882851093860268,100,0.0,0.0,True
B1_STRONG_EEGNET,0,2,41,0.75,0.7487689679429204,100,2,False,False,False,0.75,0.7487689679429204,100,0.0,0.0,True
