task,subject_id,cache_session,bids_session,signal_path,label_path,signal_exists,label_exists,channels,samples,trials,signal_dtype,label_dtype,cache_class_counts,schema_ok,bids_events_path,bids_channels_path,bids_eegjson_path,bids_event_codes,bids_event_types,bids_channel_count,bids_channel_sha256,bids_sampling_rate_hz,event_duration_seconds,cache_matches_bids_counts,minor_integrity_exclusion_trials
ERP,1,1,1,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-01/ses-1/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-01/ses-1/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-1/ses-1/eeg/sub-1_ses-1_task-p300_run-1_recording-train_events.tsv,sub-1/ses-1/eeg/sub-1_ses-1_task-p300_run-1_recording-train_channels.tsv,sub-1/ses-1/eeg/sub-1_ses-1_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,1,2,2,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-01/ses-2/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-01/ses-2/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-1/ses-2/eeg/sub-1_ses-2_task-p300_run-1_recording-train_events.tsv,sub-1/ses-2/eeg/sub-1_ses-2_task-p300_run-1_recording-train_channels.tsv,sub-1/ses-2/eeg/sub-1_ses-2_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,2,1,1,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-02/ses-1/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-02/ses-1/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-2/ses-1/eeg/sub-2_ses-1_task-p300_run-1_recording-train_events.tsv,sub-2/ses-1/eeg/sub-2_ses-1_task-p300_run-1_recording-train_channels.tsv,sub-2/ses-1/eeg/sub-2_ses-1_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,2,2,2,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-02/ses-2/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-02/ses-2/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-2/ses-2/eeg/sub-2_ses-2_task-p300_run-1_recording-train_events.tsv,sub-2/ses-2/eeg/sub-2_ses-2_task-p300_run-1_recording-train_channels.tsv,sub-2/ses-2/eeg/sub-2_ses-2_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,3,1,1,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-03/ses-1/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-03/ses-1/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-3/ses-1/eeg/sub-3_ses-1_task-p300_run-1_recording-train_events.tsv,sub-3/ses-1/eeg/sub-3_ses-1_task-p300_run-1_recording-train_channels.tsv,sub-3/ses-1/eeg/sub-3_ses-1_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,3,2,2,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-03/ses-2/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-03/ses-2/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-3/ses-2/eeg/sub-3_ses-2_task-p300_run-1_recording-train_events.tsv,sub-3/ses-2/eeg/sub-3_ses-2_task-p300_run-1_recording-train_channels.tsv,sub-3/ses-2/eeg/sub-3_ses-2_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,4,1,1,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-04/ses-1/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-04/ses-1/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-4/ses-1/eeg/sub-4_ses-1_task-p300_run-1_recording-train_events.tsv,sub-4/ses-1/eeg/sub-4_ses-1_task-p300_run-1_recording-train_channels.tsv,sub-4/ses-1/eeg/sub-4_ses-1_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,4,2,2,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-04/ses-2/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-04/ses-2/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-4/ses-2/eeg/sub-4_ses-2_task-p300_run-1_recording-train_events.tsv,sub-4/ses-2/eeg/sub-4_ses-2_task-p300_run-1_recording-train_channels.tsv,sub-4/ses-2/eeg/sub-4_ses-2_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,5,1,1,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-05/ses-1/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-05/ses-1/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-5/ses-1/eeg/sub-5_ses-1_task-p300_run-1_recording-train_events.tsv,sub-5/ses-1/eeg/sub-5_ses-1_task-p300_run-1_recording-train_channels.tsv,sub-5/ses-1/eeg/sub-5_ses-1_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,5,2,2,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-05/ses-2/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-05/ses-2/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-5/ses-2/eeg/sub-5_ses-2_task-p300_run-1_recording-train_events.tsv,sub-5/ses-2/eeg/sub-5_ses-2_task-p300_run-1_recording-train_channels.tsv,sub-5/ses-2/eeg/sub-5_ses-2_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
ERP,6,1,1,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-06/ses-1/erp_1train_signals.npy,/root/rivermind-data/persist_eeg_cache/openbmi/openbmi/sub-06/ses-1/erp_1train_codes.npy,True,True,62,250,1980,float32,int16,"{""1"": 1650, ""2"": 330}",True,sub-6/ses-1/eeg/sub-6_ses-1_task-p300_run-1_recording-train_events.tsv,sub-6/ses-1/eeg/sub-6_ses-1_task-p300_run-1_recording-train_channels.tsv,sub-6/ses-1/eeg/sub-6_ses-1_task-p300_run-1_recording-train_eeg.json,"{""1"": 1650, ""2"": 330}","{""NonTarget"": 1650, ""Target"": 330}",62,9efa70ebd2e894e7b906f50f092dfe1788486d4c3eed4fed0ecc217989f678f7,1000.0,1.0,True,0
