dataset,method_id,baseline,subjects,mean_subject_BA,Delta_BA,CI95_L,CI95_U,median_subject_delta,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,positive_fold_fraction,accuracy,macro_f1,NLL,Brier,ECE,switch_rate,rescue_count,harm_count,rescue_precision,oracle_headroom_recovered,OUTER_TEST_USED,architecture_family,target_prior_sessions_used
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_LOGISTIC,current,41,0.8124111542251786,0.005622382360187241,-0.0026703005666420324,0.01402439024390246,0.010000000000000009,0.6097560975609756,0.6585365853658537,-0.07999999999999996,0.8,0.8123245881635144,0.8102350321523396,0.3693168959728437,0.12184305145080515,0.01693127479795743,0.09444783404514948,410,364,0.5297157622739018,0.30392883617494443,False,subject_local_stack,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_STACK_HISTGB,current,41,0.8113174427198818,0.004528670854890378,-0.002771926582902188,0.011878695491500392,0.0,0.4634146341463415,0.5853658536585366,-0.05499999999999999,0.8,0.8112263575350823,0.810031014043362,0.3733736225235326,0.12377155576472151,0.019748201972897846,0.07651006711409396,332,295,0.529505582137161,0.24610822831727205,False,subject_local_stack,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_COMPETENT3,current,41,0.8043523651145603,-0.002436406750431138,-0.008282277808573544,0.0031707317073170894,0.0,0.4146341463414634,0.5853658536585366,-0.05999999999999994,0.4,0.8042708968883465,0.8029458709912827,0.38319749354404314,0.12529540895405203,0.025584319276580933,0.07687614399023796,305,325,0.48412698412698413,0.22609340252038548,False,subject_local_blend,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_ALL5_MEAN,current,41,0.8043369672333086,-0.002451804631682681,-0.014537755604828777,0.008999149267060825,0.0,0.4634146341463415,0.5853658536585366,-0.1499999999999999,0.4,0.8042708968883465,0.8000258774310358,0.4577941508868739,0.14590337917647564,0.12036837183707294,0.13569249542403905,546,566,0.4910071942446043,0.4047442550037065,False,subject_local_pool,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_CURRENT_BLEND_LOCAL_STABLE,current,41,0.802410076373491,-0.0043786954915003675,-0.009854951958610506,0.0014637033444198021,0.0,0.34146341463414637,0.5365853658536586,-0.040000000000000036,0.2,0.8023184868822453,0.8009328653066871,0.38481558126038556,0.1265918592056038,0.018608554995735632,0.07614399023794997,294,330,0.47115384615384615,0.21793921423276502,False,subject_local_blend,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_COMPETENT3_MEAN,current,41,0.792759300320276,-0.014029471544715464,-0.024024390243902453,-0.00402947154471547,-0.010000000000000009,0.2682926829268293,0.34146341463414637,-0.09000000000000008,0.0,0.7926784624771201,0.7900265215566156,0.4207741984967941,0.13703604009300996,0.06128119599489853,0.1436241610738255,531,646,0.4511469838572642,0.3936249073387695,False,subject_local_pool,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STD,current,41,0.7865283936930278,-0.02026037817196354,-0.029634146341463427,-0.010975609756097557,-0.014999999999999902,0.21951219512195122,0.24390243902439024,-0.08500000000000008,0.0,0.7864551555826723,0.784135795480643,0.44052741122433625,0.14528806469357297,0.04626143929285609,0.15912141549725442,569,735,0.4363496932515337,0.4217939214232765,False,subject_local_head,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STABLE,current,41,0.7838531658043852,-0.022935606060606076,-0.03354536215816705,-0.012804878048780504,-0.020000000000000018,0.14634146341463414,0.24390243902439024,-0.10999999999999988,0.0,0.7837705918242831,0.7803603369973512,0.43650596595143204,0.14473746792377445,0.03800780867339179,0.16424649176327027,579,767,0.43016344725111444,0.42920681986656783,False,subject_local_head,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_DeepConvNet,current,41,0.767120288248337,-0.03966848361665434,-0.054336967233308685,-0.025433669777038734,-0.03499999999999992,0.12195121951219512,0.14634146341463414,-0.18499999999999994,0.0,0.7670530811470408,0.7647853548404785,0.5106973247572884,0.1595392867844663,0.039458974256377136,0.19097010372178158,620,945,0.3961661341853035,0.45959970348406226,False,subject_local_head,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_TeCh,current,41,0.7174611973392461,-0.08932757452574526,-0.11090955284552845,-0.06841463414634147,-0.09000000000000008,0.07317073170731707,0.0975609756097561,-0.2799999999999999,0.0,0.7173886516168395,0.7156472021535782,0.530227790764321,0.17884300784815343,0.015332311383251465,0.24795607077486273,650,1382,0.3198818897637795,0.48183839881393625,False,subject_local_head,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGConformer,current,41,0.6183869179600887,-0.1884018539049027,-0.23012195121951218,-0.14597529025006165,-0.18999999999999995,0.0975609756097561,0.0975609756097561,-0.48,0.0,0.6183038438071995,0.6036672177615644,0.6806029527198695,0.23389684611707648,0.0414865252918219,0.3685173886516168,738,2282,0.24437086092715232,0.5470719051148999,False,subject_local_head,True
