dataset,method_id,baseline,subjects,mean_subject_BA,Delta_BA,CI95_L,CI95_U,median_subject_delta,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,positive_fold_fraction,accuracy,macro_f1,NLL,Brier,ECE,switch_rate,rescue_count,harm_count,rescue_precision,oracle_headroom_recovered,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,current,41,0.8059540527223453,-0.0008347191426459709,-0.010834719142645964,0.008208610495195869,0.0,0.4634146341463415,0.6097560975609756,-0.1100000000000001,0.4,0.8058572300183039,0.8038806520332419,0.37949138749997724,0.12563818237663,0.013536949582464838,0.0896888346552776,364,371,0.49523809523809526,0.2698295033358043,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,current,41,0.8040028332101503,-0.002785938654841092,-0.012260728473762018,0.00576958610495197,0.0,0.43902439024390244,0.6097560975609756,-0.1100000000000001,0.2,0.8039048200122025,0.801751941330877,0.3811010100835245,0.12640813401097584,0.013321036862863575,0.09066503965832826,360,383,0.4845222072678331,0.2668643439584878,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,current,41,0.80044869425967,-0.0063400776053215094,-0.011582594235033248,-0.0013400776053215102,-0.0050000000000000044,0.34146341463414637,0.4878048780487805,-0.05499999999999994,0.2,0.800366076876144,0.7988421698128396,0.3872725817652376,0.12891782463927126,0.01839422698410722,0.05588773642464918,203,255,0.4432314410480349,0.15048183839881393,False
