dataset,method_id,baseline,subjects,mean_subject_BA,Delta_BA,CI95_L,CI95_U,median_subject_delta,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,positive_fold_fraction,accuracy,macro_f1,NLL,Brier,ECE,switch_rate,rescue_count,harm_count,rescue_precision,oracle_headroom_recovered,OUTER_TEST_USED,feature_set,model_family,anchored
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_EXTRATREES,current,41,0.8080096698694258,0.001220898004434587,-0.002437638580931254,0.00487804878048779,0.0,0.4146341463414634,0.6829268292682927,-0.025000000000000022,0.4,0.8079316656497865,0.8059020314408335,0.38979984921666055,0.12769877046609107,0.026114692567255224,0.03587553386211104,152,142,0.5170068027210885,0.11267605633802817,False,OUTPUT_COMPACT_EMBEDDING,extra_trees,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_EMBEDDING_LOGISTIC,current,41,0.807280426213353,0.0004916543483616606,-0.005121951219512205,0.006341463414634155,0.0,0.4634146341463415,0.5853658536585366,-0.03500000000000003,0.4,0.8071995118974985,0.8060578024413115,0.39569305530708937,0.12858159595624938,0.02998870122538442,0.05539963392312386,229,225,0.5044052863436124,0.1697553743513714,False,OUTPUT_EMBEDDING,logistic,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_HISTGB,current,41,0.8071572431633407,0.0003684712983493469,-0.004024390243902437,0.004761332840601097,0.0,0.3902439024390244,0.5609756097560976,-0.03500000000000003,0.4,0.8070774862721172,0.8054705377965714,0.3819297462799792,0.12674331341791636,0.017968674425612945,0.06333129957291031,261,258,0.5028901734104047,0.19347664936990364,False,OUTPUT_COMPACT_EMBEDDING,histgb,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_LOGISTIC,current,41,0.8068003202759301,1.1548410938647045e-05,-0.003525036954914993,0.0035365853658536374,0.0,0.4146341463414634,0.6829268292682927,-0.029999999999999916,0.4,0.8067114093959732,0.8050741026964585,0.3864026977033603,0.1270134463958586,0.028108072980033066,0.04710189139719341,193,193,0.5,0.1430689399555226,False,OUTPUT_COMPACT,logistic,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_HISTGB,current,41,0.8067952389751171,6.467110125646245e-06,-0.004377309682187722,0.004756097560975595,0.0,0.3902439024390244,0.5365853658536586,-0.030000000000000027,0.4,0.8067114093959732,0.8044312031553813,0.3813117784085608,0.1266656159129851,0.019708334557802853,0.05588773642464918,229,229,0.5,0.1697553743513714,False,OUTPUT_COMPACT,histgb,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_LOGISTIC,current,41,0.8066706701157923,-0.00011810174919930475,-0.004752248090662707,0.0045160445922641165,0.0,0.4146341463414634,0.5609756097560976,-0.030000000000000027,0.2,0.8065893837705919,0.8053609747353175,0.38861503453227436,0.12782336121764867,0.018789480606198634,0.057230018303843805,234,235,0.4989339019189765,0.17346182357301704,False,OUTPUT_COMPACT_EMBEDDING,logistic,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_LOGISTIC,current,41,0.8049621212121212,-0.0018266506528701592,-0.005851040896772594,0.002195121951219509,0.0,0.3170731707317073,0.5609756097560976,-0.03500000000000003,0.4,0.8048810250152532,0.8032535232358464,0.38336105837707096,0.126664464224446,0.017457442011219168,0.0364856619890177,142,157,0.47491638795986624,0.10526315789473684,False,OUTPUT,logistic,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_HISTGB,current,41,0.8032560359694506,-0.00353273589554077,-0.009752248090662722,0.0025609756097561,-1.1102230246251565e-16,0.36585365853658536,0.4634146341463415,-0.05999999999999983,0.2,0.8031726662599146,0.8010940156291645,0.38235868591170685,0.1267541327379957,0.017087951504386516,0.04575960951799878,173,202,0.4613333333333333,0.12824314306893997,False,OUTPUT,histgb,True
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_COMPACT_DIRECT_CONTROL,current,41,0.5128048780487805,-0.2939838938162109,-0.34105706454791823,-0.24508145479182067,-0.33499999999999996,0.0,0.0,-0.54,0.0,0.5126296522269677,0.46492449947831194,0.6973644341614055,0.25139875718720145,0.025259855799009825,0.49200732153752286,811,3221,0.20114087301587302,0.6011860637509266,False,COMPACT,logistic,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_EMBEDDING_DIRECT_CONTROL,current,41,0.4759635994087213,-0.33082517245627,-0.3994844211936438,-0.2639017268723824,-0.2799999999999999,0.0,0.0,-0.8049999999999999,0.0,0.47614399023794995,0.4553244287746035,0.7720188398083829,0.2845732936905229,0.15350550474954713,0.516046369737645,760,3469,0.17971151572475763,0.5633802816901409,False,EMBEDDING,logistic,False
