dataset,seed,alpha,epsilon,positive_action_row_rate,mean_safe_oracle_gain,harm_rate
eegmmidb,0,0.1,0.0,0.11666666666666667,0.003055555555555545,0.05
eegmmidb,0,0.1,0.01,0.11666666666666667,0.003055555555555545,0.05
eegmmidb,0,0.1,0.02,0.13333333333333333,0.0033333333333333288,0.0
eegmmidb,0,0.2,0.0,0.18333333333333332,0.003611111111111102,0.05
eegmmidb,0,0.2,0.01,0.18333333333333332,0.003611111111111102,0.05
eegmmidb,0,0.2,0.02,0.2,0.004166666666666655,0.0
eegmmidb,1,0.1,0.0,0.23333333333333334,0.0061111111111111045,0.11666666666666667
eegmmidb,1,0.1,0.01,0.23333333333333334,0.0061111111111111045,0.11666666666666667
eegmmidb,1,0.1,0.02,0.26666666666666666,0.0066666666666666576,0.016666666666666666
eegmmidb,1,0.2,0.0,0.16666666666666666,0.0044590643274853735,0.11666666666666667
eegmmidb,1,0.2,0.01,0.16666666666666666,0.0044590643274853735,0.11666666666666667
eegmmidb,1,0.2,0.02,0.18333333333333332,0.005014619883040927,0.016666666666666666
eegmmidb,2,0.1,0.0,0.016666666666666666,0.0002777777777777768,0.016666666666666666
eegmmidb,2,0.1,0.01,0.016666666666666666,0.0002777777777777768,0.016666666666666666
eegmmidb,2,0.1,0.02,0.016666666666666666,0.0002777777777777768,0.0
eegmmidb,2,0.2,0.0,0.0,0.0,0.016666666666666666
eegmmidb,2,0.2,0.01,0.0,0.0,0.016666666666666666
eegmmidb,2,0.2,0.02,0.016666666666666666,0.0002777777777777768,0.0
eegmmidb,3,0.1,0.0,0.16666666666666666,0.0038888888888888975,0.06666666666666667
eegmmidb,3,0.1,0.01,0.16666666666666666,0.0038888888888888975,0.06666666666666667
eegmmidb,3,0.1,0.02,0.21666666666666667,0.004883040935672519,0.0
eegmmidb,3,0.2,0.0,0.25,0.006111111111111111,0.06666666666666667
eegmmidb,3,0.2,0.01,0.25,0.006111111111111111,0.06666666666666667
eegmmidb,3,0.2,0.02,0.3,0.007441520467836267,0.0
eegmmidb,4,0.1,0.0,0.06666666666666667,0.0011111111111111072,0.016666666666666666
eegmmidb,4,0.1,0.01,0.06666666666666667,0.0011111111111111072,0.016666666666666666
eegmmidb,4,0.1,0.02,0.06666666666666667,0.0011111111111111072,0.0
eegmmidb,4,0.2,0.0,0.05,0.0011111111111111072,0.016666666666666666
eegmmidb,4,0.2,0.01,0.05,0.0011111111111111072,0.016666666666666666
eegmmidb,4,0.2,0.02,0.05,0.0011111111111111072,0.0
hmc,0,0.1,0.0,0.21428571428571427,0.006309523809523813,0.15714285714285714
hmc,0,0.1,0.01,0.3,0.0070833333333333364,0.0
hmc,0,0.1,0.02,0.3,0.0070833333333333364,0.0
hmc,0,0.2,0.0,0.17142857142857143,0.003452380952380953,0.15714285714285714
hmc,0,0.2,0.01,0.24285714285714285,0.004345238095238102,0.0
hmc,0,0.2,0.02,0.24285714285714285,0.004345238095238102,0.0
hmc,1,0.1,0.0,0.1,0.0013690476190476174,0.2
hmc,1,0.1,0.01,0.18571428571428572,0.0024999999999999944,0.07142857142857142
hmc,1,0.1,0.02,0.2,0.0027380952380952318,0.0
hmc,1,0.2,0.0,0.1,0.0018452380952381014,0.2
hmc,1,0.2,0.01,0.15714285714285714,0.0031547619047619124,0.07142857142857142
hmc,1,0.2,0.02,0.2,0.00363095238095239,0.0
hmc,2,0.1,0.0,0.24285714285714285,0.002797619047619044,0.18571428571428572
hmc,2,0.1,0.01,0.32857142857142857,0.003809523809523796,0.02857142857142857
hmc,2,0.1,0.02,0.32857142857142857,0.003809523809523796,0.014285714285714285
hmc,2,0.2,0.0,0.2,0.006071428571428582,0.18571428571428572
hmc,2,0.2,0.01,0.2571428571428571,0.006428571428571441,0.02857142857142857
hmc,2,0.2,0.02,0.2571428571428571,0.006428571428571441,0.014285714285714285
hmc,3,0.1,0.0,0.17142857142857143,0.0013690476190476141,0.14285714285714285
hmc,3,0.1,0.01,0.2714285714285714,0.003988095238095233,0.014285714285714285
hmc,3,0.1,0.02,0.2714285714285714,0.003988095238095233,0.0
hmc,3,0.2,0.0,0.12857142857142856,0.001309523809523808,0.14285714285714285
hmc,3,0.2,0.01,0.18571428571428572,0.0019047619047619076,0.014285714285714285
hmc,3,0.2,0.02,0.18571428571428572,0.0019047619047619076,0.0
hmc,4,0.1,0.0,0.02857142857142857,0.00011904761904762497,0.014285714285714285
hmc,4,0.1,0.01,0.02857142857142857,0.00011904761904762497,0.0
hmc,4,0.1,0.02,0.02857142857142857,0.00011904761904762497,0.0
hmc,4,0.2,0.0,0.05714285714285714,0.00029761904761904976,0.014285714285714285
hmc,4,0.2,0.01,0.05714285714285714,0.00029761904761904976,0.0
hmc,4,0.2,0.02,0.05714285714285714,0.00029761904761904976,0.0
