dataset,alpha,epsilon,positive_subject_rate,mean_gain,median_gain,relative_set_size_reduction,relative_ci_lower,relative_ci_upper,non_tta_action_subject_rate,maximum_single_action_positive_rate,harm_rate,minimum_seed_positive_rate,official_t3a_contribution,robust_adapter_contribution,n_unique_subjects
eegmmidb,0.1,0.0,0.2378277153558052,0.0055087390761548016,0.0,0.001753140008487154,0.0012025506575061647,0.0023352643300373036,0.24,0.24,0.05333333333333334,0.03333333333333333,0.0,1.0,89
eegmmidb,0.1,0.01,0.2378277153558052,0.0055087390761548016,0.0,0.001753140008487154,0.0012025506575061647,0.0023352643300373036,0.24,0.24,0.05333333333333334,0.03333333333333333,0.0,1.0,89
eegmmidb,0.1,0.02,0.2762172284644195,0.006256981404822913,0.0,0.001996580074213002,0.0014262341694459108,0.0026180669002722674,0.28,0.28,0.0033333333333333335,0.03333333333333333,0.0,1.0,89
eegmmidb,0.2,0.0,0.26029962546816476,0.006231519810762854,0.0,0.002298322958443125,0.0015887996758804815,0.0031071982033462663,0.26,0.26,0.05333333333333334,0.0,0.0,1.0,89
eegmmidb,0.2,0.01,0.26029962546816476,0.006231519810762854,0.0,0.002298322958443125,0.0015887996758804815,0.0031071982033462663,0.26,0.26,0.05333333333333334,0.0,0.0,1.0,89
eegmmidb,0.2,0.02,0.3089887640449438,0.007346901898942108,0.0,0.002727540388740917,0.0019759342460138546,0.0035657771635898743,0.3,0.3,0.0033333333333333335,0.03333333333333333,0.0,1.0,89
hmc,0.1,0.0,0.29772727272727273,0.004333964646464653,0.0,0.0023066147998970594,0.0012880970216143821,0.0035870881583010715,0.3028571428571429,0.3028571428571429,0.14,0.05714285714285714,0.0,1.0,110
hmc,0.1,0.01,0.4416666666666666,0.00703598484848485,0.002604166666666713,0.0036188825216892343,0.002228640953278553,0.005323932823464587,0.44571428571428573,0.44571428571428573,0.022857142857142857,0.05714285714285714,0.0,1.0,110
hmc,0.1,0.02,0.4446969696969697,0.0070864898989899,0.002604166666666713,0.003640527543334256,0.002232984316957726,0.005365757009161955,0.4514285714285714,0.4514285714285714,0.002857142857142857,0.05714285714285714,0.0,1.0,110
hmc,0.2,0.0,0.24696969696969695,0.004867424242424249,0.0,0.0030106141355635565,0.0017200319591343545,0.004560925598152752,0.26285714285714284,0.26285714285714284,0.14,0.11428571428571428,0.0,1.0,110
hmc,0.2,0.01,0.34696969696969704,0.006442550505050519,0.0005208333333333037,0.004005150538754072,0.0024082936850968223,0.005872745879249891,0.36,0.36,0.022857142857142857,0.11428571428571428,0.0,1.0,110
hmc,0.2,0.02,0.36818181818181817,0.006644570707070721,0.001388888888888884,0.004137499218763381,0.0025493466996934036,0.006017148272344377,0.37714285714285717,0.37714285714285717,0.002857142857142857,0.11428571428571428,0.0,1.0,110
