version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,0,"['41', '10', '50', '31', '23', '47', '20']",27,7,0.8071428571428572,0.8035714285714286,0.0035714285714285587,2,2,26.55188751220703
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,1,"['45', '3', '1', '2', '37', '8', '19']",27,7,0.8728571428571429,0.8742857142857143,-0.0014285714285714457,0,0,20.16084098815918
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,2,"['38', '46', '15', '11', '53', '33', '40']",27,7,0.7992857142857144,0.7992857142857143,1.1102230246251565e-16,1,1,23.461639404296875
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,3,"['36', '28', '48', '35', '27', '32', '39']",27,7,0.9021428571428571,0.905,-0.0028571428571428914,4,4,33.934799671173096
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,4,"['42', '13', '21', '24', '12', '43']",28,6,0.7949999999999999,0.7975000000000001,-0.0025000000000001688,1,1,24.392691373825073
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,0,"['41', '10', '50', '31', '23', '47', '20']",27,7,0.8035714285714286,0.8035714285714286,0.0,2,2,27.050687551498413
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,1,"['45', '3', '1', '2', '37', '8', '19']",27,7,0.8742857142857143,0.8742857142857143,0.0,0,0,16.87021827697754
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,2,"['38', '46', '15', '11', '53', '33', '40']",27,7,0.7978571428571428,0.7992857142857143,-0.0014285714285714457,0,1,17.019957780838013
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,3,"['36', '28', '48', '35', '27', '32', '39']",27,7,0.9,0.905,-0.0050000000000000044,4,4,24.611900568008423
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,4,"['42', '13', '21', '24', '12', '43']",28,6,0.7916666666666666,0.7975000000000001,-0.005833333333333468,1,1,17.70050024986267
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,0,"['41', '10', '50', '31', '23', '47', '20']",27,7,0.802142857142857,0.8035714285714286,-0.0014285714285715567,2,2,19.870673894882202
