repetitions,calibration_size,action_count,scenario,site_shift,heteroskedastic,selector,joint_simultaneous_validity,selected_risk_validity,selected_nonharm_validity,tta_selection_rate,positive_selection_precision,mean_q,full_set_fallback_rate
5000,10,2,one_beneficial,0.0,False,max_lower,0.9794,0.9942,0.9974,0.2996,0.9913217623497997,1.5207781787035837,0.0
5000,10,3,one_beneficial,0.0,False,max_lower,0.9818,0.9992,0.9996,0.2278,0.9982440737489026,1.6341943722360148,0.0
5000,10,5,one_beneficial,0.0,False,max_lower,0.9794,0.9986,0.9992,0.1558,0.9948652118100129,1.7634277597545158,0.0
5000,10,10,one_beneficial,0.0,False,max_lower,0.9824,0.9996,1.0,0.091,1.0,1.9194961143759275,0.0
5000,15,2,one_beneficial,0.0,False,max_lower,0.9884,0.9982,0.9998,0.2344,0.9991467576791809,1.6231151172413425,0.0
5000,15,3,one_beneficial,0.0,False,max_lower,0.9862,0.9984,1.0,0.1666,1.0,1.7322775195340778,0.0
5000,15,5,one_beneficial,0.0,False,max_lower,0.986,0.999,0.9998,0.108,0.9981481481481481,1.8544070510205846,0.0
5000,15,10,one_beneficial,0.0,False,max_lower,0.9858,0.9996,1.0,0.0606,1.0,2.002086128593821,0.0
5000,20,2,one_beneficial,0.0,False,max_lower,0.9806,0.9958,0.9982,0.335,0.9946268656716418,1.4439360006331612,0.0
5000,20,3,one_beneficial,0.0,False,max_lower,0.9802,0.9978,0.999,0.2436,0.9958949096880131,1.5578567809313222,0.0
5000,20,5,one_beneficial,0.0,False,max_lower,0.9794,0.9982,0.9998,0.1646,0.9987849331713244,1.6963566313439704,0.0
5000,20,10,one_beneficial,0.0,False,max_lower,0.9818,0.9996,1.0,0.0874,1.0,1.8563588157592825,0.0
5000,30,2,one_beneficial,0.0,False,max_lower,0.9792,0.9966,0.9984,0.3396,0.9952885747938751,1.4220474081569023,0.0
5000,30,3,one_beneficial,0.0,False,max_lower,0.98,0.9972,0.9988,0.2496,0.9951923076923077,1.5392205961881311,0.0
5000,30,5,one_beneficial,0.0,False,max_lower,0.982,0.9988,0.9994,0.171,0.9964912280701754,1.668345348806937,0.0
5000,30,10,one_beneficial,0.0,False,max_lower,0.9822,0.9988,0.9996,0.0988,0.9959514170040485,1.834411943609413,0.0
5000,50,2,one_beneficial,0.0,False,max_lower,0.9778,0.9966,0.9984,0.3418,0.9953188999414863,1.4012166057515967,0.0
5000,50,3,one_beneficial,0.0,False,max_lower,0.979,0.9966,0.9996,0.2622,0.9984744469870328,1.518819142372193,0.0
5000,50,5,one_beneficial,0.0,False,max_lower,0.9838,0.9994,0.9996,0.173,0.9976878612716763,1.6538581320021468,0.0
5000,50,10,one_beneficial,0.0,False,max_lower,0.981,0.999,0.9998,0.0952,0.9978991596638656,1.8200717784945075,0.0
5000,100,2,one_beneficial,0.0,False,max_lower,0.9794,0.9956,0.9976,0.3472,0.9930875576036866,1.3892100698969585,0.0
5000,100,3,one_beneficial,0.0,False,max_lower,0.9762,0.9978,0.9994,0.272,0.9977941176470588,1.508005252313677,0.0
5000,100,5,one_beneficial,0.0,False,max_lower,0.9784,0.9974,0.9996,0.1826,0.9978094194961665,1.641457687468117,0.0
5000,100,10,one_beneficial,0.0,False,max_lower,0.9826,0.9996,0.9998,0.0948,0.9978902953586498,1.8088463501968515,0.0
