fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,calibrated_utility_mean_CE,calibrated_utility_ci95,calibrated_utility_sign_probability,bootstrap,random_draws_per_subject_split,probe
2,0,mi,0,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.004579910049758868,"[-0.010057811180843437, -0.0003715100950015657]",0.0121,"{'mean': -0.004579910049758868, 'ci95': [-0.010057811180843437, -0.0003715100950015657], 'sign_probability': 0.0121, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,mi,1,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0029830549241940327,"[-0.009167196604679892, 0.0012855652150500704]",0.1158,"{'mean': -0.0029830549241940327, 'ci95': [-0.009167196604679892, 0.0012855652150500704], 'sign_probability': 0.1158, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,mi,2,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.01708803279100485,"[-0.022683110929965576, -0.011571316890784578]",0.0,"{'mean': -0.01708803279100485, 'ci95': [-0.022683110929965576, -0.011571316890784578], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,mi,3,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.012713458235790969,"[-0.001277256271450224, 0.027282253318754696]",0.9618,"{'mean': 0.012713458235790969, 'ci95': [-0.001277256271450224, 0.027282253318754696], 'sign_probability': 0.9618, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,mi,4,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.012195010319146157,"[0.005491493910923411, 0.019129237751203544]",0.9998,"{'mean': 0.012195010319146157, 'ci95': [0.005491493910923411, 0.019129237751203544], 'sign_probability': 0.9998, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,mi,5,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.011086838422260053,"[0.0008207071691066722, 0.02196781725043519]",0.982,"{'mean': 0.011086838422260053, 'ci95': [0.0008207071691066722, 0.02196781725043519], 'sign_probability': 0.982, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,mi,6,2,False,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.006597189864807453,"[-0.0013109736328456147, 0.014603534442512053]",0.9482,"{'mean': 0.006597189864807453, 'ci95': [-0.0013109736328456147, 0.014603534442512053], 'sign_probability': 0.9482, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,erp,0,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0016463804697378574,"[-0.003794523046526311, 0.0002993629652412577]",0.0509,"{'mean': -0.0016463804697378574, 'ci95': [-0.003794523046526311, 0.0002993629652412577], 'sign_probability': 0.0509, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,erp,1,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.002013758648533828,"[-0.0005253219171018592, 0.0045885397315232725]",0.9386,"{'mean': 0.002013758648533828, 'ci95': [-0.0005253219171018592, 0.0045885397315232725], 'sign_probability': 0.9386, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,erp,2,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0009137640508482146,"[-0.004385057454483268, 0.0026662144579962504]",0.3006,"{'mean': -0.0009137640508482146, 'ci95': [-0.004385057454483268, 0.0026662144579962504], 'sign_probability': 0.3006, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,erp,3,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0030458710670377043,"[-0.006370945458560622, 8.671640199727073e-05]",0.0287,"{'mean': -0.0030458710670377043, 'ci95': [-0.006370945458560622, 8.671640199727073e-05], 'sign_probability': 0.0287, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,erp,4,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.001654666060433824,"[-0.0035227566230497634, 0.00021988931785065727]",0.0415,"{'mean': -0.001654666060433824, 'ci95': [-0.0035227566230497634, 0.00021988931785065727], 'sign_probability': 0.0415, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,erp,5,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.013565728513042245,"[0.0076307308539718816, 0.019671039583850934]",1.0,"{'mean': 0.013565728513042245, 'ci95': [0.0076307308539718816, 0.019671039583850934], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,erp,6,2,False,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0006834710861928619,"[-0.0030012732101257406, 0.0014786735103505325]",0.2726,"{'mean': -0.0006834710861928619, 'ci95': [-0.0030012732101257406, 0.0014786735103505325], 'sign_probability': 0.2726, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,ssvep,0,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.007000687127569971,"[-0.008439903631315313, -0.005486683290250538]",0.0,"{'mean': -0.007000687127569971, 'ci95': [-0.008439903631315313, -0.005486683290250538], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,ssvep,1,1,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.007998638295759232,"[-0.00925079409672096, -0.006763435854317773]",0.0,"{'mean': -0.007998638295759232, 'ci95': [-0.00925079409672096, -0.006763435854317773], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
2,0,ssvep,2,4,True,34,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.036695759275727734,"[-0.04092749469966095, -0.032620612323549805]",0.0,"{'mean': -0.036695759275727734, 'ci95': [-0.04092749469966095, -0.032620612323549805], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100,full_128D_ridge
