run,model,shared_geometry_drift,individual_protected_residual_drift,nonprotected_drift,protected_q_drift_rms
fold-0/seed-0,method,0.028869079309679364,4.695155630638362e-10,0.0,0.018972918391227722
fold-0/seed-0,control,0.008119929406596055,1.4464858344348924e-10,0.0,0.005312134046107531
fold-0/seed-1,method,0.020380212839704655,7.473615275263384e-10,0.0,0.014336800202727318
fold-0/seed-1,control,0.004355059426976216,2.273928252979423e-10,0.0,0.002924943808466196
fold-1/seed-0,method,0.01339709668103751,3.9635742084665787e-10,0.0,0.00941715482622385
fold-1/seed-0,control,0.006199409303421817,1.7486050838797225e-10,0.0,0.003735264064744115
fold-1/seed-1,method,0.5804391830603709,1.622717217522761e-08,0.0,0.3659861385822296
fold-1/seed-1,control,0.011073857784435353,3.528407758551403e-10,0.0,0.00760662229731679
fold-2/seed-0,method,0.013945308824633572,1.143900862113644e-09,0.0,0.009067155420780182
fold-2/seed-0,control,0.010146092941798392,7.898939290127747e-10,0.0,0.005671695340424776
fold-2/seed-1,method,0.026323947583296103,6.004918127453047e-10,0.0,0.016376936808228493
fold-2/seed-1,control,0.03298407590673782,8.340697707971892e-10,0.0,0.022795256227254868
