run,model,alignment_same,alignment_cross,geometry_margin
fold-0/seed-0,method,0.8863709916671118,0.8866955671045516,0.43119699052638477
fold-0/seed-0,control,0.8828301628430685,0.8831434928708606,0.42469151835474706
fold-0/seed-1,method,0.8185808608929316,0.8214480926593145,0.22423423992262947
fold-0/seed-1,control,0.8137205077542199,0.8166437215275235,0.22051474369234508
fold-1/seed-0,method,0.690243675476975,0.688422169122431,0.14644559286534786
fold-1/seed-0,control,0.6861720859176583,0.684338055137131,0.1447114289427797
fold-1/seed-1,method,0.8807888478040695,0.8821907142798106,0.33508438906735843
fold-1/seed-1,control,0.7892865439256033,0.7913343020611339,0.23676965634028116
fold-2/seed-0,method,0.7820591173238225,0.7861776393320825,0.16225210039152038
fold-2/seed-0,control,0.779082130226824,0.7832037301527129,0.16158327874210146
fold-2/seed-1,method,0.7134609165497952,0.7191203377313085,0.1460884879860613
fold-2/seed-1,control,0.7111929196657406,0.7168658743095067,0.14494765467113918
