run,subject,delta,method_BA,control_BA
fold-0/seed-0,1,0.0,0.77,0.77
fold-0/seed-0,10,-0.009999999999999898,0.65,0.6599999999999999
fold-0/seed-0,17,-0.0050000000000000044,0.675,0.68
fold-0/seed-0,28,0.0,0.945,0.945
fold-0/seed-0,3,0.0,0.905,0.905
fold-0/seed-0,45,0.0,0.89,0.89
fold-0/seed-0,48,-0.0050000000000000044,0.635,0.64
fold-0/seed-0,54,0.0,0.54,0.54
fold-0/seed-0,6,0.0,0.79,0.79
fold-0/seed-1,1,0.0,0.755,0.755
fold-0/seed-1,10,0.010000000000000009,0.76,0.75
fold-0/seed-1,17,-0.010000000000000009,0.6799999999999999,0.69
fold-0/seed-1,28,0.0,0.95,0.95
fold-0/seed-1,3,0.0,0.9,0.9
fold-0/seed-1,45,0.0,0.875,0.875
fold-0/seed-1,48,0.0050000000000000044,0.575,0.57
fold-0/seed-1,54,0.0050000000000000044,0.615,0.61
fold-0/seed-1,6,0.010000000000000009,0.83,0.82
fold-1/seed-0,11,0.0,0.615,0.615
fold-1/seed-0,17,-0.0050000000000000044,0.73,0.735
fold-1/seed-0,19,0.0,0.755,0.755
fold-1/seed-0,22,0.0050000000000000044,0.735,0.73
fold-1/seed-0,3,-0.0050000000000000044,0.89,0.895
fold-1/seed-0,38,-0.0050000000000001155,0.7,0.7050000000000001
fold-1/seed-0,40,0.0,0.73,0.73
fold-1/seed-0,50,0.0050000000000000044,0.53,0.525
fold-1/seed-0,7,0.0,0.675,0.675
fold-1/seed-1,11,0.010000000000000009,0.655,0.645
fold-1/seed-1,17,-0.029999999999999916,0.68,0.71
fold-1/seed-1,19,-0.0050000000000000044,0.805,0.81
fold-1/seed-1,22,0.0050000000000000044,0.725,0.72
fold-1/seed-1,3,0.0,0.89,0.89
fold-1/seed-1,38,0.015000000000000013,0.7050000000000001,0.6900000000000001
fold-1/seed-1,40,-0.04499999999999993,0.685,0.73
fold-1/seed-1,50,0.0,0.52,0.52
fold-1/seed-1,7,0.020000000000000018,0.655,0.635
fold-2/seed-0,14,-0.0050000000000000044,0.61,0.615
fold-2/seed-0,16,0.0050000000000000044,0.765,0.76
fold-2/seed-0,17,0.0050000000000000044,0.74,0.735
fold-2/seed-0,25,0.0,0.845,0.845
fold-2/seed-0,30,0.0050000000000000044,0.7,0.695
fold-2/seed-0,49,0.0,0.75,0.75
fold-2/seed-0,5,0.0,0.8600000000000001,0.8600000000000001
fold-2/seed-0,6,0.0,0.8400000000000001,0.8400000000000001
fold-2/seed-0,9,0.0,0.7849999999999999,0.7849999999999999
fold-2/seed-1,14,0.0,0.635,0.635
fold-2/seed-1,16,-0.03499999999999992,0.7250000000000001,0.76
fold-2/seed-1,17,0.009999999999999898,0.6799999999999999,0.67
fold-2/seed-1,25,-0.020000000000000018,0.8049999999999999,0.825
fold-2/seed-1,30,0.0050000000000001155,0.8,0.7949999999999999
fold-2/seed-1,49,0.015000000000000013,0.705,0.69
fold-2/seed-1,5,-0.010000000000000009,0.78,0.79
fold-2/seed-1,6,0.0050000000000001155,0.8300000000000001,0.825
fold-2/seed-1,9,0.0050000000000001155,0.8400000000000001,0.835
