method,fold,seed,subject_id,BA,macro_f1,n_trials,source_model_noadapt_BA,adaptation_delta_BA,negative_transfer,adaptation_time_s,target_trainable_parameters,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used
B0_VANILLA_EEGNET,1,2,2,0.8,0.7992773986350863,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,2,0.75,0.7497747973175859,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,2,0.79,0.7889659330720531,100,0.75,0.040000000000000036,False,1.129408000037074,68514,False,False,False
A2_DUAL_CONTROL,1,2,2,0.68,0.6637242538881883,100,0.74,-0.05999999999999994,True,1.1095840000198223,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,2,0.79,0.7889659330720531,100,0.75,0.040000000000000036,False,1.5408314999658614,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,2,0.73,0.7297567811029927,100,0.74,-0.010000000000000009,True,1.052066800009925,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,2,0.72,0.719551282051282,100,0.75,-0.030000000000000027,True,1.0742384999757633,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,2,0.76,0.7596153846153846,100,0.75,0.010000000000000009,False,1.1170659000054002,26146,False,False,False
B0_VANILLA_EEGNET,1,2,14,0.78,0.779205138498595,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,14,0.8,0.797979797979798,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,14,0.76,0.7575757575757576,100,0.8,-0.040000000000000036,True,1.0514254000154324,68514,False,False,False
A2_DUAL_CONTROL,1,2,14,0.77,0.769792813532179,100,0.79,-0.020000000000000018,True,1.0237924000248313,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,14,0.74,0.7348021215830274,100,0.76,-0.020000000000000018,True,1.509700900001917,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,14,0.76,0.7575757575757576,100,0.77,-0.010000000000000009,True,1.0801343999919482,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,14,0.74,0.7348021215830274,100,0.78,-0.040000000000000036,True,1.0590022999676876,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,14,0.74,0.7362012987012987,100,0.76,-0.020000000000000018,True,1.0189894999493845,26146,False,False,False
B0_VANILLA_EEGNET,1,2,34,0.56,0.5452666391070691,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,34,0.69,0.6807743795695603,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,34,0.77,0.769792813532179,100,0.69,0.08000000000000007,False,1.065009200014174,68514,False,False,False
A2_DUAL_CONTROL,1,2,34,0.6599999999999999,0.6510673234811166,100,0.68,-0.02000000000000013,True,1.0884936000220478,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,34,0.6599999999999999,0.6594551282051282,100,0.63,0.029999999999999916,False,1.5781789000029676,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,34,0.6799999999999999,0.6794871794871795,100,0.64,0.039999999999999925,False,1.0234789999667555,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,34,0.6799999999999999,0.6788438378161381,100,0.6699999999999999,0.010000000000000009,False,1.0922728999867104,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,34,0.65,0.6457131288591963,100,0.63,0.020000000000000018,False,1.0485174999921583,26146,False,False,False
B0_VANILLA_EEGNET,1,2,40,0.87,0.8693598633303186,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,40,0.8,0.7916666666666667,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,40,0.81,0.8028841166096068,100,0.8,0.010000000000000009,False,1.0668843999737874,68514,False,False,False
A2_DUAL_CONTROL,1,2,40,0.68,0.6604414261460102,100,0.78,-0.09999999999999998,True,1.1213876000256278,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,40,0.8,0.7960016319869441,100,0.78,0.020000000000000018,False,1.5093836999731138,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,40,0.72,0.6961805555555556,100,0.72,0.0,False,1.0181802000151947,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,40,0.72,0.6961805555555556,100,0.75,-0.030000000000000027,True,1.079595600022003,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,40,0.8,0.7933030177759405,100,0.78,0.020000000000000018,False,1.121050599962473,26146,False,False,False
B0_VANILLA_EEGNET,1,2,43,0.8999999999999999,0.8998397435897436,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,43,0.91,0.90999099909991,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,43,0.87,0.8698828946051447,100,0.91,-0.040000000000000036,True,1.0480465000146069,68514,False,False,False
A2_DUAL_CONTROL,1,2,43,0.9299999999999999,0.9296553110240177,100,0.9199999999999999,0.010000000000000009,False,1.0884686000063084,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,43,0.9199999999999999,0.9198717948717949,100,0.89,0.029999999999999916,False,1.5683159999898635,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,43,0.88,0.8799519807923168,100,0.91,-0.030000000000000027,True,1.117535199970007,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,43,0.89,0.8899889988998899,100,0.91,-0.020000000000000018,True,1.0522998999804258,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,43,0.9,0.8999599839935974,100,0.89,0.010000000000000009,False,0.982039500027895,26146,False,False,False
B0_VANILLA_EEGNET,1,2,44,0.7,0.6744791666666667,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,44,0.81,0.8028841166096068,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,44,0.89,0.8886526976414617,100,0.81,0.07999999999999996,False,1.0520366000127979,68514,False,False,False
A2_DUAL_CONTROL,1,2,44,0.85,0.8474214220323466,100,0.8200000000000001,0.029999999999999916,False,1.0932255000225268,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,44,0.79,0.7874278773155178,100,0.76,0.030000000000000027,False,1.587293500022497,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,44,0.74,0.7362012987012987,100,0.77,-0.030000000000000027,True,1.018740199971944,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,44,0.78,0.7767857142857143,100,0.78,0.0,False,1.0785993000026792,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,44,0.78,0.7756017951856384,100,0.76,0.020000000000000018,False,1.0591724999831058,26146,False,False,False
B0_VANILLA_EEGNET,1,2,48,0.69,0.6874684948079444,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,48,0.65,0.6439833180754755,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,48,0.63,0.6189887756152817,100,0.65,-0.020000000000000018,True,1.0923577999928966,68514,False,False,False
A2_DUAL_CONTROL,1,2,48,0.6799999999999999,0.6715927750410509,100,0.6799999999999999,0.0,False,1.0239791999920271,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,48,0.7,0.6921182266009853,100,0.65,0.04999999999999993,False,1.514869100006763,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,48,0.69,0.6846709388668497,100,0.69,0.0,False,1.0253909999737516,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,48,0.67,0.6659580929243851,100,0.69,-0.019999999999999907,True,1.0763204999966547,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,48,0.65,0.6439833180754755,100,0.65,0.0,False,1.0266690999851562,26146,False,False,False
B0_VANILLA_EEGNET,1,2,50,0.7,0.6998799519807923,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,1,2,50,0.5800000000000001,0.5586380832282472,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,1,2,50,0.62,0.6193910256410255,100,0.5800000000000001,0.039999999999999925,False,1.0210608000052162,68514,False,False,False
A2_DUAL_CONTROL,1,2,50,0.5,0.3503118503118503,100,0.56,-0.06000000000000005,True,1.1517993999877945,26146,False,False,False
A6_PUD_ALL_ADAPT,1,2,50,0.53,0.4456893501592169,100,0.58,-0.04999999999999993,True,1.5077023999765515,52292,False,False,False
A7_IDENTITY_PROTECTED,1,2,50,0.52,0.40476190476190477,100,0.5700000000000001,-0.050000000000000044,True,1.051767299999483,26146,False,False,False
A8_RANDOM_PROTECTED,1,2,50,0.51,0.4221016629319495,100,0.56,-0.050000000000000044,True,1.130023000005167,26146,False,False,False
A10_FULL_PUD_FREEZE,1,2,50,0.53,0.4725620020199753,100,0.58,-0.04999999999999993,True,1.0996782999718562,26146,False,False,False
