backbone,method,lambda,fold,seed,identity_suppression_vs_ERM,BA_delta_vs_ERM,F1_delta_vs_ERM,ERM_identity,identity_symmetric,ERM_BA,BA
eegnet,CORAL,0.01,0,0,-0.006050150356700798,0.011111111111111183,0.01171676988182857,0.0149851436799108,0.0210352940366116,0.8216666666666667,0.8327777777777778
eegnet,CORAL,0.01,0,1,0.006341894034402499,-0.011666666666666603,-0.01246012637516225,0.0279615186708293,0.0216196246364268,0.8077777777777777,0.7961111111111111
eegnet,CORAL,0.01,0,2,0.016418423806462,-0.02444444444444449,-0.02405728585974376,0.0339361312023842,0.0175177073959222,0.8155555555555556,0.7911111111111111
eegnet,CORAL,0.01,1,0,-0.0008714074703233023,0.0006249999999999867,0.0006721067873728392,0.0214626851787187,0.022334092649042,0.78625,0.786875
eegnet,CORAL,0.01,1,1,-0.0012746501735648001,0.00187499999999996,0.0018252275353060066,0.0299999919759299,0.0312746421494947,0.786875,0.78875
eegnet,CORAL,0.01,1,2,-0.0008818934813134977,0.005624999999999991,0.005884416271941695,0.0380175577035044,0.0388994511848179,0.785,0.790625
eegnet,CORAL,0.01,2,0,-0.0005253889738730012,-0.004375000000000018,-0.004509717181222728,0.0173904189313633,0.0179158079052363,0.790625,0.78625
eegnet,CORAL,0.01,2,1,-0.0024837660340804,0.005624999999999991,0.006658505618467703,0.0257520790797591,0.0282358451138395,0.786875,0.7925
eegnet,CORAL,0.01,2,2,0.0061537274026965995,-0.012500000000000067,-0.012675576739042738,0.02570728800386,0.0195535606011634,0.790625,0.778125
eegnet,CORAL,0.01,3,0,-0.0016351222032855994,-0.0012499999999999734,-0.0014220609306597742,0.0259790285859415,0.0276141507892271,0.7752754103535353,0.7740254103535353
eegnet,CORAL,0.01,3,1,-0.002063831207632899,0.0,-2.237427498585909e-05,0.0379865848331022,0.0400504160407351,0.7771109532828283,0.7771109532828283
eegnet,CORAL,0.01,3,2,0.003026375877073901,-0.007487373737373626,-0.009287260011436982,0.0335452436768146,0.0305188677997407,0.7815648674242424,0.7740774936868687
eegnet,CORAL,0.01,4,0,0.005839168398394198,-0.007499999999999951,-0.007616301212553411,0.0276108733125572,0.021771704914163,0.771875,0.764375
eegnet,CORAL,0.01,4,1,-0.004945808994989701,0.00562499999999988,0.006098083989587111,0.018025370067594,0.0229711790625837,0.7781250000000001,0.78375
eegnet,CORAL,0.01,4,2,-0.0007761629197665029,0.0031250000000000444,0.00302450548333677,0.0217407729651899,0.0225169358849564,0.77125,0.774375
eegnet,CORAL,0.1,0,0,-0.0184775105347273,0.007222222222222241,0.007209610562541879,0.0149851436799108,0.0334626542146381,0.8216666666666667,0.8288888888888889
eegnet,CORAL,0.1,0,1,0.006468364464292501,-0.0038888888888888307,-0.004554574607654849,0.0279615186708293,0.0214931542065368,0.8077777777777777,0.8038888888888889
eegnet,CORAL,0.1,0,2,0.013377987931390202,-0.021666666666666723,-0.021178899370095206,0.0339361312023842,0.020558143270994,0.8155555555555556,0.7938888888888889
eegnet,CORAL,0.1,1,0,-0.0134880210644381,0.004375000000000018,0.004120694725927909,0.0214626851787187,0.0349507062431568,0.78625,0.790625
eegnet,CORAL,0.1,1,1,-0.007563088196532997,-0.0012499999999999734,-0.0013758203508412725,0.0299999919759299,0.0375630801724629,0.786875,0.785625
eegnet,CORAL,0.1,1,2,0.0029044012554427026,0.0031249999999999334,0.0034538791282693326,0.0380175577035044,0.0351131564480617,0.785,0.788125
eegnet,CORAL,0.1,2,0,-0.003251382672224301,-0.0025000000000000577,-0.00171514262298178,0.0173904189313633,0.0206418016035876,0.790625,0.788125
eegnet,CORAL,0.1,2,1,-0.007056142120257798,0.0050000000000000044,0.005477314203098715,0.0257520790797591,0.0328082212000169,0.786875,0.791875
eegnet,CORAL,0.1,2,2,-0.009756174750646,-0.0025000000000000577,-0.0024172502397112883,0.02570728800386,0.035463462754506,0.790625,0.788125
eegnet,CORAL,0.1,3,0,-0.0172000989785482,0.00943339646464647,0.010049042589032164,0.0259790285859415,0.0431791275644897,0.7752754103535353,0.7847088068181818
eegnet,CORAL,0.1,3,1,-0.001935860309175197,0.0019081439393938693,-0.0008230116581193769,0.0379865848331022,0.0399224451422774,0.7771109532828283,0.7790190972222222
eegnet,CORAL,0.1,3,2,-0.0079689990040257,-2.6041666666642982e-05,-0.00030886189764689487,0.0335452436768146,0.0415142426808403,0.7815648674242424,0.7815388257575757
eegnet,CORAL,0.1,4,0,0.0003313716738501983,-0.010000000000000009,-0.009634379195497034,0.0276108733125572,0.027279501638707,0.771875,0.761875
eegnet,CORAL,0.1,4,1,-0.0039117882709609995,0.0031249999999999334,0.003218896232445978,0.018025370067594,0.021937158338555,0.7781250000000001,0.78125
eegnet,CORAL,0.1,4,2,-0.003963966870987701,-0.012499999999999956,-0.012710536393277794,0.0217407729651899,0.0257047398361776,0.77125,0.75875
eegnet,CORAL,1.0,0,0,-0.011863498100441999,0.0011111111111111738,0.0010889068771375854,0.0149851436799108,0.0268486417803528,0.8216666666666667,0.8227777777777778
eegnet,CORAL,1.0,0,1,-0.008285473799876701,0.0011111111111110628,0.0004926383072811902,0.0279615186708293,0.036246992470706,0.8077777777777777,0.8088888888888888
eegnet,CORAL,1.0,0,2,0.003730402542840801,0.005555555555555536,0.005865360425805322,0.0339361312023842,0.0302057286595434,0.8155555555555556,0.8211111111111111
eegnet,CORAL,1.0,1,0,-0.0108566578259395,0.0031249999999999334,0.002708027153321413,0.0214626851787187,0.0323193430046582,0.78625,0.7893749999999999
eegnet,CORAL,1.0,1,1,-0.010681062444833498,0.004375000000000018,0.004719088208856359,0.0299999919759299,0.0406810544207634,0.786875,0.79125
eegnet,CORAL,1.0,1,2,0.003014105441311102,0.004374999999999907,0.004967680304643118,0.0380175577035044,0.0350034522621933,0.785,0.7893749999999999
eegnet,CORAL,1.0,2,0,-0.005445746191635299,-0.0012499999999999734,2.4665807080270774e-05,0.0173904189313633,0.0228361651229986,0.790625,0.789375
eegnet,CORAL,1.0,2,1,-0.010529933874614601,-0.00187499999999996,-0.0015655199996749136,0.0257520790797591,0.0362820129543737,0.786875,0.785
eegnet,CORAL,1.0,2,2,-0.011151110273303896,-0.010000000000000009,-0.009937959185001177,0.02570728800386,0.0368583982771639,0.790625,0.780625
eegnet,CORAL,1.0,3,0,-0.0131432684392843,0.005059185606060668,0.007810886241535475,0.0259790285859415,0.0391222970252258,0.7752754103535353,0.780334595959596
eegnet,CORAL,1.0,3,1,-0.0033529982000243957,0.005019728535353485,0.0018726974055269796,0.0379865848331022,0.0413395830331266,0.7771109532828283,0.7821306818181818
eegnet,CORAL,1.0,3,2,-0.0043794409056441,-0.006289457070706939,-0.007055859635444417,0.0335452436768146,0.0379246845824587,0.7815648674242424,0.7752754103535354
eegnet,CORAL,1.0,4,0,0.0052596265666007,0.0,0.00015769612735772043,0.0276108733125572,0.0223512467459565,0.771875,0.771875
eegnet,CORAL,1.0,4,1,-0.013370196333657498,-0.0006250000000000977,-0.00126966568452902,0.018025370067594,0.0313955664012515,0.7781250000000001,0.7775
eegnet,CORAL,1.0,4,2,-0.0022306697296672028,-0.00187499999999996,-0.0018593927333613314,0.0217407729651899,0.0239714426948571,0.77125,0.769375
eegnet,DANN,0.01,0,0,-0.0001958089290350993,-0.02833333333333332,-0.02846199896542112,0.0149851436799108,0.0151809526089459,0.8216666666666667,0.7933333333333333
eegnet,DANN,0.01,0,1,0.0127968795899185,0.004444444444444473,0.004634229142801205,0.0279615186708293,0.0151646390809108,0.8077777777777777,0.8122222222222222
eegnet,DANN,0.01,0,2,0.0174515941166122,0.0,0.0005258389073915515,0.0339361312023842,0.016484537085772,0.8155555555555556,0.8155555555555556
eegnet,DANN,0.01,1,0,0.0025964769059496975,0.00187499999999996,0.0009426337110134408,0.0214626851787187,0.018866208272769,0.78625,0.788125
eegnet,DANN,0.01,1,1,0.0114511357537781,0.0006249999999999867,0.0006323492496135286,0.0299999919759299,0.0185488562221518,0.786875,0.7875
eegnet,DANN,0.01,1,2,0.0238672938604243,0.0024999999999999467,0.002724291536674084,0.0380175577035044,0.0141502638430801,0.785,0.7875
