method,lambda,mean_identity_suppression,identity_suppression_CI_low,identity_suppression_CI_high,meaningful_threshold,meaningful_identity_reduction,mean_BA_delta,BA_delta_CI_low,BA_delta_CI_high,counterexample
CORAL,0.01,0.0010847605135665796,-0.0014738508822099003,0.004892297164491164,0.05,False,-0.002374158249158246,-0.008179734848484872,0.002139004629629636,NONE
CORAL,0.1,-0.004766060496503246,-0.009233045995521605,0.00039201243197389075,0.05,False,-0.001342855639730652,-0.0068012981376262775,0.0030495120475589215,NONE
CORAL,1.0,-0.006219061437878026,-0.009325148378430324,-0.0026247720877037462,0.05,False,0.0005211489898989896,-0.0026666995475589173,0.0032618871001683144,NONE
DANN,0.01,0.010505897229449704,0.0068658109453591624,0.014272535429457908,0.05,False,-0.002593066077441075,-0.008134952388468012,0.0007499999999999766,NONE
DANN,0.1,0.012876548413760786,0.009170758505180043,0.016596087206167492,0.05,False,-0.0024896359427609336,-0.008003702388468,0.0020002314814814796,NONE
DANN,1.0,0.009423983963462768,0.004884680397115388,0.014150563445806083,0.05,False,-0.015205860690235684,-0.026525034196127936,-0.004907463962542054,NONE
MMD,0.01,0.0025773184512910136,-0.0006900387798614164,0.006716771742596345,0.05,False,-0.0015572390572390496,-0.006666307607323218,0.0032297624684343505,NONE
MMD,0.1,0.00296014794087434,-0.0002062513989678271,0.007026528080450423,0.05,False,-0.002060658670033688,-0.004584280303030308,0.000513542981902354,NONE
MMD,1.0,0.001735000579876953,-0.0038513204575506507,0.006929502836256015,0.05,False,-0.0011658249158249163,-0.005994531249999985,0.0032916666666666485,NONE
