backbone,fold,seed,method,lambda,best_epoch,epochs_executed,best_validation_BA,best_validation_NLL,elapsed_seconds,checkpoint_sha256,initial_shared_state_sha256,epoch0_minibatch_order_sha256
eegnet,0,0,ERM,0.0,11,17,0.7831250000000001,0.42314621806144714,36.56066346168518,4747a96e6faea1bc2cdb32aeb12f0c2f142e3307832900dd51011170a9b2f4fb,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,DANN,0.01,6,12,0.7775000000000001,0.43861743807792664,24.559792041778564,3dab1a3a5fa00553b4815c7ae589e43720720b37cd079027786761d10e3cf30f,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,DANN,0.1,20,26,0.7925,0.4187897741794586,51.43380689620972,3cee1912693e4c97685a9ff832160dd7b929c41388f8ea7dbffdb1f88e1e65ea,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,DANN,1.0,3,10,0.765,0.48338645696640015,19.775139093399048,29f21e6d1f10c3249b8b8cd131a59cb14fc02cc8503895152f7450193f6c8d87,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,CORAL,0.01,17,23,0.786875,0.41371145844459534,82.59474158287048,4a05a70be08189a15d9c91b8a9ab7013868a4ca576ec151330c6c1ee8c959177,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,CORAL,0.1,20,26,0.788125,0.40700763463974,91.42548441886902,79b25f4457dabc489e074705bf9ebc6b159f395edd12b329c37aaeb3c30472be,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,CORAL,1.0,11,17,0.785625,0.42725083231925964,59.738030672073364,7274ecb47656e7d30a32f2c2af078f740dbeec3032ff46a0c8ed75fe86d6dc3e,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,MMD,0.01,17,23,0.785,0.4164476692676544,52.97348165512085,eabb334d1ddca1979ca6a32036377e4378df315fc6cd9fed5af70ddb4e450ef5,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,MMD,0.1,11,17,0.7843749999999999,0.4262736439704895,39.16741943359375,44e5d596e611457c5e57f4b5d2f037f004ed4c42ed989ad2e02831ab14b219da,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,0,MMD,1.0,8,14,0.77625,0.444091260433197,33.85482740402222,f9a17f30afae3bf22ed21e4103c0ab3a84d4d3df285132574ae3b70ff954d18f,b26cccd296a8d379d414ca846fd36644c3a3448c8455d9ac0ea5ac16c85390aa,f766ea6d447dcc3fa346d3b8d58cd080ec75c7ebe810c5ac125b5c21571aa692
eegnet,0,1,ERM,0.0,18,24,0.7875000000000001,0.4022490382194519,142.92251992225647,fcf2f99d46d3d3bfc04906f718c87bb1fc6b06fe6aa521f2d782cadd5b9e6aad,32439ab9aac2ba1ef4c1e43da6ae9dcaa9e325f5b1ba2ec9e6310cb193f6900b,0f5c3d3d19bf8eef9c85f326c43a78162d44b32cb6baa5eb571cefb43a76d346
eegnet,0,1,DANN,0.01,10,16,0.783125,0.41429388523101807,95.54561686515808,699631f811bfc14aa8b08ec0aee86e45d0ab3508371d98f1bcdc9ba1139a2e05,32439ab9aac2ba1ef4c1e43da6ae9dcaa9e325f5b1ba2ec9e6310cb193f6900b,0f5c3d3d19bf8eef9c85f326c43a78162d44b32cb6baa5eb571cefb43a76d346
eegnet,0,1,DANN,0.1,18,24,0.7849999999999999,0.4115021526813507,138.6966245174408,cd34f45d19284acb2e9904fe09b6d3a72dd834a20c334198f0dc52d7839bbb39,32439ab9aac2ba1ef4c1e43da6ae9dcaa9e325f5b1ba2ec9e6310cb193f6900b,0f5c3d3d19bf8eef9c85f326c43a78162d44b32cb6baa5eb571cefb43a76d346
eegnet,0,1,DANN,1.0,13,19,0.783125,0.4446619153022766,107.88980317115784,f75b2965207271ba2f672d2cca399ecfc400236857900451664be243b48812c4,32439ab9aac2ba1ef4c1e43da6ae9dcaa9e325f5b1ba2ec9e6310cb193f6900b,0f5c3d3d19bf8eef9c85f326c43a78162d44b32cb6baa5eb571cefb43a76d346
eegnet,0,1,CORAL,0.01,11,17,0.783125,0.4155326187610626,176.16570281982422,650de42acb0d5c8edd6834d72d1cff93e3634df0a36d51398cb39f45c12f4b06,32439ab9aac2ba1ef4c1e43da6ae9dcaa9e325f5b1ba2ec9e6310cb193f6900b,0f5c3d3d19bf8eef9c85f326c43a78162d44b32cb6baa5eb571cefb43a76d346
eegnet,0,1,CORAL,0.1,11,17,0.78625,0.41530829668045044,148.31762433052063,986503eb68617ce5be7575ce475423821a68a60652450a2543ffe06e14761800,32439ab9aac2ba1ef4c1e43da6ae9dcaa9e325f5b1ba2ec9e6310cb193f6900b,0f5c3d3d19bf8eef9c85f326c43a78162d44b32cb6baa5eb571cefb43a76d346
eegnet,0,1,CORAL,1.0,18,24,0.7862500000000001,0.4142001271247864,237.05663990974426,180440520ef1652efd7d3460d142901eb39326c4565b966053417dfd03784898,32439ab9aac2ba1ef4c1e43da6ae9dcaa9e325f5b1ba2ec9e6310cb193f6900b,0f5c3d3d19bf8eef9c85f326c43a78162d44b32cb6baa5eb571cefb43a76d346
