backbone,method,lambda,fold,seed,identity_S1_to_S2,identity_S2_to_S1,identity_symmetric,identity_accuracy_S1_to_S2,identity_accuracy_S2_to_S1,identity_accuracy_symmetric,chance_accuracy,chance_normalized_identity,subject_count,all_source_identity_S1_to_S2,all_source_identity_S2_to_S1,all_source_identity_symmetric,all_source_identity_accuracy_S1_to_S2,all_source_identity_accuracy_S2_to_S1,all_source_identity_accuracy_symmetric,all_source_chance_accuracy,all_source_chance_normalized_identity,all_source_subject_count,primary_scope,probe_rule,identity_accuracy
eegnet,ERM,0.0,0,0,0.0175572044497642,0.0124130829100574,0.0149851436799108,0.0915148659966499,0.1129501675041876,0.1022325167504187,0.0416666666666666,0.0631991479134804,24,0.0175572044497642,0.0124130829100574,0.0149851436799108,0.0915148659966499,0.1129501675041876,0.1022325167504187,0.0416666666666666,0.0631991479134804,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.1022325167504187
eegnet,DANN,0.01,0,0,0.016155707608751,0.0142061976091407,0.0151809526089459,0.0777271775544388,0.092931323283082,0.0853292504187604,0.0416666666666666,0.0455609569587065,24,0.016155707608751,0.0142061976091407,0.0151809526089459,0.0777271775544388,0.092931323283082,0.0853292504187604,0.0416666666666666,0.0455609569587065,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.0853292504187604
eegnet,DANN,0.1,0,0,0.0116947266202211,0.0118924178619215,0.0117935722410713,0.0783741624790619,0.0860521356783919,0.0822131490787269,0.0416666666666666,0.0423093729517151,24,0.0116947266202211,0.0118924178619215,0.0117935722410713,0.0783741624790619,0.0860521356783919,0.0822131490787269,0.0416666666666666,0.0423093729517151,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.0822131490787269
eegnet,DANN,1.0,0,0,0.0204839767706199,0.0183842436249435,0.0194341101977817,0.1029543551088777,0.1164970686767169,0.1097257118927973,0.0416666666666666,0.0710181341490059,24,0.0204839767706199,0.0183842436249435,0.0194341101977817,0.1029543551088777,0.1164970686767169,0.1097257118927973,0.0416666666666666,0.0710181341490059,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.1097257118927973
eegnet,CORAL,0.01,0,0,0.0221770238953431,0.0198935641778801,0.0210352940366116,0.0904658710217755,0.1212992043551088,0.1058825376884422,0.0416666666666666,0.0670078654140266,24,0.0221770238953431,0.0198935641778801,0.0210352940366116,0.0904658710217755,0.1212992043551088,0.1058825376884422,0.0416666666666666,0.0670078654140266,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.1058825376884422
eegnet,CORAL,0.1,0,0,0.0337327556063975,0.0331925528228786,0.0334626542146381,0.1181899078726968,0.1481878140703517,0.1331888609715243,0.0416666666666666,0.0955014201441992,24,0.0337327556063975,0.0331925528228786,0.0334626542146381,0.1181899078726968,0.1481878140703517,0.1331888609715243,0.0416666666666666,0.0955014201441992,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.1331888609715243
eegnet,CORAL,1.0,0,0,0.0272776916366774,0.0264195919240282,0.0268486417803528,0.1119074539363484,0.1294074539363484,0.1206574539363484,0.0416666666666666,0.0824251693248853,24,0.0272776916366774,0.0264195919240282,0.0268486417803528,0.1119074539363484,0.1294074539363484,0.1206574539363484,0.0416666666666666,0.0824251693248853,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.1206574539363484
eegnet,MMD,0.01,0,0,0.0202341633846967,0.0177936314227804,0.0190138974037386,0.0860856365159128,0.1108793969849246,0.0984825167504187,0.0416666666666666,0.0592861044352195,24,0.0202341633846967,0.0177936314227804,0.0190138974037386,0.0860856365159128,0.1108793969849246,0.0984825167504187,0.0416666666666666,0.0592861044352195,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.0984825167504187
eegnet,MMD,0.1,0,0,0.0185061897423182,0.0148221815722551,0.0166641856572866,0.0854794807370184,0.1183752093802344,0.1019273450586264,0.0416666666666666,0.0628807078872624,24,0.0185061897423182,0.0148221815722551,0.0166641856572866,0.0854794807370184,0.1183752093802344,0.1019273450586264,0.0416666666666666,0.0628807078872624,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.1019273450586264
eegnet,MMD,1.0,0,0,0.015709102959204,0.0095387722821045,0.0126239376206542,0.0941949329983249,0.1037761725293132,0.0989855527638191,0.0416666666666666,0.0598110115796373,24,0.015709102959204,0.0095387722821045,0.0126239376206542,0.0941949329983249,0.1037761725293132,0.0989855527638191,0.0416666666666666,0.0598110115796373,24,model_fit_domains,exact_Exp3_ridge_alpha_1_symmetric_cross_session,0.0989855527638191
