fold,seed,block,block_rank,persistent_BA_harm,random_control_id,random_BA_harm,specific_delta,control_seed
0,0,P01_04,4,0.0072222222222221915,0,0.007222222222222204,-1.214306433183765e-17,1442519125
0,0,P01_04,4,0.0072222222222221915,1,0.04999999999999998,-0.04277777777777779,3999569055
0,0,P01_04,4,0.0072222222222221915,2,0.010555555555555504,-0.0033333333333333123,3950638811
0,0,P01_04,4,0.0072222222222221915,3,0.00499999999999998,0.0022222222222222114,3210800785
0,0,P01_04,4,0.0072222222222221915,4,0.007777777777777772,-0.0005555555555555808,3108146445
0,0,P01_04,4,0.0072222222222221915,5,0.0016666666666666557,0.005555555555555536,4072550468
0,0,P01_04,4,0.0072222222222221915,6,0.00777777777777776,-0.0005555555555555687,1302813359
0,0,P01_04,4,0.0072222222222221915,7,0.035555555555555535,-0.028333333333333342,3396110663
0,0,P01_04,4,0.0072222222222221915,8,0.017777777777777743,-0.01055555555555555,1859520419
0,0,P01_04,4,0.0072222222222221915,9,0.01722222222222221,-0.01000000000000002,2725702069
0,0,P01_04,4,0.0072222222222221915,10,0.013888888888888852,-0.00666666666666666,2960546233
0,0,P01_04,4,0.0072222222222221915,11,0.0033333333333332993,0.0038888888888888922,2159834726
0,0,P01_04,4,0.0072222222222221915,12,0.0022222222222221997,0.004999999999999992,3635057741
0,0,P01_04,4,0.0072222222222221915,13,0.014999999999999989,-0.0077777777777777975,575530527
0,0,P01_04,4,0.0072222222222221915,14,0.00499999999999998,0.0022222222222222114,3273199227
0,0,P01_04,4,0.0072222222222221915,15,0.004444444444444449,0.0027777777777777428,3203834802
0,0,P01_04,4,0.0072222222222221915,16,0.013333333333333308,-0.006111111111111117,3446653496
0,0,P01_04,4,0.0072222222222221915,17,0.004444444444444449,0.0027777777777777428,3454001497
0,0,P01_04,4,0.0072222222222221915,18,0.0005555555555555561,0.006666666666666635,2419999131
0,0,P01_04,4,0.0072222222222221915,19,0.0011111111111111243,0.006111111111111067,1542792091
0,0,P01_04,4,0.0072222222222221915,20,0.004999999999999992,0.0022222222222221992,1043994720
0,0,P01_04,4,0.0072222222222221915,21,0.001666666666666668,0.005555555555555524,859955900
0,0,P01_04,4,0.0072222222222221915,22,0.012222222222222209,-0.0050000000000000175,1007081040
0,0,P01_04,4,0.0072222222222221915,23,0.016666666666666656,-0.009444444444444464,1770524233
0,0,P01_04,4,0.0072222222222221915,24,0.01055555555555554,-0.0033333333333333487,263799669
0,0,P01_04,4,0.0072222222222221915,25,0.004444444444444424,0.002777777777777768,1676318629
0,0,P01_04,4,0.0072222222222221915,26,0.005555555555555536,0.0016666666666666557,3915636016
0,0,P01_04,4,0.0072222222222221915,27,0.018333333333333313,-0.01111111111111112,4268091060
0,0,P01_04,4,0.0072222222222221915,28,0.003333333333333336,0.0038888888888888554,4289231943
0,0,P01_04,4,0.0072222222222221915,29,0.0161111111111111,-0.008888888888888908,3212447826
0,0,P01_04,4,0.0072222222222221915,30,0.0055555555555555115,0.00166666666666668,309969241
0,0,P01_04,4,0.0072222222222221915,31,0.004444444444444436,0.0027777777777777558,4183089289
0,0,P01_04,4,0.0072222222222221915,32,-0.0011111111111111367,0.008333333333333328,1169715713
0,0,P01_04,4,0.0072222222222221915,33,0.00499999999999998,0.0022222222222222114,2004872797
0,0,P01_04,4,0.0072222222222221915,34,0.0016666666666666557,0.005555555555555536,1740965506
0,0,P01_04,4,0.0072222222222221915,35,0.007222222222222204,-1.214306433183765e-17,192332076
0,0,P01_04,4,0.0072222222222221915,36,0.007777777777777772,-0.0005555555555555808,1462656791
0,0,P01_04,4,0.0072222222222221915,37,0.024444444444444418,-0.017222222222222226,2023657766
0,0,P01_04,4,0.0072222222222221915,38,0.014444444444444407,-0.007222222222222216,2254971217
0,0,P01_04,4,0.0072222222222221915,39,-0.0011111111111111243,0.008333333333333316,3940627610
