backbone,method,lambda,fold,seed,subject_id,BA,macro_f1,session,selected_by_source_validation
eegnet,ERM,0.0,0,0,1,0.945,0.944998624965624,S3,True
eegnet,ERM,0.0,0,0,3,0.895,0.8949973749343734,S3,True
eegnet,ERM,0.0,0,0,5,0.7549999999999999,0.7539604830408475,S3,True
eegnet,ERM,0.0,0,0,16,0.54,0.5332792207792207,S3,True
eegnet,ERM,0.0,0,0,19,0.95,0.95,S3,True
eegnet,ERM,0.0,0,0,21,0.835,0.8348968105065666,S3,True
eegnet,ERM,0.0,0,0,28,0.6499999999999999,0.6494391025641025,S3,True
eegnet,ERM,0.0,0,0,33,0.955,0.954971857410882,S3,True
eegnet,ERM,0.0,0,0,37,0.87,0.8697916666666667,S3,True
eegnet,DANN,0.01,0,0,1,0.915,0.9149978749468736,S3,False
eegnet,DANN,0.01,0,0,3,0.855,0.854967367657723,S3,False
eegnet,DANN,0.01,0,0,5,0.755,0.7545028683083244,S3,False
eegnet,DANN,0.01,0,0,16,0.4599999999999999,0.4521103896103896,S3,False
eegnet,DANN,0.01,0,0,19,0.96,0.95999599959996,S3,False
eegnet,DANN,0.01,0,0,21,0.8200000000000001,0.81998199819982,S3,False
eegnet,DANN,0.01,0,0,28,0.625,0.6238621831038893,S3,False
eegnet,DANN,0.01,0,0,33,0.935,0.9349853717086344,S3,False
eegnet,DANN,0.01,0,0,37,0.815,0.8147730970438787,S3,False
eegnet,DANN,0.1,0,0,1,0.93,0.9299719887955182,S3,True
eegnet,DANN,0.1,0,0,3,0.875,0.8746207277012964,S3,True
eegnet,DANN,0.1,0,0,5,0.7649999999999999,0.7642869680784372,S3,True
eegnet,DANN,0.1,0,0,16,0.5599999999999999,0.5512035903712771,S3,True
eegnet,DANN,0.1,0,0,19,0.95,0.9499799919967988,S3,True
eegnet,DANN,0.1,0,0,21,0.865,0.8649155722326454,S3,True
eegnet,DANN,0.1,0,0,28,0.685,0.6849291090495362,S3,True
eegnet,DANN,0.1,0,0,33,0.96,0.959983993597439,S3,True
