backbone,method,lambda,fold,seed,direction_id,direction_rank,source_pool_index,persistence,geometry_strength,rank,identity_score,identity_full,identity_erased,D_finite,outcome_CE_effect,outcome_BA_effect,outcome_F1_effect,outcome_subject_count,direction_source_only,outcome_used_to_define_direction,D_finite_definition
eegnet,ERM,0.0,0,0,0,1,0,0.7850447289927086,1.1795795340739932,1,0.0086515690892989,0.0149851436799108,0.0063335745906119,0.0072418975970275,-0.0001784696724163,-0.0005555555555555,-0.0005921155403829,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,0,1,2,1,0.5796546736952068,0.0401824327731235,1,0.0041685262260924,0.0149851436799108,0.0108166174538184,0.2402424244567906,0.0044923390533551,0.0005555555555555,0.000951283666456,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,0,2,3,2,0.6449300718684412,0.0242883722079479,1,0.0030400188559227,0.0149851436799108,0.0119451248239881,0.5593980591622444,0.0185644112527494,-0.0005555555555555,-0.000629717164486,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,0,3,4,3,0.4249253242862238,0.0235847549441064,1,0.0031628165562103,0.0149851436799108,0.0118223271237005,0.0005965748591853,1.0454906770366918e-05,0.0005555555555555,0.0005574331052627,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,0,4,5,4,0.6948553163640316,0.0128911990944004,1,0.0015315413273939,0.0149851436799108,0.0134536023525169,0.2708357372862826,0.0073172874552435,0.0055555555555555,0.0054057647906624,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,0,5,6,5,0.585896428765446,0.0103503890582426,1,0.0016181086138773,0.0149851436799108,0.0133670350660335,0.0565598459460387,9.032838395641907e-05,0.001111111111111,0.0010556754847306,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,0,6,7,6,0.650424382295272,0.0066545372697871,1,0.0011104579901659,0.0149851436799108,0.0138746856897449,0.0399251620893678,-0.0004500157453075,-0.0005555555555555,-0.0006397945372592,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,0,7,8,7,0.733507269599622,0.0047561923311955,1,0.0009835875675738,0.0149851436799108,0.014001556112337,0.1127879082560969,-0.0003855167815245,-0.0022222222222222,-0.0024307761237933,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,1,0,1,0,0.4629764082329963,0.9620764539198714,1,0.0091299458542799,0.0279615186708293,0.0188315728165493,0.100576041205701,-0.0016572942693001,0.0005555555555555,0.0011130622174027,9,True,False,exact_exp3_centered_logit_RMS
eegnet,ERM,0.0,0,1,1,2,1,0.4539880924440773,0.0693411952385138,1,0.0080843429329624,0.0279615186708293,0.0198771757378668,0.0452275417341156,0.0010250019989248,0.0,9.203200192231532e-05,9,True,False,exact_exp3_centered_logit_RMS
