seed,task,fold,subject_id,TFFormer_BA,LiteBN_BA,delta_pp
1,OpenBMI_SSVEP,0,4,1.0,1.0,0.0
1,OpenBMI_SSVEP,0,12,0.97,0.97,0.0
1,OpenBMI_SSVEP,0,13,0.9400000000000001,0.95,-0.9999999999999898
1,OpenBMI_SSVEP,0,17,0.97,0.97,0.0
1,OpenBMI_SSVEP,0,18,1.0,1.0,0.0
1,OpenBMI_SSVEP,0,24,0.8899999999999999,0.8799999999999999,1.0000000000000009
1,OpenBMI_SSVEP,0,25,0.95,0.96,-1.0000000000000009
1,OpenBMI_SSVEP,0,29,0.95,0.95,0.0
1,OpenBMI_SSVEP,0,36,1.0,1.0,0.0
1,OpenBMI_SSVEP,0,37,1.0,0.99,1.0000000000000009
1,OpenBMI_SSVEP,0,39,1.0,1.0,0.0
1,OpenBMI_SSVEP,0,42,0.61,0.6,1.0000000000000009
1,OpenBMI_SSVEP,0,51,0.73,0.75,-2.0000000000000018
1,OpenBMI_SSVEP,0,54,0.9099999999999999,0.9099999999999999,0.0
1,OpenBMI_SSVEP,1,4,1.0,1.0,0.0
1,OpenBMI_SSVEP,1,12,0.96,0.96,0.0
1,OpenBMI_SSVEP,1,13,0.89,0.9,-1.0000000000000009
1,OpenBMI_SSVEP,1,17,0.95,0.9299999999999999,2.0000000000000018
1,OpenBMI_SSVEP,1,18,1.0,1.0,0.0
1,OpenBMI_SSVEP,1,24,0.8699999999999999,0.88,-1.000000000000012
1,OpenBMI_SSVEP,1,25,0.9299999999999999,0.94,-1.0000000000000009
1,OpenBMI_SSVEP,1,29,0.96,0.94,2.0000000000000018
1,OpenBMI_SSVEP,1,36,1.0,1.0,0.0
1,OpenBMI_SSVEP,1,37,0.99,0.99,0.0
1,OpenBMI_SSVEP,1,39,0.99,1.0,-1.0000000000000009
1,OpenBMI_SSVEP,1,42,0.62,0.62,0.0
1,OpenBMI_SSVEP,1,51,0.81,0.8,1.0000000000000009
1,OpenBMI_SSVEP,1,54,0.84,0.86,-2.0000000000000018
1,OpenBMI_SSVEP,2,4,1.0,1.0,0.0
1,OpenBMI_SSVEP,2,12,0.96,0.96,0.0
1,OpenBMI_SSVEP,2,13,0.72,0.73,-1.0000000000000009
1,OpenBMI_SSVEP,2,17,0.95,0.95,0.0
1,OpenBMI_SSVEP,2,18,1.0,1.0,0.0
1,OpenBMI_SSVEP,2,24,0.79,0.79,0.0
1,OpenBMI_SSVEP,2,25,0.9199999999999999,0.9099999999999999,1.0000000000000009
1,OpenBMI_SSVEP,2,29,0.94,0.9299999999999999,1.0000000000000009
1,OpenBMI_SSVEP,2,36,1.0,1.0,0.0
1,OpenBMI_SSVEP,2,37,1.0,1.0,0.0
1,OpenBMI_SSVEP,2,39,1.0,1.0,0.0
1,OpenBMI_SSVEP,2,42,0.5900000000000001,0.62,-2.9999999999999916
1,OpenBMI_SSVEP,2,51,0.8500000000000001,0.8300000000000001,2.0000000000000018
1,OpenBMI_SSVEP,2,54,0.8599999999999999,0.85,0.9999999999999898
1,OpenBMI_SSVEP,3,4,1.0,1.0,0.0
1,OpenBMI_SSVEP,3,12,0.96,0.96,0.0
1,OpenBMI_SSVEP,3,13,0.76,0.75,1.0000000000000009
1,OpenBMI_SSVEP,3,17,0.95,0.96,-1.0000000000000009
1,OpenBMI_SSVEP,3,18,1.0,1.0,0.0
1,OpenBMI_SSVEP,3,24,0.8499999999999999,0.8599999999999999,-1.0000000000000009
1,OpenBMI_SSVEP,3,25,0.9299999999999999,0.94,-1.0000000000000009
1,OpenBMI_SSVEP,3,29,0.97,0.97,0.0
1,OpenBMI_SSVEP,3,36,1.0,1.0,0.0
1,OpenBMI_SSVEP,3,37,0.99,0.99,0.0
1,OpenBMI_SSVEP,3,39,0.99,0.98,1.0000000000000009
1,OpenBMI_SSVEP,3,42,0.6000000000000001,0.6000000000000001,0.0
1,OpenBMI_SSVEP,3,51,0.77,0.77,0.0
1,OpenBMI_SSVEP,3,54,0.82,0.83,-1.0000000000000009
1,OpenBMI_SSVEP,4,4,1.0,1.0,0.0
1,OpenBMI_SSVEP,4,12,0.96,0.96,0.0
1,OpenBMI_SSVEP,4,13,0.85,0.84,1.0000000000000009
1,OpenBMI_SSVEP,4,17,0.96,0.96,0.0
1,OpenBMI_SSVEP,4,18,1.0,1.0,0.0
1,OpenBMI_SSVEP,4,24,0.8799999999999999,0.8799999999999999,0.0
1,OpenBMI_SSVEP,4,25,0.98,0.98,0.0
1,OpenBMI_SSVEP,4,29,0.96,0.96,0.0
1,OpenBMI_SSVEP,4,36,1.0,1.0,0.0
1,OpenBMI_SSVEP,4,37,0.99,0.99,0.0
1,OpenBMI_SSVEP,4,39,1.0,1.0,0.0
1,OpenBMI_SSVEP,4,42,0.6000000000000001,0.5900000000000001,1.0000000000000009
1,OpenBMI_SSVEP,4,51,0.8,0.8,0.0
1,OpenBMI_SSVEP,4,54,0.8899999999999999,0.8999999999999999,-1.0000000000000009
1,OpenBMI_ERP,0,4,0.8903030303030304,0.8896969696969697,0.0606060606060721
1,OpenBMI_ERP,0,12,0.9621212121212122,0.9606060606060606,0.15151515151515804
1,OpenBMI_ERP,0,13,0.9109090909090909,0.9093939393939394,0.15151515151514694
1,OpenBMI_ERP,0,17,0.7848484848484849,0.7754545454545454,0.939393939393951
1,OpenBMI_ERP,0,18,0.9033333333333333,0.8990909090909092,0.42424242424241587
1,OpenBMI_ERP,0,24,0.813030303030303,0.8266666666666667,-1.3636363636363669
1,OpenBMI_ERP,0,25,0.7881818181818182,0.7903030303030303,-0.21212121212120794
1,OpenBMI_ERP,0,29,0.8412121212121213,0.8506060606060606,-0.9393939393939288
1,OpenBMI_ERP,0,36,0.9536363636363636,0.9503030303030303,0.33333333333332993
1,OpenBMI_ERP,0,37,0.933939393939394,0.9290909090909091,0.48484848484848797
1,OpenBMI_ERP,0,39,0.7287878787878788,0.733030303030303,-0.424242424242427
1,OpenBMI_ERP,0,42,0.8893939393939394,0.8851515151515151,0.424242424242427
1,OpenBMI_ERP,0,51,0.773030303030303,0.7842424242424242,-1.1212121212121229
1,OpenBMI_ERP,0,54,0.7260606060606061,0.7278787878787878,-0.1818181818181719
1,OpenBMI_ERP,1,4,0.8948484848484849,0.8996969696969697,-0.48484848484847687
1,OpenBMI_ERP,1,12,0.953030303030303,0.9545454545454546,-0.15151515151515804
1,OpenBMI_ERP,1,13,0.9087878787878787,0.9136363636363636,-0.48484848484848797
1,OpenBMI_ERP,1,17,0.8457575757575757,0.8481818181818181,-0.24242424242424399
1,OpenBMI_ERP,1,18,0.9093939393939394,0.906969696969697,0.24242424242424399
1,OpenBMI_ERP,1,24,0.8121212121212121,0.81,0.21212121212120794
1,OpenBMI_ERP,1,25,0.7863636363636364,0.7790909090909091,0.727272727272732
1,OpenBMI_ERP,1,29,0.8257575757575757,0.8312121212121213,-0.5454545454545601
1,OpenBMI_ERP,1,36,0.9490909090909091,0.9436363636363636,0.545454545454549
1,OpenBMI_ERP,1,37,0.9393939393939394,0.9348484848484848,0.454545454545463
1,OpenBMI_ERP,1,39,0.7333333333333334,0.7436363636363637,-1.0303030303030258
1,OpenBMI_ERP,1,42,0.8533333333333333,0.8596969696969696,-0.6363636363636349
1,OpenBMI_ERP,1,51,0.7463636363636363,0.7430303030303029,0.33333333333334103
1,OpenBMI_ERP,1,54,0.7481818181818182,0.749090909090909,-0.09090909090908594
1,OpenBMI_ERP,2,4,0.9245454545454546,0.9348484848484848,-1.0303030303030258
1,OpenBMI_ERP,2,12,0.9675757575757575,0.9639393939393939,0.363636363636366
1,OpenBMI_ERP,2,13,0.9263636363636363,0.9236363636363636,0.27272727272726893
1,OpenBMI_ERP,2,17,0.7903030303030303,0.7845454545454545,0.5757575757575739
1,OpenBMI_ERP,2,18,0.9087878787878787,0.9109090909090909,-0.21212121212121904
1,OpenBMI_ERP,2,24,0.8169696969696969,0.8181818181818181,-0.12121212121212199
1,OpenBMI_ERP,2,25,0.8063636363636364,0.806969696969697,-0.060606060606060996
1,OpenBMI_ERP,2,29,0.863939393939394,0.866969696969697,-0.3030303030302939
1,OpenBMI_ERP,2,36,0.9642424242424242,0.9596969696969697,0.4545454545454519
1,OpenBMI_ERP,2,37,0.9581818181818182,0.9575757575757575,0.0606060606060721
1,OpenBMI_ERP,2,39,0.7006060606060606,0.6848484848484848,1.5757575757575748
1,OpenBMI_ERP,2,42,0.803030303030303,0.7966666666666666,0.6363636363636349
1,OpenBMI_ERP,2,51,0.7415151515151515,0.7306060606060606,1.0909090909090868
1,OpenBMI_ERP,2,54,0.6715151515151515,0.6445454545454545,2.6969696969696977
1,OpenBMI_ERP,3,4,0.9109090909090909,0.9096969696969697,0.12121212121212199
1,OpenBMI_ERP,3,12,0.9648484848484848,0.9636363636363636,0.12121212121212199
1,OpenBMI_ERP,3,13,0.906969696969697,0.9066666666666667,0.030303030303024947
1,OpenBMI_ERP,3,17,0.832121212121212,0.8081818181818181,2.3939393939393927
1,OpenBMI_ERP,3,18,0.8966666666666667,0.8878787878787879,0.8787878787878789
1,OpenBMI_ERP,3,24,0.8003030303030303,0.8051515151515152,-0.48484848484848797
1,OpenBMI_ERP,3,25,0.7642424242424242,0.7524242424242424,1.1818181818181728
1,OpenBMI_ERP,3,29,0.8448484848484848,0.8327272727272728,1.2121212121212088
1,OpenBMI_ERP,3,36,0.9548484848484848,0.9509090909090909,0.3939393939393909
1,OpenBMI_ERP,3,37,0.9342424242424243,0.9327272727272727,0.15151515151515804
1,OpenBMI_ERP,3,39,0.703030303030303,0.6987878787878787,0.424242424242427
1,OpenBMI_ERP,3,42,0.8618181818181818,0.8536363636363636,0.8181818181818179
1,OpenBMI_ERP,3,51,0.7587878787878788,0.7575757575757576,0.12121212121212199
1,OpenBMI_ERP,3,54,0.7296969696969697,0.7287878787878788,0.09090909090909705
1,OpenBMI_ERP,4,4,0.9115151515151515,0.9106060606060606,0.09090909090908594
1,OpenBMI_ERP,4,12,0.9712121212121212,0.97,0.12121212121212199
1,OpenBMI_ERP,4,13,0.9254545454545454,0.9227272727272727,0.27272727272726893
1,OpenBMI_ERP,4,17,0.8366666666666667,0.8021212121212121,3.4545454545454546
1,OpenBMI_ERP,4,18,0.9057575757575758,0.9063636363636364,-0.060606060606060996
1,OpenBMI_ERP,4,24,0.7336363636363636,0.7242424242424242,0.9393939393939399
1,OpenBMI_ERP,4,25,0.8300000000000001,0.8396969696969696,-0.9696969696969537
1,OpenBMI_ERP,4,29,0.8493939393939394,0.822121212121212,2.7272727272727337
1,OpenBMI_ERP,4,36,0.9572727272727273,0.9548484848484848,0.24242424242424399
1,OpenBMI_ERP,4,37,0.9433333333333334,0.9381818181818182,0.5151515151515129
1,OpenBMI_ERP,4,39,0.6663636363636364,0.7042424242424242,-3.7878787878787845
1,OpenBMI_ERP,4,42,0.7951515151515152,0.8157575757575758,-2.0606060606060628
1,OpenBMI_ERP,4,51,0.7236363636363636,0.7239393939393939,-0.030303030303024947
1,OpenBMI_ERP,4,54,0.6609090909090909,0.6790909090909091,-1.8181818181818188
1,OpenBMI_MI,0,4,0.8200000000000001,0.78,4.0000000000000036
1,OpenBMI_MI,0,12,0.8300000000000001,0.79,4.0000000000000036
1,OpenBMI_MI,0,13,0.66,0.66,0.0
1,OpenBMI_MI,0,17,0.58,0.62,-4.0000000000000036
1,OpenBMI_MI,0,18,0.72,0.74,-2.0000000000000018
1,OpenBMI_MI,0,24,0.57,0.5800000000000001,-1.000000000000012
1,OpenBMI_MI,0,25,0.98,0.99,-1.0000000000000009
1,OpenBMI_MI,0,29,0.8200000000000001,0.8300000000000001,-1.0000000000000009
1,OpenBMI_MI,0,36,0.96,0.96,0.0
1,OpenBMI_MI,0,37,0.78,0.8,-2.0000000000000018
1,OpenBMI_MI,0,39,0.75,0.78,-3.0000000000000027
1,OpenBMI_MI,0,42,0.73,0.7,3.0000000000000027
1,OpenBMI_MI,0,51,0.7,0.6799999999999999,2.0000000000000018
1,OpenBMI_MI,0,54,0.71,0.73,-2.0000000000000018
1,OpenBMI_MI,1,4,0.76,0.71,5.000000000000004
1,OpenBMI_MI,1,12,0.77,0.78,-1.0000000000000009
1,OpenBMI_MI,1,13,0.68,0.6699999999999999,1.000000000000012
1,OpenBMI_MI,1,17,0.62,0.62,0.0
1,OpenBMI_MI,1,18,0.75,0.72,3.0000000000000027
1,OpenBMI_MI,1,24,0.58,0.5599999999999999,2.0000000000000018
1,OpenBMI_MI,1,25,0.98,0.98,0.0
1,OpenBMI_MI,1,29,0.82,0.82,0.0
1,OpenBMI_MI,1,36,0.97,0.97,0.0
1,OpenBMI_MI,1,37,0.73,0.74,-1.0000000000000009
1,OpenBMI_MI,1,39,0.76,0.74,2.0000000000000018
1,OpenBMI_MI,1,42,0.78,0.77,1.0000000000000009
1,OpenBMI_MI,1,51,0.6599999999999999,0.64,1.9999999999999907
1,OpenBMI_MI,1,54,0.75,0.75,0.0
1,OpenBMI_MI,2,4,0.8,0.82,-1.9999999999999907
1,OpenBMI_MI,2,12,0.81,0.8200000000000001,-1.0000000000000009
1,OpenBMI_MI,2,13,0.65,0.65,0.0
1,OpenBMI_MI,2,17,0.56,0.54,2.0000000000000018
1,OpenBMI_MI,2,18,0.76,0.76,0.0
1,OpenBMI_MI,2,24,0.5700000000000001,0.5800000000000001,-1.0000000000000009
1,OpenBMI_MI,2,25,0.98,0.97,1.0000000000000009
1,OpenBMI_MI,2,29,0.87,0.88,-1.0000000000000009
1,OpenBMI_MI,2,36,0.97,0.97,0.0
1,OpenBMI_MI,2,37,0.8400000000000001,0.8500000000000001,-1.0000000000000009
1,OpenBMI_MI,2,39,0.72,0.73,-1.0000000000000009
1,OpenBMI_MI,2,42,0.7,0.71,-1.0000000000000009
1,OpenBMI_MI,2,51,0.62,0.58,4.0000000000000036
1,OpenBMI_MI,2,54,0.75,0.74,1.0000000000000009
1,OpenBMI_MI,3,4,0.79,0.78,1.0000000000000009
1,OpenBMI_MI,3,12,0.76,0.76,0.0
1,OpenBMI_MI,3,13,0.67,0.65,2.0000000000000018
1,OpenBMI_MI,3,17,0.5,0.51,-1.0000000000000009
1,OpenBMI_MI,3,18,0.75,0.75,0.0
1,OpenBMI_MI,3,24,0.55,0.55,0.0
1,OpenBMI_MI,3,25,0.96,0.95,1.0000000000000009
1,OpenBMI_MI,3,29,0.8300000000000001,0.8300000000000001,0.0
1,OpenBMI_MI,3,36,0.9099999999999999,0.8999999999999999,1.0000000000000009
1,OpenBMI_MI,3,37,0.78,0.78,0.0
1,OpenBMI_MI,3,39,0.78,0.78,0.0
1,OpenBMI_MI,3,42,0.78,0.77,1.0000000000000009
1,OpenBMI_MI,3,51,0.64,0.63,1.0000000000000009
1,OpenBMI_MI,3,54,0.73,0.73,0.0
1,OpenBMI_MI,4,4,0.79,0.77,2.0000000000000018
1,OpenBMI_MI,4,12,0.8,0.79,1.0000000000000009
1,OpenBMI_MI,4,13,0.62,0.64,-2.0000000000000018
1,OpenBMI_MI,4,17,0.55,0.54,1.0000000000000009
1,OpenBMI_MI,4,18,0.7,0.7,0.0
1,OpenBMI_MI,4,24,0.55,0.55,0.0
1,OpenBMI_MI,4,25,0.99,0.99,0.0
1,OpenBMI_MI,4,29,0.88,0.88,0.0
1,OpenBMI_MI,4,36,0.95,0.94,1.0000000000000009
1,OpenBMI_MI,4,37,0.77,0.79,-2.0000000000000018
1,OpenBMI_MI,4,39,0.77,0.77,0.0
1,OpenBMI_MI,4,42,0.7,0.69,1.0000000000000009
1,OpenBMI_MI,4,51,0.64,0.64,0.0
1,OpenBMI_MI,4,54,0.78,0.78,0.0
1,WBCIC_MI,0,sub-2,0.81,0.8,1.0000000000000009
1,WBCIC_MI,0,sub-3,0.8,0.795,0.5000000000000004
1,WBCIC_MI,0,sub-17,0.8049999999999999,0.8200000000000001,-1.5000000000000124
1,WBCIC_MI,0,sub-19,0.94,0.9450000000000001,-0.5000000000000115
1,WBCIC_MI,0,sub-21,0.8600000000000001,0.855,0.5000000000000115
1,WBCIC_MI,0,sub-25,0.97,0.965,0.5000000000000004
1,WBCIC_MI,0,sub-31,0.615,0.6,1.5000000000000013
1,WBCIC_MI,0,sub-33,0.97,0.9650000000000001,0.49999999999998934
1,WBCIC_MI,0,sub-38,0.48,0.455,2.4999999999999964
1,WBCIC_MI,0,sub-42,0.6799999999999999,0.685,-0.5000000000000115
1,WBCIC_MI,1,sub-2,0.765,0.775,-1.0000000000000009
1,WBCIC_MI,1,sub-3,0.73,0.69,4.0000000000000036
1,WBCIC_MI,1,sub-17,0.8049999999999999,0.7949999999999999,1.0000000000000009
1,WBCIC_MI,1,sub-19,0.96,0.95,1.0000000000000009
1,WBCIC_MI,1,sub-21,0.8600000000000001,0.8500000000000001,1.0000000000000009
1,WBCIC_MI,1,sub-25,0.965,0.96,0.5000000000000004
1,WBCIC_MI,1,sub-31,0.585,0.5900000000000001,-0.5000000000000115
1,WBCIC_MI,1,sub-33,0.975,0.96,1.5000000000000013
1,WBCIC_MI,1,sub-38,0.565,0.5449999999999999,2.0000000000000018
1,WBCIC_MI,1,sub-42,0.725,0.7350000000000001,-1.000000000000012
1,WBCIC_MI,2,sub-2,0.7849999999999999,0.775,0.9999999999999898
1,WBCIC_MI,2,sub-3,0.815,0.81,0.49999999999998934
1,WBCIC_MI,2,sub-17,0.81,0.81,0.0
1,WBCIC_MI,2,sub-19,0.95,0.95,0.0
1,WBCIC_MI,2,sub-21,0.87,0.87,0.0
1,WBCIC_MI,2,sub-25,0.98,0.975,0.5000000000000004
1,WBCIC_MI,2,sub-31,0.645,0.665,-2.0000000000000018
1,WBCIC_MI,2,sub-33,0.96,0.96,0.0
1,WBCIC_MI,2,sub-38,0.515,0.525,-1.0000000000000009
1,WBCIC_MI,2,sub-42,0.6799999999999999,0.665,1.4999999999999902
1,WBCIC_MI,3,sub-2,0.7649999999999999,0.75,1.4999999999999902
1,WBCIC_MI,3,sub-3,0.855,0.845,1.0000000000000009
1,WBCIC_MI,3,sub-17,0.8500000000000001,0.8300000000000001,2.0000000000000018
1,WBCIC_MI,3,sub-19,0.96,0.955,0.5000000000000004
1,WBCIC_MI,3,sub-21,0.875,0.87,0.5000000000000004
1,WBCIC_MI,3,sub-25,0.975,0.985,-1.0000000000000009
1,WBCIC_MI,3,sub-31,0.635,0.63,0.5000000000000004
1,WBCIC_MI,3,sub-33,0.955,0.955,0.0
