scenario,repetitions,m,delta,actions,probe_future_correlation,harm_rate,site_shift,joint_validity,nominal_validity,validity_gap,sentinel_probability,calibration_insufficient_rate,policy_efficiency,actionwise_efficiency,policy_minus_actionwise_efficiency,intervention_rate,test_harm_rate,selected_future_utility,no_information_apparent_gain
exchangeable_grid,5000,10,0.05,1,0.0,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3188,0.1628,0.01214703196277917,0.01214703196277917
exchangeable_grid,5000,10,0.05,1,0.25,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3112,0.1462,0.07779193142412591,
exchangeable_grid,5000,10,0.05,1,0.5,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3164,0.1528,0.17243085590295223,
exchangeable_grid,5000,10,0.05,1,0.75,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3052,0.1564,0.2662960062164488,
exchangeable_grid,5000,10,0.05,2,0.0,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.5092,0.1522,-0.0065956402532146114,-0.0065956402532146114
exchangeable_grid,5000,10,0.05,2,0.25,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.5212,0.1452,0.16229067926195256,
exchangeable_grid,5000,10,0.05,2,0.5,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.5222,0.1514,0.31555079718386075,
exchangeable_grid,5000,10,0.05,2,0.75,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.5264,0.1392,0.4760599256409314,
exchangeable_grid,5000,10,0.05,3,0.0,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.6772,0.1556,0.016830704805043853,0.016830704805043853
exchangeable_grid,5000,10,0.05,3,0.25,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.6686,0.1532,0.19203539421162055,
exchangeable_grid,5000,10,0.05,3,0.5,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.6744,0.1502,0.43147676153909303,
exchangeable_grid,5000,10,0.05,3,0.75,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.658,0.1496,0.6105040404212088,
exchangeable_grid,5000,10,0.05,5,0.0,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.8462,0.1516,0.0005143512710574924,0.0005143512710574924
exchangeable_grid,5000,10,0.05,5,0.25,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.8426,0.1466,0.2837269983655375,
exchangeable_grid,5000,10,0.05,5,0.5,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.8354,0.1508,0.5389488550026695,
exchangeable_grid,5000,10,0.05,5,0.75,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.8366,0.149,0.8605922860308718,
exchangeable_grid,5000,10,0.1,1,0.0,0.15,0.0,0.938,0.9,0.03799999999999992,0.3766,0.0,0.26361,0.06884000000000001,0.19477,0.2976,0.1542,-0.0008808540880857393,-0.0008808540880857393
exchangeable_grid,5000,10,0.1,1,0.25,0.15,0.0,0.9454,0.9,0.045399999999999996,0.374,0.0,0.27893,0.06646999999999999,0.21246,0.3054,0.1398,0.08999970517771705,
exchangeable_grid,5000,10,0.1,1,0.5,0.15,0.0,0.9488,0.9,0.048799999999999955,0.3702,0.0,0.29368,0.06888,0.22480000000000003,0.3188,0.1506,0.19086326056760128,
exchangeable_grid,5000,10,0.1,1,0.75,0.15,0.0,0.9644,0.9,0.06440000000000001,0.3808,0.0,0.30268,0.06808,0.2346,0.3172,0.15,0.268745106297942,
exchangeable_grid,5000,10,0.1,2,0.0,0.15,0.0,0.9346,0.9,0.034599999999999964,0.5572,0.0,0.17173000000000002,0.0,0.17173,0.5302,0.1546,-0.007389774693324213,-0.007389774693324213
exchangeable_grid,5000,10,0.1,2,0.25,0.15,0.0,0.9448,0.9,0.04479999999999995,0.5624,0.0,0.1836,0.0,0.1836,0.515,0.1474,0.16674326224866517,
exchangeable_grid,5000,10,0.1,2,0.5,0.15,0.0,0.9518,0.9,0.05179999999999996,0.5656,0.0,0.19587000000000002,0.0,0.19587000000000002,0.5206,0.1506,0.3144048468036838,
exchangeable_grid,5000,10,0.1,2,0.75,0.15,0.0,0.9522,0.9,0.052200000000000024,0.5484,0.0,0.21816,0.0,0.21816,0.5206,0.1608,0.46106018798054554,
exchangeable_grid,5000,10,0.1,3,0.0,0.15,0.0,0.9386,0.9,0.03859999999999997,0.6456,0.0,0.13193,0.0,0.13193,0.6684,0.157,0.007625408650482166,0.007625408650482166
exchangeable_grid,5000,10,0.1,3,0.25,0.15,0.0,0.9468,0.9,0.04679999999999995,0.6454,0.0,0.14324,0.0,0.14323999999999998,0.6608,0.1538,0.21042580250774418,
exchangeable_grid,5000,10,0.1,3,0.5,0.15,0.0,0.9476,0.9,0.047599999999999976,0.6548,0.0,0.15263,0.0,0.15263,0.6666,0.1504,0.41235579441370485,
exchangeable_grid,5000,10,0.1,3,0.75,0.15,0.0,0.9532,0.9,0.053200000000000025,0.6576,0.0,0.16469,0.0,0.16469,0.6638,0.1504,0.6230881752032663,
exchangeable_grid,5000,10,0.1,5,0.0,0.15,0.0,0.9464,0.9,0.0464,0.7324,0.0,0.09504,0.0,0.09504,0.847,0.1566,-0.013936924882979406,-0.013936924882979406
exchangeable_grid,5000,10,0.1,5,0.25,0.15,0.0,0.9546,0.9,0.05459999999999998,0.7276,0.0,0.10765999999999999,0.0,0.10766,0.8436,0.153,0.29288118021845483,
exchangeable_grid,5000,10,0.1,5,0.5,0.15,0.0,0.9524,0.9,0.0524,0.7356,0.0,0.11510999999999999,0.0,0.11511,0.8406,0.1534,0.5747936101815218,
exchangeable_grid,5000,10,0.1,5,0.75,0.15,0.0,0.957,0.9,0.05699999999999994,0.736,0.0,0.1271,0.0,0.1271,0.847,0.1524,0.851992410924047,
exchangeable_grid,5000,10,0.2,1,0.0,0.15,0.0,0.8808,0.8,0.08079999999999998,0.069,0.0,0.4283799999999999,0.20063,0.22774999999999998,0.3076,0.1554,-0.002073893135136311,-0.002073893135136311
exchangeable_grid,5000,10,0.2,1,0.25,0.15,0.0,0.9058,0.8,0.1058,0.0744,0.0,0.43877000000000005,0.19766,0.24111,0.311,0.1576,0.09584248925259674,
exchangeable_grid,5000,10,0.2,1,0.5,0.15,0.0,0.9214,0.8,0.12139999999999995,0.0746,0.0,0.4495,0.20013,0.24937,0.313,0.1468,0.17406350427477463,
exchangeable_grid,5000,10,0.2,1,0.75,0.15,0.0,0.9348,0.8,0.13479999999999992,0.0752,0.0,0.45874,0.20151999999999998,0.25722,0.3168,0.1592,0.27386478194036834,
exchangeable_grid,5000,10,0.2,2,0.0,0.15,0.0,0.8676,0.8,0.0676,0.1812,0.0,0.34718000000000004,0.01105,0.33613,0.5222,0.1526,0.013448686444838511,0.013448686444838511
exchangeable_grid,5000,10,0.2,2,0.25,0.15,0.0,0.8782,0.8,0.07819999999999994,0.1936,0.0,0.36162,0.0127,0.34892,0.5264,0.1512,0.1794100182144454,
exchangeable_grid,5000,10,0.2,2,0.5,0.15,0.0,0.8844,0.8,0.08439999999999992,0.174,0.0,0.38915,0.01212,0.37703000000000003,0.523,0.144,0.31167714386617246,
exchangeable_grid,5000,10,0.2,2,0.75,0.15,0.0,0.9186,0.8,0.11859999999999993,0.1802,0.0,0.40221,0.013019999999999999,0.38919000000000004,0.5204,0.149,0.4731204818750371,
exchangeable_grid,5000,10,0.2,3,0.0,0.15,0.0,0.857,0.8,0.05699999999999994,0.2664,0.0,0.29516000000000003,0.0,0.29516,0.6786,0.1522,-0.02557779240146345,-0.02557779240146345
exchangeable_grid,5000,10,0.2,3,0.25,0.15,0.0,0.8724,0.8,0.07239999999999991,0.2606,0.0,0.32133999999999996,0.0,0.32134,0.6656,0.145,0.2199077087710611,
exchangeable_grid,5000,10,0.2,3,0.5,0.15,0.0,0.879,0.8,0.07899999999999996,0.2618,0.0,0.34099999999999997,0.0,0.341,0.6758,0.1492,0.4055000800622528,
exchangeable_grid,5000,10,0.2,3,0.75,0.15,0.0,0.8998,0.8,0.0998,0.2686,0.0,0.3583,0.0,0.3583,0.6714,0.1602,0.6325248308098887,
exchangeable_grid,5000,10,0.2,5,0.0,0.15,0.0,0.8698,0.8,0.06979999999999997,0.3598,0.0,0.24521000000000004,0.0,0.24521,0.8456,0.1384,0.01004166526583716,0.01004166526583716
exchangeable_grid,5000,10,0.2,5,0.25,0.15,0.0,0.871,0.8,0.07099999999999995,0.3692,0.0,0.26347,0.0,0.26347,0.8352,0.1526,0.264222997947959,
exchangeable_grid,5000,10,0.2,5,0.5,0.15,0.0,0.8708,0.8,0.07079999999999997,0.358,0.0,0.29307000000000005,0.0,0.29307,0.8526,0.1506,0.5483080216922998,
exchangeable_grid,5000,10,0.2,5,0.75,0.15,0.0,0.886,0.8,0.08599999999999997,0.3832,0.0,0.30309,0.0,0.30308999999999997,0.8432,0.154,0.8605473305302453,
exchangeable_grid,5000,12,0.05,1,0.0,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3126,0.1532,0.007691996101288037,0.007691996101288037
exchangeable_grid,5000,12,0.05,1,0.25,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3068,0.151,0.09289740393954267,
exchangeable_grid,5000,12,0.05,1,0.5,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3036,0.15,0.17613909334881683,
exchangeable_grid,5000,12,0.05,1,0.75,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.3068,0.1456,0.26192647343339387,
exchangeable_grid,5000,12,0.05,2,0.0,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.5162,0.1452,-0.006632319879741172,-0.006632319879741172
exchangeable_grid,5000,12,0.05,2,0.25,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.5246,0.1476,0.16115713364731335,
exchangeable_grid,5000,12,0.05,2,0.5,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.5186,0.1518,0.2965924173352362,
exchangeable_grid,5000,12,0.05,2,0.75,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.523,0.1478,0.47095223148202914,
exchangeable_grid,5000,12,0.05,3,0.0,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.6632,0.1412,0.010631805983998524,0.010631805983998524
exchangeable_grid,5000,12,0.05,3,0.25,0.15,0.0,1.0,0.95,0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.6624,0.1506,0.2064244478943976,
